mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
1,1,1,19.7787,19.7390,-2.696334,-2.117105,-1.869787
2,1,2,50.3097,49.3476,-1.710042,-0.150418,-0.150469
3,1,2,50.3097,49.3476,-1.710041,-0.150418,-0.150470
4,2,2,80.7536,78.9557,-1.642612,-1.480450,-1.779622
5,3,1,103.7587,98.6942,-1.289762,-0.146660,-0.143886
6,3,1,103.7604,98.6942,-1.289618,-0.150162,-0.150414
7,3,2,133.8335,128.3018,-1.365379,-0.149933,-0.150288
8,3,2,133.8335,128.3018,-1.365379,-0.149933,-0.150288
9,3,3,184.7964,177.6471,-1.395290,0.000300,0.000323
10,3,3,184.7964,177.6471,-1.395290,0.000299,0.000323
11,3,3,186.2321,177.6471,-1.315814,-1.138111,-1.274964
12,2,4,214.6930,197.3849,-1.057065,-0.149084,-0.150270
13,2,4,214.6932,197.3849,-1.057058,-0.149086,-0.150271
14,1,5,266.5342,256.5976,-1.412014,0.010915,0.011789
15,1,5,266.5342,256.5976,-1.412014,0.010915,0.011789
16,5,2,300.3482,286.2034,-1.306078,-0.000000,0.000000
17,5,2,300.3502,286.2034,-1.306018,0.000000,0.000000
18,5,3,329.5474,335.5458,-1.747720,0.016234,0.016919
19,5,3,329.5474,335.5458,-1.747720,0.016234,0.016919
20,3,5,346.1837,335.5458,-1.498893,0.003510,0.003799
21,2,6,380.1663,394.7554,-1.432300,0.000000,0.000000
22,2,6,380.1803,394.7554,-1.432715,0.000000,0.000000
23,3,6,458.3005,444.0958,-1.495045,0.022835,0.025112
24,3,6,458.3005,444.0958,-1.495045,0.022835,0.025112
25,3,6,462.1280,444.0958,-1.391428,0.046527,0.052479
26,3,6,462.1280,444.0958,-1.391427,0.046527,0.052479
27,7,1,490.9601,493.4353,-2.299615,0.046649,0.050506
28,7,1,490.9603,493.4353,-2.299665,0.062699,0.067689
29,7,2,540.7567,523.0386,-1.470116,-0.000000,0.000000
30,7,2,540.7567,523.0386,-1.470116,-0.000000,0.000000
31,7,3,567.9828,572.3766,-2.114843,0.110049,0.116840
32,5,6,617.6608,601.9790,-1.584186,0.077638,0.085931
33,5,6,617.6618,601.9790,-1.584158,0.077675,0.085971
34,2,8,687.7531,671.0500,-1.603959,-0.000000,-0.000000
35,2,8,687.7553,671.0500,-1.603900,0.000000,0.000000
36,6,6,715.4481,710.5184,-2.158755,0.025905,0.029778
37,6,6,715.4481,710.5184,-2.158755,0.025905,0.029778
38,8,3,724.9536,720.3854,-2.197813,0.028705,0.031909
39,8,3,724.9536,720.3854,-2.197813,0.028705,0.031909
40,8,4,763.2306,789.4533,-1.478648,0.000000,-0.000000
41,8,4,763.2479,789.4533,-1.478936,0.000000,0.000000
42,2,9,837.3244,838.7865,-2.758665,0.015276,0.017477
