mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
83,15,15,61037.9371,4437.6877,1.105662,0.000000,0.000000,0.000000
84,15,15,61038.5178,4437.6877,1.105666,0.000000,0.000000,0.000000
85,15,15,61040.7941,4437.6877,1.105684,0.000000,0.000000,0.000000
86,15,15,61040.7988,4437.6877,1.105684,0.000000,0.000000,0.000000
87,15,15,61040.9791,4437.6877,1.105685,0.000000,0.000000,0.000000
88,15,15,61042.4977,4437.6877,1.105697,0.000000,0.000000,0.000000
89,15,15,61044.8935,4437.6877,1.105715,0.000000,0.000000,0.000000
90,15,15,61044.8950,4437.6877,1.105715,0.000000,0.000000,0.000000
91,15,15,61045.6554,4437.6877,1.105721,0.000000,0.000000,0.000000
92,15,15,61047.7544,4437.6877,1.105737,0.000000,0.000000,0.000000
93,15,15,61047.7556,4437.6877,1.105737,0.000000,0.000000,0.000000
94,15,15,61056.9287,4437.6877,1.105807,0.000000,0.000000,0.000000
95,15,15,61057.8625,4437.6877,1.105814,0.000000,0.000000,0.000000
96,15,15,61058.0079,4437.6877,1.105816,0.000000,0.000000,0.000000
97,15,15,61062.6997,4437.6877,1.105852,0.000000,0.000000,0.000000
98,15,15,61065.1390,4437.6877,1.105870,0.000000,0.000000,0.000000
99,15,15,61065.7206,4437.6877,1.105875,0.000000,0.000000,0.000000
100,15,15,61065.7779,4437.6877,1.105875,0.000000,0.000000,0.000000
101,15,15,61066.8390,4437.6877,1.105883,0.000000,0.000000,0.000000
102,15,15,61075.2466,4437.6877,1.105948,-0.000000,0.000000,0.000000
103,15,15,61075.6312,4437.6877,1.105951,0.000000,0.000000,0.000000
104,15,15,61076.2863,4437.6877,1.105956,0.000000,0.000000,0.000000
105,15,15,61086.1950,4437.6877,1.106032,0.000000,0.000000,0.000000
106,15,15,61086.4933,4437.6877,1.106034,0.000000,0.000000,0.000000
107,15,15,61099.3719,4437.6877,1.106133,-0.000000,0.000000,0.000000
108,15,15,61099.4734,4437.6877,1.106134,0.000000,0.000000,0.000000
109,15,15,61102.1219,4437.6877,1.106154,0.000000,0.000000,0.000000
110,15,15,61123.8284,4437.6877,1.106320,-0.000000,0.000000,0.000000
111,15,15,61125.6095,4437.6877,1.106334,0.000000,0.000000,0.000000
112,15,15,61126.1950,4437.6877,1.106338,-0.000000,0.000000,0.000000
113,15,15,61137.6703,4437.6877,1.106426,0.000000,0.000000,0.000000
114,15,15,61171.4603,4437.6877,1.106685,-0.000000,0.000000,0.000000
115,15,15,61176.0417,4437.6877,1.106720,0.000000,0.000000,0.000000
116,15,15,61179.9167,4437.6877,1.106750,0.000000,0.000000,0.000000
117,15,15,61184.5513,4437.6877,1.106785,0.000000,0.000000,0.000000
118,15,15,85811.4109,4437.6877,1.263327,0.000000,0.000000,0.000000
119,15,15,85813.4964,4437.6877,1.263339,0.000000,0.000000,0.000000
120,15,15,85822.3451,4437.6877,1.263386,0.000000,0.000000,0.000000
121,15,15,85824.4303,4437.6877,1.263397,0.000000,0.000000,0.000000
122,15,15,6473962.2333,4437.6877,3.163716,-0.000000,0.000000,0.000000
123,15,15,6473964.4309,4437.6877,3.163716,0.000000,0.000000,0.000000
124,15,15,6473973.0204,4437.6877,3.163716,0.000000,0.000000,0.000000
125,15,15,6473985.1238,4437.6877,3.163717,-0.000000,0.000000,0.000000
