mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
96,3,8,718.5217,720.3854,-2.587192,0.015286,0.014048
97,7,5,731.6140,730.2523,-2.729398,0.003302,0.002343
98,7,5,732.1489,730.2523,-2.585496,-0.009761,-0.009721
99,7,5,734.5246,730.2523,-2.232812,0.002790,0.002728
100,7,5,739.9310,730.2523,-1.877656,0.023814,0.020042
101,7,5,744.0424,730.2523,-1.723906,0.002461,0.001642
102,7,5,746.6025,730.2523,-1.649950,0.004372,0.003172
103,8,4,764.8690,789.4533,-1.506669,0.001229,0.000751
104,8,4,775.0777,789.4533,-1.739698,0.003422,0.003234
105,8,4,775.2725,789.4533,-1.745624,0.001061,0.000761
106,8,4,788.4498,789.4533,-2.895784,0.012477,0.010565
107,1,9,801.1319,809.1867,-2.001992,0.000739,0.000571
108,1,9,801.9166,809.1867,-2.046508,-0.000550,-0.000628
109,9,1,812.4272,809.1867,-2.397441,0.000144,0.000126
110,9,1,821.7215,809.1867,-1.809933,0.001397,0.001010
111,6,7,840.3192,838.7865,-2.738205,-0.000650,-0.000696
112,6,7,841.5849,838.7865,-2.476744,-0.010149,-0.010203
113,6,7,846.1669,838.7865,-2.055576,0.005408,0.004026
114,5,8,864.8090,878.2525,-1.815108,0.014650,0.011172
115,5,8,870.5552,878.2525,-2.057285,-0.006735,-0.006713
116,8,5,878.3895,878.2525,-3.806865,-0.007203,-0.007770
117,9,3,888.2290,888.1188,-3.906414,-0.004510,-0.006995
118,9,3,900.8159,888.1188,-1.844767,0.006679,0.006296
119,9,3,906.5678,888.1188,-1.682499,0.004841,0.003725
120,9,4,923.9432,957.1826,-1.459342,0.005714,0.004285
121,9,4,928.7582,957.1826,-1.527304,0.008971,0.006817
122,9,4,951.1518,957.1826,-2.200621,0.016987,0.014170
123,4,9,957.3279,957.1826,-3.818570,0.012069,0.008518
124,6,8,978.6920,986.7808,-2.086342,0.004208,0.004101
125,6,8,981.5537,986.7808,-2.275960,0.009004,0.007882
