mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
1,1,1,19.1755,19.7390,-1.544422,-1.775976,-1.434835
2,2,1,47.8925,49.3476,-1.530371,-0.144949,-0.145802
3,2,1,48.4155,49.3476,-1.723811,-0.149976,-0.149600
4,2,2,74.8708,78.9557,-1.286207,-1.089905,-0.991867
5,1,3,96.7271,98.6942,-1.700461,-0.142706,-0.143816
6,1,3,96.8205,98.6942,-1.721584,-0.148145,-0.147249
7,2,3,118.3708,128.3018,-1.111240,-0.141187,-0.136833
8,2,3,122.8339,128.3018,-1.370410,-0.142967,-0.141284
9,1,4,159.8104,167.7781,-1.323405,0.013540,0.012064
10,1,4,163.4953,167.7781,-1.593011,-0.146544,-0.147699
11,1,4,164.1359,167.7781,-1.663371,-0.143386,-0.142255
12,3,3,177.2099,177.6471,-2.608961,0.003930,-0.003092
13,3,3,177.5652,177.6471,-3.336685,0.009909,0.002318
14,3,3,182.7350,177.6471,-1.543018,0.009026,0.008789
15,3,3,185.7889,177.6471,-1.338837,0.010767,0.007644
16,2,4,205.5173,197.3849,-1.385094,0.003219,0.002778
17,2,4,218.6258,197.3849,-0.968142,0.016835,0.009660
18,2,4,220.1485,197.3849,-0.938073,0.004063,0.001673
19,4,3,226.8164,246.7289,-1.093094,-0.022827,-0.021927
20,4,3,242.3757,246.7289,-1.753417,0.002268,0.000886
21,4,3,242.7504,246.7289,-1.792502,-0.005746,-0.007517
22,3,4,246.8204,246.7289,-3.430476,0.000960,0.000800
23,3,4,247.6551,246.7289,-2.425509,0.005699,0.005443
24,5,1,252.1715,256.5976,-1.763239,-0.037120,-0.041646
25,1,5,259.3392,256.5976,-1.971240,0.012650,0.011284
26,1,5,262.6556,256.5976,-1.626918,0.012623,0.005977
27,1,5,263.0287,256.5976,-1.600967,0.012383,0.010285
28,1,5,269.6895,256.5976,-1.292249,0.013126,0.007005
29,2,5,274.9164,286.2034,-1.404097,0.018484,0.009929
30,2,5,284.8538,286.2034,-2.326455,-0.001765,-0.003718
31,5,2,286.4685,286.2034,-3.033354,-0.004091,-0.006410
32,5,2,287.0449,286.2034,-2.531638,0.000843,0.000532
33,5,2,288.8370,286.2034,-2.036122,0.009247,0.004544
34,5,2,291.1697,286.2034,-1.760641,-0.001585,-0.001891
35,4,4,301.2311,315.8089,-1.335731,0.003211,0.001894
36,4,4,302.9504,315.8089,-1.390232,0.026309,0.024623
37,4,4,312.8663,315.8089,-2.030693,0.004419,0.002786
38,4,4,315.9383,315.8089,-3.387722,0.000946,0.000521
39,4,4,319.3559,315.8089,-1.949571,0.001300,0.000661
40,3,5,344.0323,335.5458,-1.597020,0.017169,0.014844
41,3,5,344.1242,335.5458,-1.592345,0.015984,0.014463
42,3,5,344.2934,335.5458,-1.583861,0.024200,0.023110
43,3,5,345.1680,335.5458,-1.542478,-0.014784,-0.027555
