mode_rank,m,n,w_h_exact
1,1,1,19.7390
2,1,2,49.3476
3,2,1,49.3476
4,2,2,78.9557
5,1,3,98.6942
6,3,1,98.6942
7,2,3,128.3018
8,3,2,128.3018
9,1,4,167.7781
10,4,1,167.7781
11,3,3,177.6471
12,2,4,197.3849
13,4,2,197.3849
14,3,4,246.7289
15,4,3,246.7289
16,1,5,256.5976
17,5,1,256.5976
18,2,5,286.2034
19,5,2,286.2034
20,4,4,315.8089
21,3,5,335.5458
22,5,3,335.5458
23,1,6,365.1508
24,6,1,365.1508
25,2,6,394.7554
26,6,2,394.7554
27,4,5,404.6236
28,5,4,404.6236
29,3,6,444.0958
30,6,3,444.0958
31,1,7,493.4353
32,7,1,493.4353
33,5,5,493.4353
34,4,6,513.1708
35,6,4,513.1708
36,2,7,523.0386
37,7,2,523.0386
38,3,7,572.3766
39,7,3,572.3766
40,5,6,601.9790
41,6,5,601.9790
42,1,8,641.4484
43,8,1,641.4484
44,4,7,641.4484
45,7,4,641.4484
46,2,8,671.0500
47,8,2,671.0500
48,6,6,710.5184
49,3,8,720.3854
50,8,3,720.3854
51,5,7,730.2523
52,7,5,730.2523
53,4,8,789.4533
54,8,4,789.4533
55,1,9,809.1867
56,9,1,809.1867
57,2,9,838.7865
58,9,2,838.7865
59,6,7,838.7865
60,7,6,838.7865
61,5,8,878.2525
62,8,5,878.2525
63,3,9,888.1188
64,9,3,888.1188
65,4,9,957.1826
66,9,4,957.1826
67,7,7,967.0487
68,6,8,986.7808
69,8,6,986.7808
70,1,10,996.6468
71,10,1,996.6468
72,2,10,1026.2445
73,10,2,1026.2445
74,5,9,1045.9762
75,9,5,1045.9762
76,3,10,1075.5734
77,10,3,1075.5734
78,7,8,1115.0359
79,8,7,1115.0359
80,4,10,1144.6323
81,10,4,1144.6323
82,6,9,1154.4978
83,9,6,1154.4978
84,1,11,1203.8243
85,11,1,1203.8243
86,2,11,1233.4198
87,11,2,1233.4198
88,5,10,1233.4198
89,10,5,1233.4198
90,8,8,1263.0150
91,3,11,1282.7449
92,11,3,1282.7449
93,7,9,1282.7449
94,9,7,1282.7449
95,6,10,1341.9339
96,10,6,1341.9339
97,4,11,1351.7986
98,11,4,1351.7986
99,1,12,1430.7149
100,12,1,1430.7149
101,8,9,1430.7149
102,9,8,1430.7149
103,5,11,1440.5793
104,11,5,1440.5793
105,2,12,1460.3079
106,12,2,1460.3079
107,7,10,1470.1722
108,10,7,1470.1722
109,3,12,1509.6289
110,12,3,1509.6289
111,6,11,1549.0851
112,11,6,1549.0851
113,4,12,1578.6768
114,12,4,1578.6768
115,9,9,1598.4045
116,8,10,1618.1320
117,10,8,1618.1320
118,5,12,1667.4501
119,12,5,1667.4501
120,1,13,1677.3136
121,13,1,1677.3136
122,7,11,1677.3136
123,11,7,1677.3136
124,2,13,1706.9039
125,13,2,1706.9039
126,3,13,1756.2204
127,13,3,1756.2204
128,6,12,1775.9468
129,12,6,1775.9468
130,9,10,1785.8099
131,10,9,1785.8099
132,4,13,1825.2620
133,13,4,1825.2620
134,8,11,1825.2620
135,11,8,1825.2620
136,7,12,1904.1646
137,12,7,1904.1646
138,5,13,1914.0272
139,13,5,1914.0272
140,1,14,1943.6150
141,14,1,1943.6150
142,2,14,1973.2024
143,14,2,1973.2024
144,10,10,1973.2024
145,9,11,1992.9272
146,11,9,1992.9272
147,3,14,2022.5141
148,14,3,2022.5141
149,6,13,2022.5141
150,13,6,2022.5141
151,8,12,2052.1006
152,12,8,2052.1006
153,4,14,2091.5489
154,14,4,2091.5489
155,7,13,2150.7202
156,13,7,2150.7202
157,5,14,2180.3053
158,14,5,2180.3053
159,10,11,2180.3053
160,11,10,2180.3053
161,9,12,2219.7517
162,12,9,2219.7517
163,1,15,2229.6132
164,15,1,2229.6132
165,2,15,2259.1975
166,15,2,2259.1975
167,6,14,2288.7815
168,14,6,2288.7815
169,8,13,2298.6428
170,13,8,2298.6428
171,3,15,2308.5040
172,15,3,2308.5040
173,4,15,2377.5315
174,15,4,2377.5315
175,11,11,2387.3925
176,10,12,2407.1142
177,12,10,2407.1142
178,7,14,2416.9751
179,14,7,2416.9751
180,5,15,2466.2787
181,15,5,2466.2787
182,9,13,2466.2787
183,13,9,2466.2787
184,1,16,2535.3022
185,16,1,2535.3022
186,2,16,2564.8831
187,16,2,2564.8831
188,8,14,2564.8831
189,14,8,2564.8831
190,6,15,2574.7434
