mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
1,1,1,18.9975,19.7390,-1.425234,-1.533935,-1.263854
2,2,1,47.3363,49.3476,-1.389807,-0.150095,-0.149127
3,2,1,48.1074,49.3476,-1.599773,-0.149924,-0.149299
4,2,2,73.1509,78.9557,-1.133599,-0.585543,-0.534456
5,1,3,95.8028,98.6942,-1.533184,-0.149552,-0.149054
6,1,3,95.9966,98.6942,-1.563311,-0.144011,-0.142173
7,2,3,113.5862,128.3018,-0.940454,-0.131509,-0.123775
8,2,3,120.2315,128.3018,-1.201345,-0.129587,-0.126473
9,3,2,145.4321,128.3018,-0.874469,-0.000000,-0.000000
10,3,2,146.6629,128.3018,-0.844335,0.002942,0.001784
11,1,4,152.0633,167.7781,-1.028426,0.007745,0.004484
12,1,4,160.6012,167.7781,-1.368801,-0.088429,-0.086235
13,1,4,160.9589,167.7781,-1.391000,-0.137033,-0.136415
14,4,1,172.0407,167.7781,-1.595058,0.007071,0.006301
15,3,3,178.9897,177.6471,-2.121591,-0.022612,-0.026413
16,3,3,181.5510,177.6471,-1.658054,0.000000,0.000000
17,3,3,183.8159,177.6471,-1.459354,0.000000,0.000000
18,3,3,184.5963,177.6471,-1.407618,-0.000000,-0.000000
19,2,4,202.2593,197.3849,-1.607398,0.000046,-0.000549
20,2,4,204.3501,197.3849,-1.452379,0.009142,0.004589
21,2,4,209.5815,197.3849,-1.209076,0.007325,0.002980
22,2,4,210.8493,197.3849,-1.166128,0.018591,0.015298
23,4,3,227.4964,246.7289,-1.108186,0.024576,0.014862
24,4,3,227.9606,246.7289,-1.118797,0.000000,0.000000
25,4,3,238.0284,246.7289,-1.452678,0.003116,0.000406
26,4,3,238.5147,246.7289,-1.477658,0.000000,-0.000000
27,4,3,241.8832,246.7289,-1.706869,0.006382,0.004277
28,4,3,244.8285,246.7289,-2.113370,0.016006,0.011772
29,3,4,251.5270,246.7289,-1.711152,-0.008848,-0.011860
30,1,5,266.0146,256.5976,-1.435336,-0.002019,-0.002424
31,2,5,272.3968,286.2034,-1.316589,-0.018093,-0.018661
32,2,5,278.4811,286.2034,-1.568930,0.011543,0.007971
33,5,2,289.5572,286.2034,-1.931141,-0.008173,-0.008555
34,5,2,297.4674,286.2034,-1.404982,0.002131,0.001505
35,4,4,320.8903,315.8089,-1.793447,0.003863,0.002814
36,5,3,325.6888,335.5458,-1.532007,0.040454,0.031545
37,3,5,336.7071,335.5458,-2.460809,-0.005002,-0.005004
38,3,5,340.6791,335.5458,-1.815352,-0.009083,-0.009818
39,3,5,347.8397,335.5458,-1.436063,0.007810,0.005834
40,3,5,349.8288,335.5458,-1.370933,0.022725,0.016760
41,3,5,349.9218,335.5458,-1.368113,0.002189,0.001405
42,3,5,350.0020,335.5458,-1.365697,-0.000000,-0.000000
43,6,1,357.0291,365.1508,-1.652829,0.000000,0.000000
44,1,6,370.1746,365.1508,-1.861433,0.008706,0.006917
45,1,6,372.1789,365.1508,-1.715634,0.000000,0.000000
46,2,6,392.3292,394.7554,-2.211395,-0.019569,-0.020195
47,2,6,393.0474,394.7554,-2.363830,0.013770,0.010969
48,5,4,401.2673,404.6236,-2.081200,-0.009492,-0.010795
49,4,5,408.5490,404.6236,-2.013160,0.021019,0.016205
50,4,5,419.7620,404.6236,-1.426970,0.002505,0.001903
51,6,3,441.4686,444.0958,-2.227986,-0.000000,-0.000000
52,3,6,448.8967,444.0958,-1.966152,0.012286,0.009511
53,3,6,454.7393,444.0958,-1.620392,0.007770,0.007131
54,3,6,467.1850,444.0958,-1.284067,0.010067,0.008540
55,7,1,472.9463,493.4353,-1.381711,0.001723,0.001183
56,7,1,491.3546,493.4353,-2.375030,0.008251,0.006134
57,6,4,503.8109,513.1708,-1.738987,0.007873,0.006188
58,4,6,513.5914,513.1708,-3.086428,0.009367,0.008168
59,7,2,528.1497,523.0386,-2.010014,0.011242,0.008396
60,7,2,534.9252,523.0386,-1.643476,0.002222,0.001896
61,7,2,547.2016,523.0386,-1.335383,0.004225,0.003638
62,7,3,568.5021,572.3766,-2.169469,0.007579,0.005758
63,7,3,571.2717,572.3766,-2.714363,0.000000,-0.000000
64,3,7,575.6918,572.3766,-2.237179,0.011544,0.005509
65,15,15,57157.9883,4437.6877,1.074821,0.000000,0.000000
66,15,15,57159.0364,4437.6877,1.074830,0.000000,0.000000
67,15,15,57160.5224,4437.6877,1.074842,0.000000,0.000000
68,15,15,57160.7182,4437.6877,1.074844,0.000000,0.000000
69,15,15,57161.6261,4437.6877,1.074851,0.000000,0.000000
70,15,15,57164.9543,4437.6877,1.074879,0.000000,0.000000
71,15,15,57164.9997,4437.6877,1.074879,0.000000,0.000000
72,15,15,57165.1172,4437.6877,1.074880,0.000000,0.000000
73,15,15,57167.5570,4437.6877,1.074900,0.000000,0.000000
74,15,15,57167.9735,4437.6877,1.074903,0.000000,0.000000
75,15,15,57168.9117,4437.6877,1.074911,0.000000,0.000000
76,15,15,57170.3107,4437.6877,1.074923,-0.000000,0.000000
77,15,15,57173.8781,4437.6877,1.074952,0.000000,0.000000
78,15,15,57178.6906,4437.6877,1.074992,0.000000,0.000000
79,15,15,57178.7984,4437.6877,1.074993,0.000000,0.000000
80,15,15,57178.8087,4437.6877,1.074993,0.000000,0.000000
81,15,15,57191.5732,4437.6877,1.075098,0.000000,0.000000
82,15,15,57193.3121,4437.6877,1.075112,0.000000,0.000000
83,15,15,57193.8396,4437.6877,1.075116,0.000000,0.000000
84,15,15,57205.1702,4437.6877,1.075210,0.000000,0.000000
