mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
1,1,1,20.0094,19.7390,-1.863242,-1.696360,-1.996593
2,1,2,51.7305,49.3476,-1.316152,-0.149998,-0.150245
3,1,2,51.7305,49.3476,-1.316152,-0.149998,-0.150245
4,2,2,82.6273,78.9557,-1.332528,-1.106477,-1.136154
5,3,1,112.1452,98.6942,-0.865538,-0.148435,-0.150267
6,3,1,112.1453,98.6942,-0.865537,-0.133361,-0.140146
7,3,2,142.4791,128.3018,-0.956641,-0.147161,-0.149253
8,3,2,142.4791,128.3018,-0.956641,-0.147161,-0.149253
9,2,4,201.5396,197.3849,-1.676773,0.087269,0.093924
10,2,4,214.4236,197.3849,-1.063877,0.065890,0.077320
11,2,4,214.4236,197.3849,-1.063877,0.065890,0.077320
12,4,3,242.9761,246.7289,-1.817872,0.000000,0.000000
13,4,3,243.0172,246.7289,-1.822649,0.000000,0.000000
14,5,2,299.3358,286.2034,-1.338332,0.033235,0.038488
15,5,2,299.3358,286.2034,-1.338332,0.033235,0.038488
16,2,6,387.9957,394.7554,-1.766400,0.000000,0.000000
17,2,6,387.9958,394.7554,-1.766403,0.000000,0.000000
18,2,6,391.9113,394.7554,-2.142383,0.033936,0.038528
19,4,5,415.5908,404.6236,-1.566955,0.056586,0.067975
20,4,5,415.5908,404.6236,-1.566955,0.056586,0.067975
21,7,1,470.1668,493.4353,-1.326462,0.003628,0.004170
22,7,1,470.1672,493.4353,-1.326470,0.001512,0.001739
23,7,3,557.3895,572.3766,-1.581964,0.014873,0.017669
24,7,3,557.3895,572.3766,-1.581964,0.014873,0.017669
25,6,6,695.0006,710.5184,-1.660747,0.037685,0.050483
26,6,6,695.0006,710.5184,-1.660747,0.037685,0.050483
27,3,8,717.2385,720.3854,-2.359685,0.007381,0.009374
28,3,8,718.8916,720.3854,-2.683285,0.028257,0.038737
29,3,8,718.8970,720.3854,-2.684844,0.020618,0.028432
30,8,4,767.2016,789.4533,-1.549962,0.003811,0.005179
31,8,4,767.2016,789.4533,-1.549962,0.003811,0.005179
32,6,7,841.3155,838.7865,-2.520706,0.015560,0.021588
33,6,7,841.6404,838.7865,-2.468226,0.006815,0.009548
34,6,8,984.2591,986.7808,-2.592533,0.004066,0.005783
35,6,8,984.2591,986.7808,-2.592533,0.004066,0.005783
36,11,1,1206.9470,1203.8243,-2.586034,0.029543,0.043615
37,9,7,1311.3228,1282.7449,-1.652111,0.000000,0.000000
38,9,7,1311.3229,1282.7449,-1.652110,0.000000,0.000000
39,6,10,1333.5604,1341.9339,-2.204825,0.013814,0.024869
40,6,10,1333.5604,1341.9339,-2.204825,0.013814,0.024869
41,11,4,1380.7861,1351.7986,-1.668701,0.005749,0.010712
42,11,4,1380.7870,1351.7986,-1.668688,0.060992,0.103576
43,5,11,1444.5280,1440.5793,-2.562083,0.030296,0.052615
44,5,11,1444.5280,1440.5793,-2.562083,0.030296,0.052615
45,4,12,1581.2610,1578.6768,-2.785962,-0.000000,0.000000
46,4,12,1581.2658,1578.6768,-2.785165,0.000000,0.000000
47,13,3,1753.9831,1756.2204,-2.894845,0.002255,0.004160
48,13,3,1753.9831,1756.2204,-2.894845,0.002255,0.004160
49,9,11,2000.8242,1992.9272,-2.402027,-0.000000,-0.000000
50,14,6,2274.7614,2288.7815,-2.212851,0.003401,0.007084
51,15,9,3044.4394,3018.4176,-2.064442,0.000000,0.000000
52,15,9,3044.4394,3018.4176,-2.064442,0.000000,0.000000
53,13,12,3060.0028,3087.4271,-2.051462,0.045942,0.126273
54,13,12,3068.9220,3087.4271,-2.222306,0.000000,0.000000
55,12,13,3102.6676,3087.4271,-2.306599,0.013186,0.041521
56,12,13,3102.6676,3087.4271,-2.306599,0.013186,0.041521
57,11,14,3134.8527,3126.8603,-2.592433,0.043490,0.118467
58,10,15,3185.2852,3205.7250,-2.195450,0.000000,0.000000
59,15,10,3248.1405,3205.7250,-1.878401,-0.000000,0.000000
60,15,10,3248.1405,3205.7250,-1.878401,0.000000,-0.000000
61,13,13,3289.5081,3333.8752,-1.875889,0.001520,0.004599
62,14,13,3530.7525,3600.0139,-1.715813,0.014208,0.039102
63,14,13,3530.7525,3600.0139,-1.715813,0.014208,0.039102
64,14,13,3566.3166,3600.0139,-2.028709,0.002882,0.008887
65,15,15,55836.5165,4437.6877,1.063796,0.000000,0.000000
66,15,15,55836.7113,4437.6877,1.063798,0.000000,0.000000
67,15,15,55836.7393,4437.6877,1.063798,0.000000,0.000000
68,15,15,55836.7393,4437.6877,1.063798,0.000000,0.000000
69,15,15,55836.7682,4437.6877,1.063799,0.000000,0.000000
70,15,15,55837.1860,4437.6877,1.063802,-0.000000,0.000000
71,15,15,55837.2865,4437.6877,1.063803,0.000000,0.000000
72,15,15,55837.2865,4437.6877,1.063803,0.000000,0.000000
73,15,15,55838.0040,4437.6877,1.063809,0.000000,0.000000
74,15,15,55838.3332,4437.6877,1.063812,0.000000,0.000000
75,15,15,55838.6504,4437.6877,1.063815,0.000000,0.000000
76,15,15,55838.6504,4437.6877,1.063815,0.000000,0.000000
77,15,15,55838.6895,4437.6877,1.063815,0.000000,0.000000
