mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
1,1,1,19.3572,19.7390,-1.713468,-1.860680,-1.530203,0.408332
2,2,1,48.4206,49.3476,-1.726228,-0.150236,-0.149887,0.215193
3,2,1,48.7744,49.3476,-1.935021,-0.150183,-0.149946,0.219857
4,2,2,76.5644,78.9557,-1.518763,-1.061536,-0.964988,0.308450
5,1,3,97.6043,98.6942,-1.956891,-0.139315,-0.139965,0.245701
6,1,3,97.6214,98.6942,-1.963772,-0.148980,-0.148501,0.192049
7,2,3,122.5951,128.3018,-1.351850,-0.147939,-0.145968,0.184590
8,2,3,125.2811,128.3018,-1.628126,-0.147508,-0.146470,0.189411
9,1,4,166.2759,167.7781,-2.048007,-0.147237,-0.146670,0.179989
10,1,4,166.5296,167.7781,-2.128346,-0.145703,-0.145116,0.175299
11,4,1,167.9916,167.7781,-2.895315,0.022033,0.021418,0.030095
12,4,2,190.7617,197.3849,-1.474245,-0.145157,-0.143237,0.173414
13,4,2,191.5009,197.3849,-1.525637,-0.131180,-0.128702,0.150964
14,4,3,226.4912,246.7289,-1.086060,-0.139553,-0.133859,0.154606
15,4,3,236.7395,246.7289,-1.392682,-0.141549,-0.139523,0.172460
16,5,1,254.4764,256.5976,-2.082683,-0.141709,-0.141006,0.164485
17,5,1,254.5062,256.5976,-2.088823,-0.140741,-0.140047,0.163374
18,2,5,275.9970,286.2034,-1.447802,-0.139828,-0.137386,0.162801
19,2,5,277.6255,286.2034,-1.523291,-0.123068,-0.120280,0.133778
20,2,5,285.5009,286.2034,-2.610036,0.069811,0.064401,0.086036
21,4,4,311.6387,315.8089,-1.879263,0.000000,0.000000,0.000000
22,4,4,318.5155,315.8089,-2.067004,0.000000,0.000000,0.000000
23,3,5,348.9547,335.5458,-1.398357,0.074664,0.068848,0.101947
24,6,1,361.3180,365.1508,-1.978959,-0.130190,-0.129630,0.150466
25,6,1,361.6182,365.1508,-2.014379,-0.129556,-0.128843,0.146277
26,1,6,374.2200,365.1508,-1.604902,0.000000,0.000000,-0.000000
27,2,6,380.4346,394.7554,-1.440361,-0.142237,-0.140809,0.177749
28,2,6,381.1585,394.7554,-1.462888,-0.123595,-0.120966,0.139827
29,4,5,411.3288,404.6236,-1.780640,0.019481,0.016652,0.073018
30,4,5,412.0451,404.6236,-1.736556,0.000000,-0.000000,0.000000
31,4,5,417.7435,404.6236,-1.489121,-0.010166,-0.012027,0.080327
32,3,6,449.7126,444.0958,-1.897986,0.031202,0.027773,0.040595
