mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
1,1,1,19.8673,19.7390,-2.187175,-2.014063,-2.314514
2,1,2,50.4647,49.3476,-1.645145,-0.150393,-0.150454
3,1,2,50.4647,49.3476,-1.645145,-0.150392,-0.150454
4,2,2,80.6988,78.9557,-1.656050,-1.419860,-1.449444
5,3,1,104.7682,98.6942,-1.210824,-0.150018,-0.150464
6,3,1,104.7682,98.6942,-1.210819,-0.149012,-0.146903
7,3,2,134.7705,128.3018,-1.297416,-0.138737,-0.141284
8,3,2,134.7705,128.3018,-1.297415,-0.147815,-0.145231
9,4,2,187.7703,197.3849,-1.312381,0.041964,0.041724
10,4,2,187.7703,197.3849,-1.312381,0.041964,0.041724
11,4,2,188.5208,197.3849,-1.347681,0.089744,0.088637
12,2,4,217.1002,197.3849,-1.000510,-0.150237,-0.147473
13,2,4,217.1088,197.3849,-1.000321,-0.148538,-0.149852
14,1,5,269.8969,256.5976,-1.285423,0.009243,0.010184
15,1,5,269.8969,256.5976,-1.285423,0.009243,0.010184
16,4,4,308.6613,315.8089,-1.645263,0.023168,0.024288
17,4,4,308.6614,315.8089,-1.645267,0.011297,0.011858
18,3,5,337.6499,335.5458,-2.202683,0.005342,0.005774
19,3,5,337.6499,335.5458,-2.202683,0.005342,0.005773
20,3,5,349.6602,335.5458,-1.376088,0.002025,0.002244
21,2,6,389.7841,394.7554,-1.899859,0.003295,0.003497
22,2,6,389.7847,394.7554,-1.899905,0.000496,0.000526
23,3,6,468.0462,444.0958,-1.268164,0.046872,0.052836
24,3,6,468.0462,444.0958,-1.268164,0.046872,0.052836
25,7,1,481.4318,493.4353,-1.613922,0.065152,0.070431
26,7,1,481.4318,493.4353,-1.613922,0.065152,0.070431
27,6,4,509.2959,513.1708,-2.122001,0.098782,0.107530
28,6,4,509.3068,513.1708,-2.123217,0.004025,0.004490
29,7,3,559.5793,572.3766,-1.650563,0.060754,0.065781
30,7,3,559.5793,572.3766,-1.650563,0.060754,0.065781
31,3,7,584.7573,572.3766,-1.664937,0.001697,0.001908
32,8,1,634.8861,641.4484,-1.990111,0.000308,0.000343
33,8,1,634.9198,641.4484,-1.992347,0.004732,0.005270
34,7,5,730.4031,730.2523,-3.685016,0.004372,0.005202
35,7,5,730.4032,730.2523,-3.684824,0.003264,0.003886
36,7,5,748.0325,730.2523,-1.613536,0.052902,0.060530
37,7,5,748.0325,730.2523,-1.613536,0.052902,0.060530
38,7,5,757.6236,730.2523,-1.426177,0.013927,0.017067
39,7,5,757.6236,730.2523,-1.426177,0.013927,0.017067
40,1,9,806.7430,809.1867,-2.519999,0.002637,0.003117
41,1,9,806.7436,809.1867,-2.520103,0.000396,0.000468
42,8,5,879.7328,878.2525,-2.773258,0.004128,0.004905
43,8,5,879.7328,878.2525,-2.773258,0.004128,0.004905
44,9,3,905.4232,888.1188,-1.710315,0.030456,0.035774
45,6,8,989.8220,986.7808,-2.511164,0.047703,0.056005
46,6,8,989.8236,986.7808,-2.510948,0.036497,0.043037
47,7,8,1096.3552,1115.0359,-1.775896,0.012132,0.015411
48,7,8,1096.3552,1115.0359,-1.775896,0.012132,0.015411
49,7,8,1121.7307,1115.0359,-2.221549,0.006160,0.008018
50,7,8,1121.7409,1115.0359,-2.220890,0.013865,0.017953
51,10,4,1141.1519,1144.6323,-2.517030,0.014059,0.016914
52,10,4,1141.1519,1144.6323,-2.517030,0.014059,0.016914
53,6,9,1167.7378,1154.4978,-1.940505,0.008586,0.011188
54,6,9,1167.7378,1154.4978,-1.940505,0.008586,0.011188
55,11,2,1235.6418,1233.4198,-2.744376,0.017205,0.022063
56,11,2,1235.6655,1233.4198,-2.739756,0.003787,0.004898
57,6,10,1339.0505,1341.9339,-2.667832,0.000594,0.000768
58,6,10,1339.0505,1341.9339,-2.667832,0.000594,0.000768
59,11,4,1370.5094,1351.7986,-1.858819,0.012474,0.015738
60,7,10,1479.2713,1470.1722,-2.208371,0.019882,0.025779
61,7,10,1479.3000,1470.1722,-2.207002,0.060809,0.076909
62,12,5,1658.0194,1667.4501,-2.247511,0.002963,0.004357
63,12,5,1658.0195,1667.4501,-2.247514,0.003824,0.005616
64,13,1,1682.4076,1677.3136,-2.517550,0.000000,0.000000
65,13,1,1682.4076,1677.3136,-2.517550,0.000000,-0.000000
66,2,13,1695.4800,1706.9039,-2.174394,-0.000000,-0.000000
67,2,13,1695.4800,1706.9039,-2.174394,-0.000000,0.000000
68,13,2,1726.8037,1706.9039,-1.933361,0.000000,-0.000000
69,13,2,1726.8043,1706.9039,-1.933347,0.000000,-0.000000
70,10,9,1791.2469,1785.8099,-2.516479,0.009286,0.013831
71,10,9,1791.2469,1785.8099,-2.516479,0.009286,0.013831
72,7,12,1890.3942,1904.1646,-2.140758,0.003831,0.005547
73,7,12,1890.3961,1904.1646,-2.140820,0.000972,0.001411
74,9,11,1996.2527,1992.9272,-2.777630,0.024319,0.033288
75,14,3,2020.9967,2022.5141,-3.124794,0.000636,0.000931
76,14,3,2020.9967,2022.5141,-3.124794,0.018937,0.027211
77,15,1,2226.7519,2229.6132,-2.891663,0.000601,0.000889
78,15,1,2226.7571,2229.6132,-2.892455,0.001181,0.001745
79,9,13,2502.2120,2466.2787,-1.836545,0.000000,0.000000
80,9,13,2502.2120,2466.2787,-1.836545,0.000000,0.000000
81,6,15,2585.2611,2574.7434,-2.388813,0.001309,0.002380
82,6,15,2585.2611,2574.7434,-2.388813,0.001309,0.002380
83,12,11,2606.8867,2614.1840,-2.554171,0.009284,0.016490
84,12,11,2606.9776,2614.1840,-2.559616,0.012995,0.022936
85,13,10,2647.0483,2653.6241,-2.605888,-0.000000,-0.000000
86,13,10,2647.0483,2653.6241,-2.605888,0.000000,0.000000
87,7,15,2703.1114,2702.9234,-4.157723,0.001936,0.003461
88,7,15,2703.6351,2702.9234,-3.579522,0.043590,0.072940
89,12,12,2792.9072,2840.9567,-1.771776,0.051683,0.083879
90,12,12,2792.9072,2840.9567,-1.771776,0.051683,0.083879
91,14,10,2902.4016,2919.8296,-2.224108,0.016192,0.021375
92,14,10,2904.4657,2919.8296,-2.278855,0.002121,0.005740
93,9,15,2984.7423,3018.4176,-1.952468,0.021114,0.032517
94,13,12,3087.1921,3087.4271,-4.118482,0.000000,0.000000
95,13,12,3087.1921,3087.4271,-4.118482,0.000000,0.000000
96,13,13,3304.3860,3333.8752,-2.053286,0.000000,0.000000
97,13,13,3312.7983,3333.8752,-2.199143,0.000000,0.000000
98,12,15,3733.0573,3639.4397,-1.589677,0.003581,0.006760
99,12,15,3733.0573,3639.4397,-1.589677,0.003581,0.006760
100,15,15,4297.0982,4437.6877,-1.499204,0.015307,0.028284
101,15,15,4367.0916,4437.6877,-1.798376,0.046373,0.100994
102,15,15,4367.0949,4437.6877,-1.798396,0.058077,0.123215
103,15,15,4388.6428,4437.6877,-1.956563,0.035768,0.080209
104,15,15,4388.6428,4437.6877,-1.956563,0.035768,0.080209
105,15,15,4430.4229,4437.6877,-2.785935,0.024391,0.056345
106,15,15,4430.4576,4437.6877,-2.788015,0.033364,0.075619
107,15,15,4483.6322,4437.6877,-1.984923,0.026656,0.061761
108,15,15,4483.6322,4437.6877,-1.984923,0.026656,0.061761
109,15,15,4576.5207,4437.6877,-1.504664,0.026288,0.062386
110,15,15,4576.6549,4437.6877,-1.504245,0.047973,0.106249
111,15,15,4672.5507,4437.6877,-1.276342,0.030813,0.071864
112,15,15,4672.5507,4437.6877,-1.276342,0.030813,0.071864
113,15,15,4858.2997,4437.6877,-1.023275,0.028471,0.067160
114,15,15,4858.7507,4437.6877,-1.022810,0.010416,0.026653
115,15,15,5013.6918,4437.6877,-0.886731,0.001778,0.004128
116,15,15,5028.5601,4437.6877,-0.875663,0.020450,0.051515
117,15,15,5028.5601,4437.6877,-0.875663,0.020450,0.051515
118,15,15,5430.3960,4437.6877,-0.650335,0.012714,0.039156
119,15,15,5432.1613,4437.6877,-0.649563,0.010687,0.030170
120,15,15,5832.5889,4437.6877,-0.502613,0.017343,0.051292
121,15,15,5832.5889,4437.6877,-0.502613,0.017343,0.051292
122,15,15,7171.1796,4437.6877,-0.210439,-0.029881,0.165055
123,15,15,9363.7855,4437.6877,0.045346,0.000142,0.001417
124,15,15,9363.7855,4437.6877,0.045346,0.000142,0.001417
125,15,15,9380.0401,4437.6877,0.046777,0.061935,0.315800
126,15,15,9392.7999,4437.6877,0.047897,0.039158,0.237618
127,15,15,9419.0062,4437.6877,0.050188,0.000138,0.001341
128,15,15,9419.0062,4437.6877,0.050188,0.000138,0.001341
129,15,15,9454.9509,4437.6877,0.053310,0.005020,0.044481
130,15,15,9509.7225,4437.6877,0.058025,0.006579,0.058469
131,15,15,9526.2816,4437.6877,0.059441,0.029138,0.182668
132,15,15,9526.2816,4437.6877,0.059441,0.029138,0.182668
133,15,15,9598.3131,4437.6877,0.065546,0.001368,0.012765
