mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
1,1,1,19.8165,19.7390,-2.405844,-1.827586,-1.581320
2,1,2,51.2692,49.3476,-1.409584,-0.150155,-0.150346
3,1,2,51.2693,49.3476,-1.409580,-0.150155,-0.150346
4,2,2,82.5460,78.9557,-1.342253,-1.194425,-1.493101
5,3,1,109.0683,98.6942,-0.978342,-0.132229,-0.137677
6,3,1,109.0750,98.6942,-0.978065,-0.149201,-0.150117
7,3,2,139.5348,128.3018,-1.057739,-0.148350,-0.149629
8,3,2,139.5348,128.3018,-1.057739,-0.148350,-0.149629
9,4,2,194.9512,197.3849,-1.909048,0.000000,0.000000
10,2,4,204.0539,197.3849,-1.471254,0.029480,0.032770
11,2,4,204.0539,197.3849,-1.471254,0.029480,0.032770
12,4,3,234.1273,246.7289,-1.291795,0.041137,0.042135
13,4,3,234.1275,246.7289,-1.291802,0.041138,0.042136
14,5,2,288.1713,286.2034,-2.162668,0.037524,0.040920
15,5,2,288.1713,286.2034,-2.162667,0.037524,0.040920
16,6,1,355.1473,365.1508,-1.562323,-0.000000,-0.000000
17,6,1,355.1557,365.1508,-1.562686,0.000000,-0.000000
18,1,6,379.7678,365.1508,-1.397614,0.013170,0.015154
19,2,6,383.4737,394.7554,-1.543953,0.022237,0.024749
20,2,6,383.4737,394.7554,-1.543953,0.022237,0.024749
21,6,3,434.1900,444.0958,-1.651587,-0.000000,0.000000
22,6,3,434.2468,444.0958,-1.654082,-0.000000,0.000000
23,2,7,521.3713,523.0386,-2.496524,0.013465,0.015610
24,2,7,521.3713,523.0386,-2.496524,0.013465,0.015610
25,5,6,601.6693,601.9790,-3.288693,-0.000000,-0.000000
26,5,6,601.6693,601.9790,-3.288694,-0.000000,-0.000000
27,8,1,629.1621,641.4484,-1.717743,0.005961,0.007404
28,8,1,629.1623,641.4484,-1.717750,0.012312,0.015239
29,4,7,654.6487,641.4484,-1.686576,0.050099,0.060392
30,2,8,677.5779,671.0500,-2.011979,0.009773,0.012439
31,2,8,677.5779,671.0500,-2.011979,0.009773,0.012439
32,8,4,761.4754,789.4533,-1.450511,0.017272,0.021001
33,8,4,761.4762,789.4533,-1.450523,0.017278,0.021007
34,3,9,885.9911,888.1188,-2.620543,0.002758,0.003561
35,3,9,885.9911,888.1188,-2.620544,0.002758,0.003561
36,2,10,1026.5845,1026.2445,-3.479854,0.000000,0.000000
37,2,10,1026.5875,1026.2445,-3.476029,0.000000,0.000000
38,9,5,1050.8552,1045.9762,-2.331193,-0.000000,-0.000000
39,9,5,1050.8552,1045.9762,-2.331193,0.000000,-0.000000
40,10,3,1092.5691,1075.5734,-1.801301,0.000000,-0.000000
41,10,3,1092.6789,1075.5734,-1.798505,0.000000,0.000000
42,7,8,1108.6191,1115.0359,-2.239970,0.009839,0.013237
43,6,9,1167.1623,1154.4978,-1.959803,0.005746,0.008611
44,6,9,1167.1623,1154.4978,-1.959803,0.005746,0.008611
45,8,8,1271.3008,1263.0150,-2.183074,0.000000,0.000000
46,8,8,1272.3517,1263.0150,-2.131217,-0.000000,-0.000000
47,10,7,1469.9431,1470.1722,-3.807302,0.000000,0.000000
48,10,7,1469.9431,1470.1722,-3.807303,0.000000,0.000000
49,3,13,1765.2254,1756.2204,-2.290094,0.042305,0.062669
50,8,11,1863.9735,1825.2620,-1.673485,0.038303,0.075385
51,8,11,1863.9735,1825.2620,-1.673485,0.038303,0.075385
52,7,12,1888.0606,1904.1646,-2.072772,0.037053,0.068873
53,7,12,1888.0614,1904.1646,-2.072794,0.037061,0.068888
54,13,5,1926.3954,1914.0272,-2.189642,-0.000000,0.000000
55,13,5,1926.3954,1914.0272,-2.189642,-0.000000,0.000000
56,9,11,1999.9933,1992.9272,-2.450312,0.000960,0.001915
57,9,11,1999.9983,1992.9272,-2.450005,0.005214,0.010301
