mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
1,1,1,19.3158,19.7390,-1.668786,-2.094711,-1.664271
2,2,1,48.3656,49.3476,-1.701170,-0.144994,-0.144404
3,2,1,48.6680,49.3476,-1.861044,-0.147568,-0.147614
4,2,2,76.3193,78.9557,-1.476377,-1.111035,-1.028233
5,1,3,97.4510,98.6942,-1.899741,-0.133367,-0.132704
6,1,3,97.5327,98.6942,-1.929262,-0.149853,-0.149544
7,2,3,122.4212,128.3018,-1.338808,-0.150062,-0.149386
8,2,3,124.8674,128.3018,-1.572376,-0.149770,-0.149393
9,1,4,165.7731,167.7781,-1.922627,-0.149538,-0.149277
10,1,4,166.0463,167.7781,-1.986242,-0.149090,-0.148735
11,4,1,167.8331,167.7781,-3.484454,0.022530,0.022063
12,4,2,189.7019,197.3849,-1.409782,-0.149211,-0.149336
13,4,2,190.6936,197.3849,-1.469800,-0.135126,-0.133119
14,4,3,225.4156,246.7289,-1.063569,-0.125733,-0.123551
15,4,3,233.5483,246.7289,-1.272285,0.001906,0.000264
16,4,3,233.8950,246.7289,-1.283861,-0.003625,-0.005114
17,4,3,235.1082,246.7289,-1.326990,-0.143145,-0.142294
18,5,1,253.2597,256.5976,-1.885788,-0.134116,-0.133083
19,5,1,253.3304,256.5976,-1.895087,-0.145975,-0.145526
20,2,5,274.5038,286.2034,-1.388503,-0.144191,-0.142982
21,2,5,276.0262,286.2034,-1.449048,-0.144236,-0.142914
22,2,5,283.7387,286.2034,-2.064907,0.025161,0.022879
23,2,5,284.0008,286.2034,-2.113730,0.000000,0.000000
24,2,5,284.2095,286.2034,-2.156975,0.000677,0.000125
25,4,4,306.7723,315.8089,-1.543416,-0.018364,-0.023592
26,4,4,307.7972,315.8089,-1.595700,0.012140,0.010711
27,4,4,308.7159,315.8089,-1.648590,0.013461,0.002839
28,4,4,317.7818,315.8089,-2.204326,-0.011809,-0.022246
29,3,5,339.2329,335.5458,-1.959064,0.000000,0.000000
30,3,5,342.5730,335.5458,-1.678967,0.016478,0.011881
31,3,5,344.4359,335.5458,-1.576843,0.032748,0.026379
32,6,1,357.0628,365.1508,-1.654633,-0.113197,-0.113583
33,6,1,357.5836,365.1508,-1.683540,-0.126234,-0.129090
34,6,1,361.2629,365.1508,-1.972766,0.011583,0.003295
35,1,6,366.1215,365.1508,-2.575359,0.017411,0.014800
36,1,6,367.5479,365.1508,-2.182773,0.001404,-0.002920
37,1,6,372.9006,365.1508,-1.673180,0.045622,0.039170
38,1,6,375.2880,365.1508,-1.556551,0.025463,0.023160
39,2,6,386.4216,394.7554,-1.675484,-0.017615,-0.024241
40,2,6,389.1868,394.7554,-1.850582,0.018586,0.007553
41,6,2,395.3973,394.7554,-2.788900,0.008006,0.003860
42,6,2,397.9791,394.7554,-2.087974,-0.011755,-0.020951
43,5,4,403.2280,404.6236,-2.462288,0.000665,0.000104
44,4,5,405.5051,404.6236,-2.661818,0.009053,0.007796
45,4,5,412.1892,404.6236,-1.728206,-0.011344,-0.012470
46,4,5,413.0018,404.6236,-1.683900,0.007196,0.005880
47,6,3,424.4345,444.0958,-1.353864,0.006783,0.004703
48,6,3,428.3447,444.0958,-1.450165,0.009666,0.003128
49,6,3,430.2168,444.0958,-1.505118,0.004495,0.001373
50,6,3,436.2766,444.0958,-1.754313,-0.006016,-0.016224
51,6,3,442.3424,444.0958,-2.403588,0.007459,0.006225
52,3,6,459.1820,444.0958,-1.468897,0.017384,0.016007
53,3,6,464.5533,444.0958,-1.336624,0.068215,0.058800
54,7,1,477.2303,493.4353,-1.483583,-0.119300,-0.117346
55,7,1,478.4356,493.4353,-1.517147,-0.121454,-0.120072
56,7,1,481.9916,493.4353,-1.634665,0.002064,0.000956
57,7,1,484.8378,493.4353,-1.758856,-0.000638,-0.001966
58,7,1,489.1164,493.4353,-2.057862,0.002208,0.001428
59,7,1,490.3491,493.4353,-2.203809,0.000735,0.000664
60,5,5,497.0180,493.4353,-2.139023,0.016637,0.008079
61,5,5,497.9984,493.4353,-2.033965,0.000000,0.000000
62,6,4,508.9123,513.1708,-2.080999,0.045516,0.038889
63,6,4,509.2617,513.1708,-2.118180,-0.001923,-0.002907
64,4,6,515.5795,513.1708,-2.328493,0.031041,0.019169
65,2,7,519.6953,523.0386,-2.194360,0.007602,0.005815
66,2,7,520.9249,523.0386,-2.393505,-0.002314,-0.002862
67,7,2,527.6882,523.0386,-2.051118,0.036014,0.028047
68,7,2,535.1247,523.0386,-1.636246,0.000459,0.000240
69,7,2,540.9188,523.0386,-1.466160,-0.000037,-0.000247
70,7,2,541.6356,523.0386,-1.449090,0.014391,0.010244
71,7,2,543.9430,523.0386,-1.398296,0.025285,0.014663
72,7,3,557.8916,572.3766,-1.596763,0.002372,0.001911
73,7,3,569.4422,572.3766,-2.290160,0.014931,0.009180
74,7,3,570.4005,572.3766,-2.461880,0.003635,0.003214
75,3,7,580.1147,572.3766,-1.869045,0.031599,0.021052
76,3,7,586.4834,572.3766,-1.608252,0.004217,-0.000564
77,5,6,587.2937,601.9790,-1.612698,0.000000,0.000000
78,5,6,590.6913,601.9790,-1.726974,-0.000000,-0.000000
79,5,6,595.0123,601.9790,-1.936555,0.000000,0.000000
80,5,6,606.0005,601.9790,-2.175192,0.000000,0.000000
81,5,6,606.0852,601.9790,-2.166136,0.000000,0.000000
82,5,6,609.2046,601.9790,-1.920706,0.000000,-0.000000
83,5,6,614.1719,601.9790,-1.693476,0.000000,0.000000
84,5,6,620.2063,601.9790,-1.518858,0.000000,-0.000000
85,8,1,623.6870,641.4484,-1.557685,-0.003913,-0.004215
86,8,1,626.6295,641.4484,-1.636347,-0.004222,-0.007372
87,8,1,630.4748,641.4484,-1.766815,0.006045,0.001899
88,8,1,636.1192,641.4484,-2.080501,-0.002955,-0.003772
89,4,7,642.9994,641.4484,-2.616526,0.019339,0.013432
90,4,7,655.6643,641.4484,-1.654387,0.014724,0.011139
91,2,8,671.6317,671.0500,-3.062029,0.009284,0.005061
92,2,8,675.3020,671.0500,-2.198162,0.015237,0.011079
93,2,8,676.8583,671.0500,-2.062703,-0.000337,-0.000681
94,2,8,685.7164,671.0500,-1.660431,0.020160,0.014045
95,2,8,686.2822,671.0500,-1.643993,0.004147,0.003010
96,6,6,693.7663,710.5184,-1.627507,0.000000,0.000000
97,6,6,705.4619,710.5184,-2.147730,-0.000000,0.000000
98,6,6,706.3053,710.5184,-2.226976,-0.000000,0.000000
99,6,6,708.9071,710.5184,-2.644400,0.002419,0.001637
100,8,3,721.8897,720.3854,-2.680225,-0.005340,-0.005562
101,5,7,727.7386,730.2523,-2.463158,-0.001400,-0.001877
102,5,7,728.2762,730.2523,-2.567654,0.006823,0.005445
103,7,5,737.5124,730.2523,-2.002533,0.004093,0.003438
104,7,5,741.9081,730.2523,-1.796931,0.013208,0.010411
105,7,5,748.5868,730.2523,-1.600204,0.021407,0.014870
106,8,4,763.2994,789.4533,-1.479789,-0.031631,-0.033791
107,8,4,772.0721,789.4533,-1.657246,0.000853,0.000547
108,8,4,778.6709,789.4533,-1.864610,0.000623,0.000569
109,8,4,780.6465,789.4533,-1.952507,-0.006983,-0.006842
110,8,4,784.4909,789.4533,-2.201632,0.000127,0.000079
111,9,1,821.4054,809.1867,-1.821026,0.000000,-0.000000
112,9,1,822.9284,809.1867,-1.770009,0.022405,0.016649
113,2,9,826.4360,838.7865,-1.831966,0.020084,0.014054
114,2,9,835.0822,838.7865,-2.354937,-0.000000,-0.000000
115,6,7,840.3219,838.7865,-2.737430,0.017716,0.012614
116,6,7,841.1718,838.7865,-2.546123,0.001378,0.000808
117,6,7,850.7551,838.7865,-1.845611,-0.000397,-0.001410
118,5,8,858.5402,878.2525,-1.648883,0.003226,0.002054
119,5,8,860.5315,878.2525,-1.695133,0.000000,-0.000000
120,5,8,860.5881,878.2525,-1.696522,0.023185,0.021369
121,8,5,882.7072,878.2525,-2.294796,0.008654,0.004525
122,9,3,888.4867,888.1188,-3.382814,-0.022231,-0.021949
123,9,3,895.3130,888.1188,-2.091492,-0.010479,-0.011941
124,9,3,906.3112,888.1188,-1.688582,0.000000,-0.000000
125,9,3,909.4257,888.1188,-1.619951,0.003193,0.002080
126,9,3,917.4590,888.1188,-1.481009,0.000000,-0.000000
127,9,4,925.7651,957.1826,-1.483824,0.017130,0.012128
128,9,4,931.6114,957.1826,-1.573244,0.003941,0.002747
129,9,4,934.8026,957.1826,-1.631135,0.021026,0.017889
130,9,4,937.5062,957.1826,-1.687051,0.000475,-0.002278
131,9,4,946.7239,957.1826,-1.961518,0.016195,0.011497
132,9,4,950.5890,957.1826,-2.161874,0.004697,0.003247
133,7,7,963.4771,967.0487,-2.432585,-0.002136,-0.002077
134,7,7,965.8210,967.0487,-2.896387,0.010809,0.007402
135,7,7,972.1896,967.0487,-2.274407,0.006146,0.004449
136,7,7,972.9885,967.0487,-2.211670,0.002496,0.001849
137,7,7,974.4574,967.0487,-2.115704,0.000873,0.000590
138,6,8,979.9088,986.7808,-2.157138,0.009869,0.004052
139,1,10,991.7951,996.6468,-2.312652,0.000000,0.000000
140,1,10,992.5788,996.6468,-2.389166,0.000000,0.000000
141,10,1,999.3165,996.6468,-2.572079,0.002953,0.002334
142,10,2,1024.7176,1026.2445,-2.827430,-0.000000,-0.000000
