mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
1,1,1,19.3312,19.7390,-1.684911,-1.769837,-1.468259,0.401063
2,2,1,48.3330,49.3476,-1.687001,-0.150078,-0.149616,0.211298
3,2,1,48.7409,49.3476,-1.910317,-0.149894,-0.149585,0.214738
4,2,2,76.3344,78.9557,-1.478870,-1.009351,-0.913011,0.303065
5,1,3,97.4944,98.6942,-1.915185,-0.141847,-0.142440,0.239842
6,1,3,97.5272,98.6942,-1.927205,-0.148368,-0.147750,0.188591
7,2,3,121.9080,128.3018,-1.302470,-0.146997,-0.144438,0.179336
8,2,3,125.0206,128.3018,-1.592204,-0.146627,-0.145312,0.185022
9,1,4,166.0594,167.7781,-1.989534,-0.146565,-0.145865,0.177679
10,1,4,166.3510,167.7781,-2.070275,-0.144680,-0.143957,0.172316
11,1,4,166.7350,167.7781,-2.206431,0.019165,0.018345,0.025503
12,4,2,189.8872,197.3849,-1.420386,-0.148863,-0.148264,0.199512
13,4,2,190.9122,197.3849,-1.484230,-0.125675,-0.122745,0.141969
14,4,3,223.6697,246.7289,-1.029377,-0.145129,-0.140866,0.173123
15,4,3,235.5086,246.7289,-1.342217,-0.137117,-0.134338,0.161826
16,5,1,254.0949,256.5976,-2.010851,-0.148944,-0.148676,0.192866
17,5,1,254.1222,256.5976,-2.015619,-0.137712,-0.136806,0.157708
18,2,5,274.6004,286.2034,-1.392103,-0.136822,-0.133722,0.156780
19,2,5,276.5414,286.2034,-1.471605,-0.136189,-0.133365,0.159911
20,2,5,280.7487,286.2034,-1.719907,0.017656,0.015555,0.021579
21,4,4,308.1451,315.8089,-1.614979,0.019677,0.017897,0.022514
22,4,4,316.8074,315.8089,-2.500097,-0.044403,-0.046572,0.105618
23,3,5,340.5757,335.5458,-1.824191,0.042485,0.037027,0.057156
24,6,1,359.0489,365.1508,-1.777012,-0.112359,-0.111747,0.126566
25,6,1,359.5628,365.1508,-1.815218,-0.111355,-0.110250,0.118188
26,1,6,369.2764,365.1508,-1.946980,0.020549,0.015717,0.099766
27,1,6,377.2274,365.1508,-1.480525,0.006355,0.006280,0.007764
28,1,6,377.6739,365.1508,-1.464757,0.023843,0.023391,0.029314
29,6,2,398.8650,394.7554,-1.982536,-0.005163,-0.005704,0.011262
30,4,5,405.7352,404.6236,-2.561110,0.013339,0.010013,0.062356
31,4,5,414.0397,404.6236,-1.633181,-0.019056,-0.020935,0.076936
32,6,3,439.4970,444.0958,-1.984828,0.041021,0.034782,0.051416
33,3,6,450.7920,444.0958,-1.821649,0.005467,0.001362,0.031983
34,3,6,463.7816,444.0958,-1.353325,0.012791,0.011806,0.018633
35,7,1,486.5984,493.4353,-1.858371,-0.079838,-0.077893,0.080973
36,7,1,487.3900,493.4353,-1.911816,-0.113972,-0.111875,0.128358
37,5,5,495.4538,493.4353,-2.388201,0.036489,0.032276,0.045403
38,5,5,497.0723,493.4353,-2.132481,0.041650,0.037694,-0.013784
39,5,5,500.4645,493.4353,-1.846324,0.004496,0.004269,0.005306
40,6,4,510.7806,513.1708,-2.331826,0.010494,0.009174,0.012974
41,7,2,524.2051,523.0386,-2.651615,0.008032,0.007291,0.009690
42,7,2,531.9968,523.0386,-1.766310,0.009168,0.008614,0.011411
43,7,2,532.4446,523.0386,-1.745126,0.017460,0.014704,0.007812
44,7,3,566.4588,572.3766,-1.985520,0.008412,0.006718,0.011513
45,7,3,571.4951,572.3766,-2.812458,0.029206,0.024446,0.024874
46,3,7,579.0127,572.3766,-1.935768,0.013950,0.012900,0.017512
47,3,7,585.1324,572.3766,-1.651973,0.010660,0.007186,0.020785
48,5,6,607.7911,601.9790,-2.015251,0.009720,0.009233,0.008598
49,5,6,608.1927,601.9790,-1.986228,0.015696,0.015342,0.002073
50,8,1,621.7518,641.4484,-1.512771,0.004393,0.003942,0.004450
51,8,1,622.3882,641.4484,-1.527036,0.012345,0.010752,0.013336
52,8,1,630.7060,641.4484,-1.776062,-0.000258,-0.000570,0.003613
53,8,1,639.4003,641.4484,-2.495813,0.020500,0.017123,0.028445
54,8,1,641.2299,641.4484,-3.467808,0.001162,0.000970,0.001560
55,4,7,656.1270,641.4484,-1.640477,-0.009982,-0.010173,0.012605
