mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
95,9,13,2492.2558,2466.2787,-1.977450,0.064746,0.084625
96,13,10,2650.7168,2653.6241,-2.960339,0.005686,0.008011
97,13,10,2651.0306,2653.6241,-3.009953,0.006531,0.009199
98,9,14,2777.8380,2732.5026,-1.780122,0.043246,0.067678
99,9,14,2777.8382,2732.5026,-1.780121,-0.000000,0.000000
100,12,12,2801.2873,2840.9567,-1.855009,-0.000000,0.000000
101,12,12,2801.2873,2840.9567,-1.855009,0.000000,0.000000
102,12,12,2843.1289,2840.9567,-3.116551,0.037761,0.058423
103,12,12,2843.1302,2840.9567,-3.116292,0.057061,0.086374
104,14,10,2902.8730,2919.8296,-2.236017,0.005526,0.008821
105,14,10,2902.8730,2919.8296,-2.236017,0.005526,0.008821
106,9,15,2986.1976,3018.4176,-1.971653,0.000000,-0.000000
107,9,15,2986.1976,3018.4176,-1.971653,-0.000000,-0.000000
108,9,15,2991.0197,3018.4176,-2.042061,-0.000000,-0.000000
109,9,15,2991.0241,3018.4176,-2.042131,-0.000000,-0.000000
110,12,13,3103.0454,3087.4271,-2.295964,0.005360,0.008577
111,12,13,3103.0454,3087.4271,-2.295964,0.005360,0.008577
112,15,10,3267.4985,3205.7250,-1.715124,-0.000000,0.000000
113,15,10,3267.5107,3205.7250,-1.715038,0.000000,0.000000
114,15,11,3438.9637,3412.7338,-2.114306,0.000000,-0.000000
115,15,11,3471.4365,3412.7338,-1.764444,-0.000000,-0.000000
116,15,11,3471.4365,3412.7338,-1.764444,0.000000,-0.000000
117,14,14,3788.4182,3866.1266,-1.696808,0.025657,0.039663
118,14,14,3788.4560,3866.1266,-1.697020,0.001636,0.002608
119,14,15,4181.1736,4151.9222,-2.152102,0.000000,-0.000000
120,14,15,4181.1736,4151.9222,-2.152102,0.000000,-0.000000
121,14,15,4198.3682,4151.9222,-1.951300,0.000000,0.000000
122,14,15,4198.3682,4151.9222,-1.951300,0.000000,-0.000000
123,14,15,4202.3758,4151.9222,-1.915357,0.000000,0.000000
124,14,15,4202.5106,4151.9222,-1.914198,0.000000,0.000000
125,14,15,4240.9791,4151.9222,-1.668581,0.000000,0.000000
126,14,15,4240.9791,4151.9222,-1.668581,0.000000,0.000000
127,14,15,4294.0192,4151.9222,-1.465664,0.000000,0.000000
128,14,15,4294.6991,4151.9222,-1.463591,0.000000,-0.000000
129,15,15,4375.4910,4437.6877,-1.853390,0.000000,0.000000
130,15,15,4375.4910,4437.6877,-1.853390,0.000000,0.000000
131,15,15,4471.7478,4437.6877,-2.114911,0.000000,0.000000
132,15,15,4473.9763,4437.6877,-2.087386,0.000000,0.000000
133,15,15,4622.7413,4437.6877,-1.379859,0.000000,0.000000
134,15,15,4622.7413,4437.6877,-1.379859,0.000000,0.000000
135,15,15,4788.3692,4437.6877,-1.102244,0.000000,0.000000
136,15,15,4795.1655,4437.6877,-1.093908,0.000000,0.000000
137,15,15,4916.5939,4437.6877,-0.966906,0.000000,0.000000
138,15,15,5074.2709,4437.6877,-0.843302,0.000000,0.000000
139,15,15,5074.2709,4437.6877,-0.843302,0.000000,0.000000
140,15,15,5379.3880,4437.6877,-0.673244,0.000000,0.000000
141,15,15,5403.7434,4437.6877,-0.662155,0.000000,0.000000
142,15,15,6016.4765,4437.6877,-0.448833,0.000000,0.000000
143,15,15,6016.4765,4437.6877,-0.448833,0.000000,0.000000
144,15,15,6679.2189,4437.6877,-0.296612,0.000000,0.000000
145,15,15,6863.7560,4437.6877,-0.262254,0.000000,0.000000
