mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
1,1,1,19.4744,19.7390,-1.872698,-2.341072,-1.842017,0.447872
2,2,1,48.7748,49.3476,-1.935323,-0.150476,-0.150389,0.232416
3,2,1,48.9376,49.3476,-2.080568,-0.150459,-0.150392,0.236940
4,2,2,77.4926,78.9557,-1.732114,-1.453206,-1.322654,0.337438
5,1,3,98.0219,98.6942,-2.166732,-0.144026,-0.144249,0.241494
6,1,3,98.0487,98.6942,-2.184399,-0.150288,-0.150171,0.205459
7,2,3,125.1987,128.3018,-1.616432,-0.150173,-0.149745,0.207457
8,2,3,126.4120,128.3018,-1.831802,-0.150130,-0.149883,0.212228
9,1,4,166.9497,167.7781,-2.306528,-0.150081,-0.149957,0.195560
10,1,4,167.0679,167.7781,-2.373349,-0.149845,-0.149712,0.193828
11,4,1,172.5909,167.7781,-1.542334,0.030430,0.031046,0.047482
12,4,2,193.7876,197.3849,-1.739336,-0.144699,-0.143869,0.175444
13,4,2,194.0196,197.3849,-1.768288,-0.145932,-0.145155,0.183796
14,4,3,236.6797,246.7289,-1.390089,-0.148654,-0.147363,0.188357
15,4,3,241.2456,246.7289,-1.653183,-0.149112,-0.148715,0.200600
16,5,1,255.7091,256.5976,-2.460631,-0.150080,-0.150091,0.206794
17,5,1,255.7429,256.5976,-2.477470,-0.149129,-0.148962,0.187821
18,2,5,281.1624,286.2034,-1.754159,-0.148593,-0.147999,0.188632
19,2,5,281.7899,286.2034,-1.811888,-0.148246,-0.147644,0.188221
20,4,4,301.8178,315.8089,-1.353572,-0.462682,-0.441244,0.232646
21,4,4,324.0807,315.8089,-1.581827,0.010845,0.010920,0.014252
22,5,3,325.9210,335.5458,-1.542362,-0.130490,-0.128619,0.158111
23,6,1,364.0795,365.1508,-2.532593,-0.148306,-0.148185,0.186348
24,6,1,364.2294,365.1508,-2.598058,-0.147165,-0.146969,0.179901
25,1,6,378.8968,365.1508,-1.424294,0.010030,0.010058,0.006636
26,2,6,388.4092,394.7554,-1.793812,-0.127237,-0.125908,0.138341
27,2,6,388.7798,394.7554,-1.819947,-0.144710,-0.143822,0.174302
28,2,6,390.7649,394.7554,-1.995302,0.032485,0.031633,0.038566
29,6,3,428.7768,444.0958,-1.462247,-0.126732,-0.124152,0.138748
30,6,3,430.6787,444.0958,-1.519820,-0.129585,-0.127346,0.147345
