mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
1,1,1,20.1497,19.7390,-1.681787,-1.174710,-1.004879,0.367199
2,2,1,48.8901,49.3476,-2.032890,-0.147465,-0.145555,0.190956
3,1,2,50.2214,49.3476,-1.751837,-0.147668,-0.146067,0.193954
4,2,2,77.9049,78.9557,-1.875889,-0.574885,-0.514848,0.249647
5,1,3,96.6265,98.6942,-1.678793,-0.081951,-0.080269,0.082673
6,3,1,100.0024,98.6942,-1.877626,-0.134745,-0.132371,0.155273
7,2,3,120.2463,128.3018,-1.202137,-0.070553,-0.064577,0.065904
8,2,3,127.8243,128.3018,-2.429245,-0.078930,-0.075870,0.078961
9,1,4,162.6254,167.7781,-1.512698,0.058491,0.049446,0.068600
10,1,4,165.1161,167.7781,-1.799533,-0.114770,-0.111998,0.120284
11,1,4,166.5512,167.7781,-2.135931,-0.104938,-0.102851,0.110294
12,3,3,182.9463,177.6471,-1.525347,0.014852,0.014298,0.019883
13,4,2,195.3091,197.3849,-1.978119,-0.096195,-0.090934,0.106380
14,2,4,208.3481,197.3849,-1.255378,0.005137,0.004288,0.008460
15,4,3,232.1992,246.7289,-1.229964,-0.084614,-0.077294,0.084365
16,5,1,255.7179,256.5976,-2.464931,0.014636,0.011759,0.002566
17,1,5,266.6626,256.5976,-1.406436,-0.132452,-0.121017,0.155415
18,1,5,268.5444,256.5976,-1.332000,-0.100319,-0.094058,0.111381
19,2,5,281.2989,286.2034,-1.766076,-0.086884,-0.077093,0.085144
20,5,2,286.8674,286.2034,-2.634491,-0.079619,-0.072156,0.083049
21,5,2,298.4746,286.2034,-1.367790,0.004412,0.004015,0.006514
22,4,4,312.3365,315.8089,-1.958796,0.002804,0.001942,0.004002
23,4,4,325.5841,315.8089,-1.509301,-0.049837,-0.050909,0.072139
24,6,1,354.2329,365.1508,-1.524336,-0.018827,-0.017333,0.026383
25,6,1,360.4194,365.1508,-1.887483,-0.072842,-0.067166,0.073772
26,6,1,362.3179,365.1508,-2.110247,-0.053154,-0.050257,0.060724
27,1,6,369.8911,365.1508,-1.886659,0.016675,0.015953,0.019033
28,1,6,372.7826,365.1508,-1.679845,0.004276,0.003881,0.005062
29,1,6,377.9010,365.1508,-1.456952,0.011602,0.009313,0.016187
30,2,6,390.9508,394.7554,-2.016017,0.000847,0.000763,0.000929
31,4,5,404.6691,404.6236,-3.948918,-0.032619,-0.030987,0.041707
32,4,5,414.0210,404.6236,-1.634043,0.002861,0.002557,0.003713
33,6,3,440.8253,444.0958,-2.132867,0.003444,0.001666,0.001142
34,3,6,448.0280,444.0958,-2.052843,0.000548,0.000501,0.000599
35,7,1,480.2532,493.4353,-1.573245,0.000000,-0.000000,-0.000000
