mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
1,1,1,19.3816,19.7390,-1.742206,-1.943555,-1.586277,0.414993
2,2,1,48.4965,49.3476,-1.763314,-0.150312,-0.150037,0.218229
3,2,1,48.8077,49.3476,-1.960992,-0.150246,-0.150055,0.222577
4,2,2,76.7644,78.9557,-1.556686,-1.111540,-1.014439,0.313308
5,1,3,97.6965,98.6942,-1.995280,-0.149629,-0.149644,0.217122
6,1,3,97.7142,98.6942,-2.003035,-0.149435,-0.149061,0.195202
7,2,3,123.1740,128.3018,-1.398299,-0.136453,-0.133846,0.156136
8,2,3,125.5223,128.3018,-1.664259,-0.148114,-0.147278,0.193013
9,1,4,166.4310,167.7781,-2.095356,-0.148429,-0.148008,0.184864
10,1,4,166.6551,167.7781,-2.174373,-0.147349,-0.146904,0.180813
11,4,1,169.0425,167.7781,-2.122862,0.024144,0.023753,0.033771
12,4,2,191.4429,197.3849,-1.521382,-0.135507,-0.133309,0.151913
13,4,2,192.0242,197.3849,-1.566091,-0.135022,-0.132932,0.157712
14,4,3,228.8096,246.7289,-1.138899,-0.141874,-0.137288,0.160928
15,4,3,237.7462,246.7289,-1.438813,-0.143978,-0.142435,0.179055
16,5,1,254.8594,256.5976,-2.169151,-0.149802,-0.149722,0.199539
17,5,1,254.8931,256.5976,-2.177654,-0.141528,-0.140913,0.164665
18,2,5,277.2308,286.2034,-1.503757,-0.142785,-0.140868,0.169812
19,2,5,278.6152,286.2034,-1.576538,-0.141352,-0.139451,0.168709
20,5,2,289.3353,286.2034,-1.960866,0.030286,0.028523,0.039299
21,4,4,314.5547,315.8089,-2.401060,0.016651,0.015812,0.019938
22,4,4,320.0738,315.8089,-1.869517,-0.021475,-0.024271,0.134036
23,6,1,355.6830,365.1508,-1.586226,-0.001738,-0.003621,0.039125
24,6,1,362.1151,365.1508,-2.080217,-0.141425,-0.141233,0.171226
25,6,1,362.4200,365.1508,-2.126186,-0.115086,-0.114685,0.128733
26,1,6,378.2144,365.1508,-1.446407,0.006612,0.006663,-0.000720
27,2,6,382.2418,394.7554,-1.498946,-0.088335,-0.085871,0.089198
28,2,6,382.9919,394.7554,-1.525790,-0.131345,-0.129163,0.150704
29,4,5,415.2724,404.6236,-1.579751,0.005262,0.005329,-0.002591
30,4,5,420.4047,404.6236,-1.408914,-0.002148,-0.003775,0.082977
31,4,5,422.7947,404.6236,-1.347669,0.033708,0.030555,0.048498
32,3,6,458.0122,444.0958,-1.503950,0.020217,0.018711,0.027270
33,7,1,475.1966,493.4353,-1.432237,-0.004111,-0.004004,0.005633
34,7,1,487.6137,493.4353,-1.928191,-0.134804,-0.134190,0.153897
35,7,1,487.8822,493.4353,-1.948693,0.004140,0.003366,0.005365
36,7,1,488.5643,493.4353,-2.005614,-0.105898,-0.105139,0.117527
37,6,4,504.5295,513.1708,-1.773679,0.002308,0.002167,0.002419
38,6,4,505.4890,513.1708,-1.824795,0.004114,0.003875,0.004328
39,7,2,531.0601,523.0386,-1.814273,0.004117,0.000695,0.054590
40,7,2,533.1588,523.0386,-1.713342,0.013450,0.012789,0.016411
41,7,2,534.4180,523.0386,-1.662413,0.013657,0.012785,0.017271
42,7,3,553.1322,572.3766,-1.473378,-0.015298,-0.017591,0.039334
