mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
1,1,1,19.2935,19.7390,-1.646512,-2.203986,-1.654334
2,2,1,48.2424,49.3476,-1.649853,-0.150176,-0.149877
3,2,1,48.6490,49.3476,-1.849077,-0.150194,-0.149994
4,2,2,76.1653,78.9557,-1.451720,-1.076858,-0.987045
5,1,3,97.2764,98.6942,-1.842684,-0.145993,-0.146486
6,1,3,97.3740,98.6942,-1.873641,-0.149659,-0.149289
7,2,3,121.7646,128.3018,-1.292837,-0.145633,-0.143481
8,2,3,124.5042,128.3018,-1.528724,-0.149668,-0.149301
9,1,4,165.5339,167.7781,-1.873687,-0.149663,-0.149338
10,1,4,165.8258,167.7781,-1.934193,-0.148661,-0.148170
11,1,4,166.1872,167.7781,-2.023110,0.020259,0.019532
12,4,2,188.9601,197.3849,-1.369756,-0.145124,-0.143495
13,4,2,189.9958,197.3849,-1.426723,-0.130662,-0.128269
14,2,4,219.4318,197.3849,-0.951966,-0.000000,0.000000
15,2,4,219.7359,197.3849,-0.946017,0.000000,0.000000
16,4,3,223.8601,246.7289,-1.032976,-0.082219,-0.078527
17,4,3,233.0213,246.7289,-1.255258,-0.139416,-0.139097
18,5,1,252.3029,256.5976,-1.776322,-0.148502,-0.149176
19,5,1,252.4365,256.5976,-1.790047,-0.146202,-0.145894
20,1,5,268.5882,256.5976,-1.330410,0.002926,0.000829
21,1,5,268.7226,256.5976,-1.325568,0.005505,0.000618
22,1,5,270.9584,256.5976,-1.252073,0.031826,0.031175
23,2,5,274.1576,286.2034,-1.375840,-0.063735,-0.062779
24,2,5,276.3721,286.2034,-1.464063,0.012018,0.009672
25,5,2,292.2068,286.2034,-1.678282,-0.006142,-0.009491
26,5,2,295.7692,286.2034,-1.475956,0.004994,0.001508
27,4,4,304.1894,315.8089,-1.434237,0.000000,0.000000
28,4,4,312.1431,315.8089,-1.935247,-0.033388,-0.037176
29,4,4,323.1568,315.8089,-1.633262,0.002676,0.000783
30,4,4,323.3661,315.8089,-1.621063,0.003760,0.001076
31,5,3,335.2168,335.5458,-3.008543,0.017476,0.011758
32,3,5,344.6343,335.5458,-1.567257,0.014248,0.003521
33,3,5,348.5369,335.5458,-1.412105,0.001302,0.000632
34,6,1,355.4594,365.1508,-1.576089,-0.090777,-0.091909
35,6,1,356.0255,365.1508,-1.602226,-0.136898,-0.137956
36,6,1,361.0189,365.1508,-1.946333,-0.012059,-0.016953
37,6,1,362.7688,365.1508,-2.185537,0.000000,-0.000000
38,1,6,365.8519,365.1508,-2.716674,0.039058,0.036462
39,1,6,370.0518,365.1508,-1.872183,0.012629,0.007591
40,1,6,374.9894,365.1508,-1.569535,-0.000000,0.000000
