mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
1,1,1,19.5264,19.7390,-1.967691,-1.392451,-1.200231,0.372832
2,2,1,48.2965,49.3476,-1.671639,-0.123492,-0.121546,0.138947
3,2,1,49.1453,49.3476,-2.387323,-0.144164,-0.143908,0.250408
4,2,2,76.2983,78.9557,-1.472930,-0.712333,-0.642181,0.268918
5,1,3,96.8761,98.6942,-1.734658,-0.143031,-0.141604,0.167805
6,1,3,98.0355,98.6942,-2.175606,-0.141214,-0.139688,0.165660
7,2,3,119.6529,128.3018,-1.171271,-0.107304,-0.100748,0.106524
8,2,3,125.2272,128.3018,-1.620439,-0.136903,-0.133727,0.156735
9,1,4,162.0748,167.7781,-1.468609,0.000000,0.000000,-0.000000
10,1,4,165.6219,167.7781,-1.891045,-0.135173,-0.133010,0.151064
11,1,4,166.3361,167.7781,-2.065790,-0.129093,-0.127187,0.142239
12,3,3,185.8555,177.6471,-1.335299,0.011784,0.011650,0.016384
13,4,2,191.3914,197.3849,-1.517635,-0.104936,-0.100173,0.114013
14,2,4,211.8544,197.3849,-1.134859,0.037561,0.034366,0.060026
15,4,3,231.4121,246.7289,-1.207053,-0.061591,-0.057203,0.059157
16,3,4,251.0967,246.7289,-1.751951,0.061890,0.061319,0.068118
17,3,4,251.2968,246.7289,-1.732501,-0.000000,-0.000000,0.000000
18,1,5,260.1757,256.5976,-1.855598,0.002127,-0.004210,0.063683
19,1,5,268.1471,256.5976,-1.346687,0.023439,0.022815,0.030720
20,2,5,272.5896,286.2034,-1.322695,-0.085277,-0.080768,0.087790
21,5,2,293.0216,286.2034,-1.623007,0.000000,-0.000000,-0.000000
22,4,4,307.1947,315.8089,-1.564210,-0.000000,-0.000000,-0.000000
23,4,4,312.9802,315.8089,-2.047831,-0.057276,-0.057501,0.084503
24,6,1,352.5357,365.1508,-1.461585,0.000000,0.000000,-0.000000
25,6,1,357.1952,365.1508,-1.661802,-0.000000,-0.000000,-0.000000
26,2,6,385.0835,394.7554,-1.610815,0.023846,0.022631,0.024385
27,2,6,385.6570,394.7554,-1.637361,0.011186,0.010618,0.011459
28,6,2,395.0874,394.7554,-3.075205,-0.080270,-0.071126,0.079062
29,6,2,398.0402,394.7554,-2.079826,-0.081728,-0.073012,0.084835
30,4,5,412.3137,404.6236,-1.721118,-0.000000,-0.000000,0.000000
31,4,5,422.3385,404.6236,-1.358712,-0.022426,-0.024086,0.058651
32,6,3,427.0039,444.0958,-1.414686,0.000000,0.000000,-0.000000
33,6,3,431.1822,444.0958,-1.536428,0.002064,0.001663,0.002507
34,3,6,464.8386,444.0958,-1.330610,0.015392,0.014533,0.020397
35,7,1,478.9238,493.4353,-1.531519,-0.072184,-0.065786,0.073691
36,7,1,479.4455,493.4353,-1.547420,-0.068602,-0.062840,0.071491
37,7,1,484.9043,493.4353,-1.762229,0.003003,0.002701,0.003237
38,7,1,487.3600,493.4353,-1.909660,0.018736,0.017494,0.019605
39,5,5,497.0848,493.4353,-2.130996,0.000389,0.000344,0.000482
40,5,5,500.6876,493.4353,-1.832757,0.007019,0.006307,-0.005173
41,6,4,503.6970,513.1708,-1.733735,0.000000,0.000000,0.000000
42,6,4,509.9400,513.1708,-2.200946,0.000000,0.000000,0.000000
43,7,2,529.7539,523.0386,-1.891467,0.013260,0.011495,0.007361
44,7,3,553.2195,572.3766,-1.475353,0.007337,0.006708,0.007177
45,7,3,559.0201,572.3766,-1.631990,0.007759,0.008106,0.015124
