mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
1,1,1,19.4150,19.7390,-1.784829,-2.418821,-1.890604
2,2,1,48.6703,49.3476,-1.862505,-0.150494,-0.150414
3,2,1,48.8334,49.3476,-1.982158,-0.150430,-0.150373
4,2,2,77.1892,78.9557,-1.650280,-1.553969,-1.412350
5,1,3,97.8736,98.6942,-2.080147,-0.131427,-0.131107
6,1,3,97.9282,98.6942,-2.110056,-0.151076,-0.150969
7,2,3,124.7331,128.3018,-1.555726,-0.150103,-0.149707
8,2,3,126.0041,128.3018,-1.746929,-0.150019,-0.149805
9,1,4,166.6803,167.7781,-2.184219,-0.150328,-0.150241
10,1,4,166.8174,167.7781,-2.242154,-0.150091,-0.149974
11,4,1,171.9004,167.7781,-1.609596,0.049897,0.050816
12,4,2,192.9982,197.3849,-1.653174,-0.145696,-0.144968
13,4,2,193.3830,197.3849,-1.693051,-0.146565,-0.145862
14,4,3,235.3343,246.7289,-1.335521,-0.149571,-0.149185
15,4,3,240.0790,246.7289,-1.569409,-0.149141,-0.149128
16,5,1,255.1860,256.5976,-2.259545,-0.149218,-0.149342
17,5,1,255.2394,256.5976,-2.276297,-0.149566,-0.149401
18,2,5,280.1548,286.2034,-1.675016,-0.148378,-0.147855
19,2,5,280.8248,286.2034,-1.726004,-0.148638,-0.148125
20,5,2,299.7122,286.2034,-1.326059,0.038218,0.038967
21,4,4,315.0180,315.8089,-2.601263,0.000168,0.000088
22,4,4,315.0751,315.8089,-2.633816,0.000112,0.000011
23,4,4,322.2748,315.8089,-1.688798,0.008672,0.008688
24,4,4,324.1238,315.8089,-1.579569,0.019008,0.018109
25,6,1,362.7866,365.1508,-2.188805,-0.141866,-0.141498
26,6,1,362.9219,365.1508,-2.214390,-0.148669,-0.148584
27,1,6,371.9862,365.1508,-1.727705,0.012325,0.001908
28,1,6,372.0415,365.1508,-1.724204,0.013089,0.001601
29,1,6,375.9921,365.1508,-1.527388,0.009492,0.009467
30,2,6,386.4188,394.7554,-1.675340,-0.146886,-0.147806
31,2,6,386.7236,394.7554,-1.691517,-0.145066,-0.144901
32,2,6,387.6091,394.7554,-1.742246,0.072074,0.069785
33,5,4,401.9493,404.6236,-2.179844,0.014337,0.003193
34,5,4,402.2159,404.6236,-2.225454,0.001173,0.000156
35,6,3,424.9078,444.0958,-1.364446,-0.134821,-0.134660
36,6,3,427.3852,444.0958,-1.424483,-0.126135,-0.125055
37,6,3,438.0598,444.0958,-1.866727,0.010445,0.001496
38,6,3,438.6271,444.0958,-1.909593,0.000000,0.000000
39,3,6,451.3018,444.0958,-1.789780,0.011355,0.010254
40,3,6,464.6878,444.0958,-1.333779,-0.000000,-0.000000
41,3,6,465.0635,444.0958,-1.325927,0.006238,0.001194
42,7,1,480.1201,493.4353,-1.568884,0.061053,0.057138
43,7,1,486.6290,493.4353,-1.860323,-0.027372,-0.028669
44,7,1,488.8532,493.4353,-2.032163,-0.060958,-0.062316
