mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
1,1,1,19.3380,19.7390,-1.692237,-1.967946,-1.661427
2,2,1,48.4031,49.3476,-1.718063,-0.150491,-0.150354
3,2,1,48.7205,49.3476,-1.895939,-0.150422,-0.150302
4,2,2,76.5855,78.9557,-1.522602,-1.238069,-1.131404
5,1,3,97.5141,98.6942,-1.922366,-0.139032,-0.139700
6,1,3,97.5992,98.6942,-1.954866,-0.150046,-0.149812
7,2,3,123.0084,128.3018,-1.384493,-0.150227,-0.149759
8,2,3,125.1126,128.3018,-1.604554,-0.149848,-0.149510
9,1,4,166.0534,167.7781,-1.988027,-0.149353,-0.149040
10,1,4,166.2757,167.7781,-2.047970,-0.148542,-0.148173
11,4,1,168.5885,167.7781,-2.316038,0.022920,0.022665
12,4,2,190.7519,197.3849,-1.473602,-0.146702,-0.145549
13,4,2,191.4394,197.3849,-1.521124,-0.137828,-0.136118
14,4,3,228.6309,246.7289,-1.134589,-0.139885,-0.135800
15,4,3,236.2000,246.7289,-1.369837,-0.144667,-0.144249
16,3,4,247.2325,246.7289,-2.690143,0.004684,-0.000043
17,3,4,247.2595,246.7289,-2.667404,-0.000000,-0.000000
18,5,1,253.7389,256.5976,-1.953082,-0.149094,-0.148871
19,5,1,253.8903,256.5976,-1.976729,-0.137072,-0.136803
20,2,5,275.4914,286.2034,-1.426805,-0.145479,-0.146075
21,2,5,276.9385,286.2034,-1.489834,-0.143868,-0.143181
22,5,2,287.9498,286.2034,-2.214526,0.030655,0.028894
23,5,2,299.0836,286.2034,-1.346754,0.001522,0.000597
24,5,2,299.1399,286.2034,-1.344859,0.000362,0.000064
25,4,4,312.6458,315.8089,-1.999311,-0.000000,0.000000
26,4,4,317.4949,315.8089,-2.272570,-0.015053,-0.018612
27,4,4,324.4575,315.8089,-1.562479,0.011579,-0.001750
28,4,4,324.7133,315.8089,-1.549820,0.010811,0.002491
29,6,1,352.3393,365.1508,-1.454875,0.001716,0.000205
30,6,1,355.2037,365.1508,-1.564776,-0.005885,-0.006620
31,6,1,356.5492,365.1508,-1.627894,0.008134,0.001976
32,6,1,359.7954,365.1508,-1.833683,-0.145807,-0.146109
33,6,1,360.2720,365.1508,-1.874164,-0.108444,-0.112163
34,1,6,377.0262,365.1508,-1.487822,0.033065,0.030880
35,1,6,378.0675,365.1508,-1.451320,0.003258,0.002502
36,1,6,379.7552,365.1508,-1.397986,0.014197,0.013773
37,2,6,382.7836,394.7554,-1.518169,0.004132,0.001252
38,2,6,384.2957,394.7554,-1.576808,0.000000,0.000000
39,5,4,400.0901,404.6236,-1.950619,0.004991,0.001297
40,5,4,403.1428,404.6236,-2.436577,0.012118,0.009482
41,4,5,406.4794,404.6236,-2.338509,0.032441,0.018002
42,4,5,417.4727,404.6236,-1.498177,-0.000000,-0.000000
43,4,5,418.6877,404.6236,-1.458938,0.003946,0.001791
44,4,5,421.2835,404.6236,-1.385377,0.002846,-0.002946
45,4,5,422.4900,404.6236,-1.355012,-0.000000,0.000000
46,6,3,426.5094,444.0958,-1.402299,0.002914,0.000712
47,6,3,432.7983,444.0958,-1.594495,0.010143,0.002869
48,6,3,434.9199,444.0958,-1.684829,0.019470,0.014039
49,3,6,455.8258,444.0958,-1.578179,0.046868,0.040977
50,3,6,460.7202,444.0958,-1.426731,0.000760,0.000306
51,3,6,460.7622,444.0958,-1.425636,-0.000087,-0.000131
52,7,1,473.3580,493.4353,-1.390526,0.001907,-0.000922
53,7,1,477.6559,493.4353,-1.495139,0.003960,0.001710
54,7,1,477.8314,493.4353,-1.499996,0.020985,0.019554
55,7,1,483.8565,493.4353,-1.711920,-0.111192,-0.110270
56,7,1,486.1599,493.4353,-1.831374,-0.029432,-0.029961
57,7,1,488.7374,493.4353,-2.021329,0.018888,0.014345
58,5,5,498.0252,493.4353,-2.031428,0.012658,0.011814
59,5,5,501.6347,493.4353,-1.779448,0.002056,0.001748
60,2,7,518.7494,523.0386,-2.086164,-0.002059,-0.005958
61,7,2,523.3090,523.0386,-3.286447,0.017151,0.015009
62,7,2,525.1046,523.0386,-2.403387,0.053584,0.048056
63,7,2,537.1394,523.0386,-1.569289,0.005099,0.000883
64,7,2,538.4830,523.0386,-1.529762,0.000985,0.000380
65,7,2,538.5741,523.0386,-1.527209,0.000000,0.000000
66,7,3,547.9013,572.3766,-1.368954,0.005080,0.002316
67,7,3,548.4472,572.3766,-1.378749,0.045220,0.035378
68,7,3,548.8969,572.3766,-1.386990,0.004507,0.001794
69,7,3,571.1085,572.3766,-2.654528,0.009001,0.003667
70,3,7,574.5968,572.3766,-2.411284,0.006607,0.003159
71,3,7,575.2916,572.3766,-2.293049,0.038114,0.031899
72,3,7,584.8120,572.3766,-1.663022,0.015748,0.013329
73,5,6,588.2060,601.9790,-1.640554,0.008854,0.007859
74,5,6,600.0240,601.9790,-2.488438,0.037424,0.026771
75,5,6,600.9430,601.9790,-2.764220,-0.000000,0.000000
76,5,6,609.5939,601.9790,-1.897919,0.007977,0.006273
77,5,6,610.2825,601.9790,-1.860321,0.002585,0.001855
78,5,6,611.3233,601.9790,-1.809033,-0.001387,-0.002124
79,5,6,612.9509,601.9790,-1.739301,0.011386,0.010584
80,5,6,614.9355,601.9790,-1.667092,0.018830,0.018096
81,8,1,626.4124,641.4484,-1.630031,-0.000000,-0.000000
82,8,1,627.6694,641.4484,-1.667946,0.010631,0.005684
83,8,1,629.8486,641.4484,-1.742713,0.017975,0.014996
84,8,1,636.1424,641.4484,-2.082396,0.025726,0.016745
85,8,1,638.5698,641.4484,-2.347987,0.007275,0.004810
86,8,1,638.8830,641.4484,-2.398018,-0.000000,0.000000
87,4,7,648.4640,641.4484,-1.961095,-0.001017,-0.009049
88,4,7,649.2584,641.4484,-1.914511,0.001132,0.000645
89,4,7,654.7134,641.4484,-1.684453,-0.003185,-0.003349
90,8,2,665.4526,671.0500,-2.078766,0.006609,-0.000514
91,8,2,667.4980,671.0500,-2.276280,-0.000000,0.000000
92,2,8,677.2332,671.0500,-2.035542,-0.000000,-0.000000
