mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
1,1,1,19.4629,19.7390,-1.854317,-2.287840,-1.807192,0.443027
2,2,1,48.7422,49.3476,-1.911260,-0.146410,-0.146117,0.203403
3,2,1,48.9215,49.3476,-2.063778,-0.148056,-0.148063,0.261199
4,2,2,77.4080,78.9557,-1.707710,-1.365888,-1.252637,0.333199
5,1,3,97.9836,98.6942,-2.142635,-0.143911,-0.143633,0.175651
6,1,3,98.0109,98.6942,-2.159659,-0.150233,-0.150095,0.204274
7,2,3,124.9718,128.3018,-1.585781,-0.148822,-0.149183,0.229634
8,2,3,126.3084,128.3018,-1.808631,-0.149911,-0.149605,0.208890
9,1,4,166.8941,167.7781,-2.278285,-0.149979,-0.149831,0.194507
10,1,4,167.0244,167.7781,-2.347528,-0.149672,-0.149514,0.192433
11,4,1,172.2049,167.7781,-1.578642,0.029152,0.029635,0.044827
12,4,2,193.5268,197.3849,-1.708937,-0.149440,-0.148924,0.193874
13,4,2,193.7896,197.3849,-1.739577,-0.145074,-0.144171,0.181030
14,4,3,235.8255,246.7289,-1.354658,-0.149539,-0.149396,0.205143
15,4,3,240.8602,246.7289,-1.623679,-0.148223,-0.147611,0.193700
16,5,1,255.6335,256.5976,-2.425129,-0.148890,-0.148697,0.186174
17,5,1,255.6689,256.5976,-2.441396,-0.148767,-0.148567,0.186047
18,2,5,280.7423,286.2034,-1.719395,-0.147966,-0.147231,0.185555
19,2,5,281.4449,286.2034,-1.779204,-0.147704,-0.146986,0.185991
20,5,2,300.5192,286.2034,-1.300861,0.041912,0.042553,0.060025
21,4,4,323.0654,315.8089,-1.638701,0.000000,0.000000,-0.000000
22,4,4,325.2309,315.8089,-1.525284,0.014712,0.013745,0.129800
23,6,1,363.9239,365.1508,-2.473664,-0.147859,-0.147756,0.186460
24,6,1,364.1000,365.1508,-2.540968,-0.145627,-0.145375,0.175106
25,1,6,376.4877,365.1508,-1.507975,0.010583,0.010535,0.005273
26,2,6,387.8090,394.7554,-1.754569,-0.123507,-0.122011,0.132805
27,2,6,388.2305,394.7554,-1.781750,-0.143049,-0.141984,0.170020
28,2,6,389.4924,394.7554,-1.875090,0.031509,0.030487,0.036983
29,6,3,427.3678,444.0958,-1.424032,-0.134033,-0.131506,0.152444
30,6,3,429.5391,444.0958,-1.484414,-0.125858,-0.123339,0.141818
31,3,6,454.5853,444.0958,-1.626721,0.039875,0.038243,0.051534
32,7,1,482.3692,493.4353,-1.649234,0.048554,0.046095,0.026261
33,7,1,489.0800,493.4353,-2.054218,-0.032260,-0.032932,0.098125
34,7,1,492.0016,493.4353,-2.536772,-0.145297,-0.145247,0.183903
35,7,1,493.1721,493.4353,-3.272976,-0.083963,-0.083972,0.111908
36,4,6,513.5795,513.1708,-3.098883,0.008344,0.008191,0.008943
37,4,6,514.3227,513.1708,-2.648842,0.006115,0.006019,0.006599
38,7,2,538.8958,523.0386,-1.518306,0.021072,0.020466,0.010713
39,7,3,550.8198,572.3766,-1.424098,-0.135069,-0.132764,0.156862
40,7,3,551.9533,572.3766,-1.447556,-0.133612,-0.131517,0.161233
41,7,3,565.6237,572.3766,-1.928189,0.031262,0.029375,0.035949
42,5,6,601.3660,601.9790,-2.992103,-0.000000,-0.000000,0.000000
43,5,6,608.5189,601.9790,-1.964014,-0.001905,-0.004393,0.107793
44,8,1,624.6317,641.4484,-1.581422,0.000299,0.000258,0.000344
45,8,1,638.6416,641.4484,-2.358960,-0.138236,-0.137896,0.158868
46,8,1,638.9366,641.4484,-2.407189,-0.139174,-0.138877,0.162336
47,8,2,656.6642,671.0500,-1.668822,-0.097320,-0.098496,0.144336
48,8,2,658.1078,671.0500,-1.714745,-0.111408,-0.109969,0.122390
49,8,2,664.3460,671.0500,-2.000418,-0.016445,-0.021238,0.125687
50,2,8,684.4848,671.0500,-1.698524,0.015905,0.014385,0.071318
51,2,8,690.3632,671.0500,-1.540901,0.047535,0.046816,0.056247
52,6,6,693.1058,710.5184,-1.610714,0.039732,0.037531,0.040623
53,6,6,712.8617,710.5184,-2.481735,0.036897,0.032397,0.045984
54,7,5,738.1499,730.2523,-1.965977,0.009581,0.007275,0.068261
55,7,5,742.5899,730.2523,-1.772243,-0.007744,-0.009772,0.073322
56,7,5,755.2469,730.2523,-1.465627,0.052762,0.049249,0.069058
57,4,8,792.3707,789.4533,-2.432337,0.028198,0.025805,0.033747
58,4,8,798.2741,789.4533,-1.951823,0.000000,0.000000,0.000000
59,1,9,802.7723,809.1867,-2.100892,-0.135753,-0.135575,0.155327
60,1,9,803.1060,809.1867,-2.124091,-0.128732,-0.128607,0.145461
61,9,1,810.2420,809.1867,-2.884680,-0.000000,-0.000000,0.000000
62,9,1,821.1987,809.1867,-1.828434,0.032781,0.032353,0.036062
63,2,9,825.8606,838.7865,-1.812190,-0.086654,-0.087195,0.138687
64,6,7,843.0283,838.7865,-2.296110,0.010374,0.009427,0.012407
65,6,7,848.5477,838.7865,-1.934150,-0.000000,0.000000,0.000000
66,6,7,855.8196,838.7865,-1.692358,0.052473,0.049188,0.063928
67,5,8,876.1979,878.2525,-2.630891,0.013694,0.012875,-0.002604
68,9,3,889.3659,888.1188,-2.852573,-0.004354,-0.005977,0.036948
69,9,3,893.1430,888.1188,-2.247409,0.017196,0.016171,0.019981
70,9,3,893.2106,888.1188,-2.241600,0.012897,0.011662,0.015639
71,9,4,937.9982,957.1826,-1.698048,0.028147,0.024814,0.031794
