mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
1,1,1,19.5030,19.7390,-1.922380,-2.490833,-1.936076,0.461408
2,2,1,48.8545,49.3476,-2.000342,-0.150488,-0.150432,0.237968
3,2,1,48.9792,49.3476,-2.126988,-0.150490,-0.150446,0.242441
4,2,2,77.6982,78.9557,-1.797900,-1.530749,-1.403242,0.344473
5,1,3,98.1161,98.6942,-2.232306,-0.135736,-0.136039,0.259527
6,1,3,98.1397,98.6942,-2.250403,-0.150391,-0.150316,0.208501
7,2,3,125.7352,128.3018,-1.698866,-0.150291,-0.150010,0.212076
8,2,3,126.6654,128.3018,-1.894339,-0.150246,-0.150078,0.216175
9,1,4,167.0814,167.7781,-2.381682,-0.150273,-0.150195,0.198078
10,1,4,167.1714,167.7781,-2.441744,-0.150145,-0.150062,0.196909
11,3,3,173.4917,177.6471,-1.630947,-0.976181,-0.931843,0.299911
12,4,2,194.4057,197.3849,-1.821211,-0.149852,-0.149551,0.198647
13,4,2,194.5708,197.3849,-1.845969,-0.147539,-0.147020,0.189956
14,4,3,238.6600,246.7289,-1.485405,-0.149300,-0.148460,0.193897
15,4,3,242.1543,246.7289,-1.731869,-0.149642,-0.149370,0.204251
16,5,1,255.8752,256.5976,-2.550491,-0.150392,-0.150368,0.202723
17,5,1,255.9035,256.5976,-2.567870,-0.149782,-0.149679,0.191779
18,2,5,282.1323,286.2034,-1.846958,-0.149256,-0.148860,0.192038
19,2,5,282.5949,286.2034,-1.899345,-0.149179,-0.148798,0.192756
20,4,4,304.7598,315.8089,-1.456095,-0.576044,-0.554185,0.256116
21,5,3,326.4094,335.5458,-1.564980,-0.146309,-0.145230,0.178757
22,5,3,327.5844,335.5458,-1.624764,-0.142081,-0.141280,0.192366
23,6,1,364.3723,365.1508,-2.671233,-0.149286,-0.149193,0.189161
24,6,1,364.4762,365.1508,-2.733489,-0.148846,-0.148730,0.186248
25,2,6,384.4210,394.7554,-1.582044,0.026654,0.025198,0.030603
26,2,6,389.7549,394.7554,-1.897315,-0.144232,-0.144911,0.227469
27,2,6,390.0129,394.7554,-1.920318,-0.147035,-0.146461,0.181051
28,2,6,393.6189,394.7554,-2.540739,0.033753,0.033318,0.041302
29,6,3,431.9905,444.0958,-1.564503,-0.147076,-0.146956,0.201337
30,6,3,433.3389,444.0958,-1.615787,-0.137002,-0.135423,0.159549
31,3,6,466.6216,444.0958,-1.294797,0.045243,0.045566,0.062271
32,7,1,491.1020,493.4353,-2.325254,-0.007365,-0.009099,0.125216
33,7,1,492.2902,493.4353,-2.634382,-0.126347,-0.126537,0.177547
34,7,1,493.0912,493.4353,-3.156617,-0.108544,-0.109255,0.180591
35,5,5,496.3244,493.4353,-2.232464,-0.014437,-0.016148,0.124695
36,4,6,516.6597,513.1708,-2.167578,0.006927,0.006892,0.007528
37,4,6,517.1110,513.1708,-2.114748,0.005581,0.005560,0.006105
38,7,3,557.2464,572.3766,-1.577838,-0.146245,-0.145678,0.189415
39,7,3,557.8247,572.3766,-1.594763,0.030607,0.028268,0.034160
40,7,3,557.8694,572.3766,-1.596098,-0.142319,-0.141105,0.175490
41,3,7,577.4058,572.3766,-2.056182,0.018253,0.017898,0.022248
42,5,6,613.4126,601.9790,-1.721399,0.006046,0.005287,0.042970
43,5,6,617.2855,601.9790,-1.594704,0.022797,0.021536,0.110324
44,8,1,640.5189,641.4484,-2.838910,-0.144315,-0.144119,0.171883
45,8,1,640.6904,641.4484,-2.927519,-0.134614,-0.134305,0.151680
46,4,7,652.2491,641.4484,-1.773708,0.038457,0.036464,0.047840
47,8,2,662.9587,671.0500,-1.918736,-0.141445,-0.140859,0.170055
48,8,2,663.2554,671.0500,-1.934961,-0.136846,-0.136165,0.162267
49,2,8,684.3809,671.0500,-1.701896,0.000000,0.000000,-0.000000
50,6,6,697.5028,710.5184,-1.737113,-0.065739,-0.068165,0.142394
51,6,6,700.6174,710.5184,-1.855900,0.003774,0.003633,0.003936
52,6,6,701.9845,710.5184,-1.920429,0.000497,0.000480,0.000523
53,7,5,751.9295,730.2523,-1.527469,0.048847,0.046068,0.062620
54,7,5,754.4694,730.2523,-1.479351,0.015200,0.014251,0.062758
55,7,5,756.6153,730.2523,-1.442478,0.003641,0.002630,0.064128
56,8,4,785.5812,789.4533,-2.309377,0.016638,0.015602,0.019318
57,1,9,807.4708,809.1867,-2.673547,-0.145786,-0.145689,0.176831
58,1,9,807.6167,809.1867,-2.712152,-0.142065,-0.141860,0.166864
59,9,1,819.7314,809.1867,-1.885017,0.000587,0.000565,0.000697
60,2,9,825.6820,838.7865,-1.806230,-0.088895,-0.090015,0.160565
61,2,9,830.0197,838.7865,-1.980810,-0.111682,-0.111683,0.147562
62,2,9,836.0238,838.7865,-2.482318,-0.023024,-0.022991,0.031228
63,6,7,852.8434,838.7865,-1.775764,0.046982,0.043113,0.058402
64,5,8,862.9061,878.2525,-1.757613,0.001808,0.001724,0.001848
65,5,8,864.4541,878.2525,-1.803793,-0.000000,-0.000000,0.000000
66,9,3,897.1921,888.1188,-1.990706,0.009091,0.007361,0.038287
67,9,3,911.4796,888.1188,-1.579985,0.006024,0.005913,0.007218
68,9,3,915.0491,888.1188,-1.518230,0.026987,0.026746,0.032388
69,9,4,924.3922,957.1826,-1.465248,0.008566,0.007834,0.008997
70,4,9,957.3683,957.1826,-3.712070,0.014530,0.013672,0.000722
71,7,7,975.2508,967.0487,-2.071523,0.004766,0.004524,0.005581
72,6,8,981.8780,986.7808,-2.303784,-0.019794,-0.020570,0.043694
73,1,10,992.8300,996.6468,-2.416842,-0.138740,-0.138549,0.160165
74,1,10,992.9835,996.6468,-2.434674,-0.138520,-0.138332,0.160060
75,10,1,1006.2145,996.6468,-2.017730,0.000132,0.000074,0.001214
76,10,2,1012.4797,1026.2445,-1.872480,-0.104689,-0.103506,0.111176
77,10,2,1013.8871,1026.2445,-1.919324,-0.112799,-0.111783,0.126177
78,5,9,1037.6053,1045.9762,-2.096749,0.021391,0.020004,0.023276
79,5,9,1042.2804,1045.9762,-2.451810,0.002980,0.002860,0.003184
80,9,5,1052.5916,1045.9762,-2.198961,0.046588,0.044292,0.053094
81,9,5,1059.4423,1045.9762,-1.890278,0.016407,0.015375,0.002151
82,10,3,1077.1713,1075.5734,-2.828086,-0.007789,-0.008326,0.031553
83,10,3,1086.0004,1075.5734,-2.013483,0.049757,0.047713,0.056160
84,10,3,1089.5349,1075.5734,-1.886709,0.005383,0.005179,0.006206
85,7,8,1118.9301,1115.0359,-2.456866,0.026432,0.023470,0.032274
86,10,4,1139.7851,1144.6323,-2.373168,0.010789,0.009823,0.012383
87,9,6,1150.6499,1154.4978,-2.477178,-0.004718,-0.007723,0.087458
88,6,9,1160.4369,1154.4978,-2.288673,0.030430,0.027576,0.036714
89,6,9,1164.3410,1154.4978,-2.069254,0.000646,-0.000022,0.008242
90,1,11,1194.9239,1203.8243,-2.131154,-0.130297,-0.130431,0.151339
91,1,11,1195.0787,1203.8243,-2.138772,-0.131292,-0.131228,0.149960
92,11,1,1208.9762,1203.8243,-2.368598,0.023601,0.019693,0.069248
93,11,1,1212.3702,1203.8243,-2.148805,0.042008,0.041281,0.044603
94,11,1,1213.5976,1203.8243,-2.090525,0.011187,0.011006,0.011958
95,2,11,1222.7251,1233.4198,-2.061942,-0.000000,-0.000000,0.000000
96,2,11,1226.1398,1233.4198,-2.228979,-0.000000,-0.000000,0.000000
97,11,2,1242.4737,1233.4198,-2.134274,0.000000,0.000000,0.000000
98,8,8,1250.5454,1263.0150,-2.005557,0.000000,0.000000,-0.000000
99,8,8,1261.3218,1263.0150,-2.872705,0.024583,0.020349,0.031780
100,8,8,1262.9372,1263.0150,-4.210160,0.004151,0.003667,0.004978
101,7,9,1276.5521,1282.7449,-2.316249,0.000440,0.000408,0.000488
102,9,7,1288.8336,1282.7449,-2.323619,0.001171,0.001077,0.001377
103,6,10,1316.6144,1341.9339,-1.724277,0.024624,0.016831,0.087035
104,6,10,1328.4615,1341.9339,-1.998285,0.003851,0.003432,0.004474
105,6,10,1328.6193,1341.9339,-2.003403,0.000000,0.000000,0.000000
106,6,10,1339.3165,1341.9339,-2.709857,-0.000000,-0.000000,0.000000
107,6,10,1345.3107,1341.9339,-2.599220,0.000000,-0.000000,0.000000
108,11,4,1382.4443,1351.7986,-1.644542,0.017899,0.016016,0.024409
109,11,4,1382.8953,1351.7986,-1.638198,0.032916,0.027980,0.044784
110,12,1,1395.5736,1430.7149,-1.609736,-0.006760,-0.007714,0.025980
