n_div,mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h
14,15,4,3,236.7395,246.7289,-1.392682
14,16,5,1,254.4764,256.5976,-2.082683
14,17,5,1,254.5062,256.5976,-2.088823
14,18,2,5,275.9970,286.2034,-1.447802
14,19,2,5,277.6255,286.2034,-1.523291
14,20,2,5,285.5009,286.2034,-2.610036
15,1,1,1,19.3816,19.7390,-1.742206
15,2,2,1,48.4965,49.3476,-1.763314
15,3,2,1,48.8077,49.3476,-1.960992
15,4,2,2,76.7644,78.9557,-1.556686
15,5,1,3,97.6965,98.6942,-1.995280
15,6,1,3,97.7142,98.6942,-2.003035
15,7,2,3,123.1740,128.3018,-1.398299
15,8,2,3,125.5223,128.3018,-1.664259
15,9,1,4,166.4310,167.7781,-2.095356
15,10,1,4,166.6551,167.7781,-2.174373
15,11,4,1,169.0425,167.7781,-2.122862
15,12,4,2,191.4429,197.3849,-1.521382
15,13,4,2,192.0242,197.3849,-1.566091
15,14,4,3,228.8096,246.7289,-1.138899
15,15,4,3,237.7462,246.7289,-1.438813
15,16,5,1,254.8594,256.5976,-2.169151
15,17,5,1,254.8931,256.5976,-2.177654
15,18,2,5,277.2308,286.2034,-1.503757
15,19,2,5,278.6152,286.2034,-1.576538
15,20,5,2,289.3353,286.2034,-1.960866
16,1,1,1,19.4025,19.7390,-1.768400
16,2,2,1,48.5613,49.3476,-1.797710
16,3,2,1,48.8371,49.3476,-1.985298
16,4,2,2,76.9354,78.9557,-1.591974
16,5,1,3,97.7724,98.6942,-2.029640
16,6,1,3,97.7937,98.6942,-2.039817
16,7,2,3,123.6589,128.3018,-1.441446
16,8,2,3,125.7306,128.3018,-1.698092
16,9,1,4,166.5624,167.7781,-2.139924
16,10,1,4,166.7619,167.7781,-2.217749
16,11,4,1,169.9121,167.7781,-1.895548
16,12,4,2,192.0122,197.3849,-1.565121
16,13,4,2,192.4886,197.3849,-1.605450
16,14,4,3,230.7354,246.7289,-1.188277
16,15,4,3,238.5960,246.7289,-1.481974
16,16,5,1,255.0961,256.5976,-2.232731
16,17,5,1,255.1327,256.5976,-2.243453
16,18,2,5,278.1982,286.2034,-1.553302
16,19,2,5,279.3859,286.2034,-1.623047
16,20,5,2,292.4772,286.2034,-1.659148
17,1,1,1,19.4207,19.7390,-1.792486
17,2,2,1,48.6163,49.3476,-1.829177
17,3,2,1,48.8622,49.3476,-2.007229
17,4,2,2,77.0798,78.9557,-1.624183
17,5,1,3,97.8367,98.6942,-2.061027
17,6,1,3,97.8613,98.6942,-2.073681
17,7,2,3,124.0665,128.3018,-1.481348
17,8,2,3,125.9073,128.3018,-1.729016
17,9,1,4,166.6675,167.7781,-2.179197
17,10,1,4,166.8459,167.7781,-2.255259
17,11,4,1,170.6346,167.7781,-1.768905
17,12,4,2,192.4838,197.3849,-1.605020
17,13,4,2,192.8867,197.3849,-1.642276
17,14,4,3,232.3388,246.7289,-1.234156
17,15,4,3,239.3050,246.7289,-1.521588
17,16,5,1,255.2868,256.5976,-2.291731
17,17,5,1,255.3246,256.5976,-2.304444
17,18,2,5,279.0102,286.2034,-1.599754
17,19,2,5,280.0390,286.2034,-1.666783
17,20,5,2,295.0587,286.2034,-1.509471
18,1,1,1,19.4364,19.7390,-1.814532
18,2,2,1,48.6639,49.3476,-1.858438
18,3,2,1,48.8842,49.3476,-2.027388
18,4,2,2,77.2045,78.9557,-1.654061
18,5,1,3,97.8920,98.6942,-2.090008
18,6,1,3,97.9186,98.6942,-2.104648
