mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
1,1,1,19.5112,19.7390,-1.937830,-2.530585,-1.963614,0.465608
2,2,1,48.8762,49.3476,-2.019940,-0.150503,-0.150453,0.239590
3,2,1,48.9913,49.3476,-2.141447,-0.150479,-0.150439,0.243959
4,2,2,77.7546,78.9557,-1.817799,-1.612391,-1.465330,0.347783
5,1,3,98.1421,98.6942,-2.252283,-0.132294,-0.132615,0.265479
6,1,3,98.1645,98.6942,-2.270261,-0.150410,-0.150344,0.209342
7,2,3,125.8777,128.3018,-1.723671,-0.150310,-0.150063,0.213438
8,2,3,126.7353,128.3018,-1.913286,-0.150276,-0.150126,0.217312
9,1,4,167.1165,167.7781,-2.404175,-0.150323,-0.150256,0.198915
10,1,4,167.1993,167.7781,-2.462223,-0.150210,-0.150138,0.197770
11,3,3,173.7282,177.6471,-1.656402,-1.000434,-0.956286,0.302034
12,4,2,194.5702,197.3849,-1.845889,-0.150107,-0.150134,0.215315
13,4,2,194.7191,197.3849,-1.869484,-0.135173,-0.134424,0.157526
14,4,3,239.1754,246.7289,-1.514074,-0.149452,-0.148717,0.195495
15,4,3,242.3955,246.7289,-1.755398,-0.149746,-0.149501,0.205106
16,5,1,255.9170,256.5976,-2.576367,-0.149262,-0.149321,0.213888
17,5,1,255.9436,256.5976,-2.593672,-0.149904,-0.149815,0.192705
18,2,5,282.3843,286.2034,-1.874714,-0.149565,-0.149242,0.194348
19,2,5,282.8064,286.2034,-1.925582,-0.149411,-0.149084,0.194232
20,4,4,305.5089,315.8089,-1.486584,-0.598791,-0.577053,0.259498
21,5,3,327.0097,335.5458,-1.594493,-0.149133,-0.148562,0.192335
22,5,3,328.0334,335.5458,-1.649977,-0.139464,-0.138285,0.173993
23,6,1,364.4362,365.1508,-2.708462,-0.149595,-0.149517,0.190868
24,6,1,364.5302,365.1508,-2.769714,-0.148878,-0.148769,0.186170
25,2,6,385.8401,394.7554,-1.646192,0.027241,0.025926,0.031686
26,2,6,390.0955,394.7554,-1.927946,-0.142619,-0.143370,0.231854
27,2,6,390.3260,394.7554,-1.949977,-0.147661,-0.147169,0.183348
28,2,6,394.3406,394.7554,-2.978475,0.033917,0.033588,0.041879
29,6,3,432.8144,444.0958,-1.595113,-0.145700,-0.144701,0.180681
30,6,3,434.0341,444.0958,-1.644803,-0.138661,-0.137250,0.162644
31,3,6,468.7126,444.0958,-1.256244,0.046490,0.047203,0.064757
32,7,1,492.1695,493.4353,-2.590869,-0.076074,-0.076523,0.122724
33,7,1,492.5231,493.4353,-2.733132,-0.134185,-0.134209,0.174777
34,5,5,493.6980,493.4353,-3.273705,0.023706,0.023355,0.026612
35,5,5,497.2114,493.4353,-2.116183,-0.012271,-0.013917,0.124847
36,4,6,517.1569,513.1708,-2.109720,0.010401,0.010371,0.011327
37,4,6,517.5657,513.1708,-2.067313,0.008784,0.008768,0.009628
38,7,3,558.3576,572.3766,-1.610964,-0.140029,-0.138559,0.163129
39,7,3,558.9045,572.3766,-1.628248,-0.143267,-0.142163,0.176743
40,7,3,561.1654,572.3766,-1.708030,0.031581,0.029493,0.035787
41,3,7,579.3609,572.3766,-1.913557,0.001195,0.001180,0.001486
42,5,6,615.4917,601.9790,-1.648841,-0.002480,-0.002774,0.015667
43,5,6,618.8998,601.9790,-1.551162,0.027661,0.026717,0.110712
