mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
1,1,1,19.1059,19.7390,-1.493865,-1.803936,-1.398615
2,2,1,47.5820,49.3476,-1.446391,-0.150342,-0.149806
3,2,1,48.3430,49.3476,-1.691281,-0.149918,-0.149396
4,2,2,74.3948,78.9557,-1.238334,-0.714016,-0.649878
5,1,3,96.1861,98.6942,-1.594936,-0.126866,-0.125166
6,1,3,96.3387,98.6942,-1.622205,-0.147984,-0.146979
7,2,3,116.2966,128.3018,-1.028861,-0.136399,-0.130693
8,2,3,121.7361,128.3018,-1.290951,-0.138790,-0.136478
9,1,4,154.1494,167.7781,-1.090282,0.000000,0.000000
10,1,4,162.6672,167.7781,-1.516236,-0.061560,-0.065498
11,1,4,162.7316,167.7781,-1.521749,0.000000,0.000000
12,1,4,163.3483,167.7781,-1.578353,0.000000,0.000000
13,1,4,163.3531,167.7781,-1.578828,-0.135797,-0.133563
14,3,3,179.1000,177.6471,-2.087307,0.024743,0.022622
15,3,3,184.0457,177.6471,-1.443474,-0.001981,-0.006689
16,2,4,198.2668,197.3849,-2.349894,0.025053,0.020664
17,2,4,201.4571,197.3849,-1.685488,0.006358,0.002782
18,2,4,205.1995,197.3849,-1.402407,0.008334,0.006565
19,2,4,215.6381,197.3849,-1.033976,0.011344,0.009311
20,2,4,216.0668,197.3849,-1.023894,0.003928,0.001536
21,4,3,227.0825,246.7289,-1.098937,0.011234,0.008413
22,4,3,236.6260,246.7289,-1.387773,0.006580,0.004073
23,4,3,238.6682,246.7289,-1.485851,0.016704,0.011627
24,4,3,239.4349,246.7289,-1.529258,0.005020,0.004176
25,4,3,241.7435,246.7289,-1.694519,0.001463,0.001135
26,3,4,247.8814,246.7289,-2.330568,0.008596,0.004812
27,3,4,250.4686,246.7289,-1.819378,-0.005685,-0.005811
28,3,4,251.2630,246.7289,-1.735731,0.005346,0.005204
29,1,5,258.9843,256.5976,-2.031445,0.036154,0.028536
30,1,5,264.1211,256.5976,-1.532833,-0.000000,-0.000000
31,1,5,265.4164,256.5976,-1.463839,-0.015990,-0.025694
32,1,5,270.7000,256.5976,-1.259957,0.010085,0.006152
33,2,5,279.7381,286.2034,-1.646088,-0.014658,-0.023413
34,2,5,282.7690,286.2034,-1.920817,0.023342,0.011539
35,5,2,291.9927,286.2034,-1.694049,0.027968,0.020274
36,4,4,308.2200,315.8089,-1.619245,0.010525,0.007092
37,4,4,325.6557,315.8089,-1.506129,0.041069,0.032159
38,5,3,328.3149,335.5458,-1.666561,0.000000,-0.000000
39,5,3,329.2603,335.5458,-1.727412,-0.000000,-0.000000
40,5,3,331.6452,335.5458,-1.934619,-0.000000,0.000000
41,5,3,334.5770,335.5458,-2.539544,-0.000000,0.000000
42,3,5,344.6629,335.5458,-1.565894,-0.000000,-0.000000
43,6,1,357.3228,365.1508,-1.668826,0.000000,-0.000000
44,2,6,386.9423,394.7554,-1.703502,0.007350,0.005084
45,2,6,387.9905,394.7554,-1.766063,0.023437,0.017149
46,2,6,393.3745,394.7554,-2.456167,0.004173,0.002438
47,5,4,401.7665,404.6236,-2.151135,-0.000000,-0.000000
48,4,5,405.9320,404.6236,-2.490304,-0.000000,-0.000000
49,4,5,414.1322,404.6236,-1.628933,0.000000,0.000000
50,4,5,414.3662,404.6236,-1.618373,0.000000,0.000000
51,4,5,418.2152,404.6236,-1.473780,0.000000,0.000000
52,4,5,419.1359,404.6236,-1.445314,-0.000000,-0.000000
53,4,5,421.7394,404.6236,-1.373653,0.000000,0.000000
54,3,6,446.3478,444.0958,-2.294901,0.004131,0.002925
55,3,6,447.3888,444.0958,-2.129884,0.004907,0.004653
56,3,6,456.0684,444.0958,-1.569287,0.000911,0.000661
57,3,6,459.0439,444.0958,-1.472890,0.000729,0.000829
58,7,1,470.1984,493.4353,-1.327053,-0.001484,-0.001395
59,7,1,473.5444,493.4353,-1.394576,0.005921,0.004067
60,7,1,480.3168,493.4353,-1.575347,-0.000072,-0.000403
61,7,1,493.4151,493.4353,-4.388203,0.000154,0.000114
62,5,5,497.0730,493.4353,-2.132403,0.018770,0.012116
63,2,7,520.0593,523.0386,-2.244424,0.009574,0.008879
64,2,7,521.9450,523.0386,-2.679677,0.004903,0.003837
65,7,2,528.5934,523.0386,-1.973863,-0.005372,-0.005746
66,7,2,547.5754,523.0386,-1.328716,0.002461,0.002025
67,7,3,550.9331,572.3766,-1.426386,0.004807,0.003067
68,7,3,570.7082,572.3766,-2.535391,0.010862,0.007855
69,3,7,578.9455,572.3766,-1.940192,0.003831,0.003086
70,3,7,580.1375,572.3766,-1.867772,0.016275,0.014713
71,5,6,599.3044,601.9790,-2.352315,0.000000,0.000000
72,5,6,606.9575,601.9790,-2.082486,0.010690,0.009035
73,5,6,620.5764,601.9790,-1.510128,0.019251,0.017536
74,8,1,636.5486,641.4484,-2.116988,0.000561,0.000587
75,4,7,645.8782,641.4484,-2.160779,0.003883,0.002999
76,8,2,660.9791,671.0500,-1.823685,0.005032,0.004215
77,8,2,668.3392,671.0500,-2.393650,0.005686,0.005366
78,2,8,682.4989,671.0500,-1.767992,0.001262,0.001637
79,6,6,698.2705,710.5184,-1.763516,0.001186,0.000901
80,6,6,701.9374,710.5184,-1.918038,0.018604,0.015523
81,6,6,708.1796,710.5184,-2.482593,-0.008112,-0.008133
82,15,15,60102.8449,4437.6877,1.098427,-0.000000,0.000000
83,15,15,60102.9738,4437.6877,1.098428,0.000000,0.000000
84,15,15,60103.3130,4437.6877,1.098430,-0.000000,0.000000
85,15,15,60104.2830,4437.6877,1.098438,-0.000000,0.000000
86,15,15,60105.3691,4437.6877,1.098446,-0.000000,0.000000
