mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
1,1,1,19.4364,19.7390,-1.814532,-2.164005,-1.729020,0.432664
2,2,1,48.6639,49.3476,-1.858438,-0.150432,-0.150286,0.226018
3,2,1,48.8842,49.3476,-2.027388,-0.150401,-0.150293,0.230545
4,2,2,77.2045,78.9557,-1.654061,-1.295683,-1.182342,0.327176
5,1,3,97.8920,98.6942,-2.090008,-0.130925,-0.130482,0.148551
6,1,3,97.9186,98.6942,-2.104648,-0.150055,-0.149857,0.201389
7,2,3,124.4139,128.3018,-1.518512,-0.149769,-0.149005,0.200146
8,2,3,126.0595,128.3018,-1.757543,-0.149694,-0.149273,0.205287
9,1,4,166.7558,167.7781,-2.215160,-0.149641,-0.149426,0.191694
10,1,4,166.9159,167.7781,-2.289147,-0.149167,-0.148937,0.189099
11,4,1,171.2426,167.7781,-1.685089,0.025134,0.025311,0.037464
12,4,2,192.8852,197.3849,-1.642132,-0.147875,-0.146987,0.184706
13,4,2,193.2305,197.3849,-1.676806,-0.141653,-0.140368,0.171428
14,4,3,233.6898,246.7289,-1.276974,-0.145899,-0.143355,0.174758
15,4,3,239.9055,246.7289,-1.558219,-0.147270,-0.146436,0.189708
16,5,1,255.4285,256.5976,-2.341418,-0.150005,-0.149869,0.195121
17,5,1,255.4664,256.5976,-2.355708,-0.147606,-0.147312,0.181332
18,2,5,279.6846,286.2034,-1.642509,-0.146843,-0.145817,0.181461
19,2,5,280.5836,286.2034,-1.706953,-0.146164,-0.145128,0.180763
20,5,2,297.2025,286.2034,-1.415320,0.038367,0.038141,0.053170
21,4,4,320.5022,315.8089,-1.827949,-0.000000,-0.000000,-0.000000
22,4,4,323.5673,315.8089,-1.609656,0.002006,0.000306,0.131078
23,6,1,363.4010,365.1508,-2.319497,-0.122072,-0.121615,0.134631
24,6,1,363.6962,365.1508,-2.399747,-0.142785,-0.142430,0.168359
25,1,6,370.4572,365.1508,-1.837672,0.014000,0.013773,-0.000228
26,2,6,386.2026,394.7554,-1.664217,0.027438,0.026085,0.031400
27,2,6,386.2476,394.7554,-1.666508,-0.138599,-0.137045,0.158552
28,2,6,386.7953,394.7554,-1.695406,-0.140235,-0.138815,0.164498
29,4,5,423.7846,404.6236,-1.324633,0.015178,0.014697,0.054053
30,6,3,426.7161,444.0958,-1.407433,-0.114856,-0.111707,0.126719
31,3,6,445.0913,444.0958,-2.649421,0.036451,0.033559,0.045024
32,7,1,475.2364,493.4353,-1.433185,0.023399,0.021618,0.010535
33,7,1,485.1229,493.4353,-1.773504,0.007024,0.004772,0.108625
34,7,1,490.9788,493.4353,-2.302912,-0.138450,-0.138088,0.160627
35,7,1,491.9157,493.4353,-2.511505,-0.109607,-0.109396,0.133464
36,6,4,510.5948,513.1708,-2.299317,0.008801,0.008499,0.009376
37,6,4,511.7886,513.1708,-2.569667,-0.000000,-0.000000,-0.000000
38,7,2,524.4036,523.0386,-2.583382,-0.005357,-0.005904,0.015840
39,7,2,545.6015,523.0386,-1.365138,0.061808,0.061803,0.076324
40,7,2,547.1896,523.0386,-1.335597,-0.000000,-0.000000,-0.000000
41,7,3,555.7151,572.3766,-1.535968,0.026967,0.024353,0.029934
42,5,6,591.5989,601.9790,-1.763378,0.019741,0.019023,-0.004738
43,5,6,602.0544,601.9790,-3.902244,-0.021687,-0.023904,0.089563
44,5,6,602.9100,601.9790,-2.810610,0.035100,0.030366,0.044409
45,8,1,636.1722,641.4484,-2.084846,-0.132839,-0.132409,0.149727
46,8,1,636.5714,641.4484,-2.119010,-0.131978,-0.131552,0.149496
47,4,7,643.1497,641.4484,-2.576364,0.046057,0.041644,0.055686
48,4,7,652.5846,641.4484,-1.760423,0.017881,0.017483,0.020362
49,4,7,655.6918,641.4484,-1.653546,0.011229,0.011059,0.012976
50,2,8,673.7587,671.0500,-2.393987,0.008500,0.004794,0.099815
51,2,8,676.0976,671.0500,-2.123671,0.011062,0.009630,0.014094
52,2,8,685.1787,671.0500,-1.676652,0.044611,0.043343,0.052295
53,2,8,687.5913,671.0500,-1.608187,0.000000,-0.000000,-0.000000
54,8,3,724.6054,720.3854,-2.232249,0.018048,0.016740,0.021469
55,5,7,729.8419,730.2523,-3.250257,0.042617,0.037020,0.053141
56,7,5,730.3995,730.2523,-3.695784,-0.012703,-0.016036,0.078631
57,7,5,755.9870,730.2523,-1.452954,-0.001958,-0.002057,0.002807
58,8,4,768.0126,789.4533,-1.566087,0.028579,0.024174,0.032988
59,4,8,795.2307,789.4533,-2.135595,0.027035,0.025070,0.032458
60,4,8,795.5934,789.4533,-2.109153,0.000000,0.000000,-0.000000
61,4,8,796.0380,789.4533,-2.078794,0.000000,0.000000,0.000000
62,1,9,808.6006,809.1867,-3.140071,0.028294,0.020045,0.073839
63,9,1,811.5878,809.1867,-2.527636,0.018576,0.017804,0.020236
64,9,1,816.7506,809.1867,-2.029306,0.002409,0.002335,0.002700
65,9,1,818.6834,809.1867,-1.930480,0.001199,0.000895,0.001817
66,2,9,828.9926,838.7865,-1.932693,0.000000,-0.000000,0.000000
67,2,9,837.6186,838.7865,-2.856225,0.000000,0.000000,0.000000
68,6,7,855.0170,838.7865,-1.713321,0.024009,0.019979,0.033779
69,5,8,865.9533,878.2525,-1.853743,-0.000000,-0.000000,0.000000
70,5,8,868.3356,878.2525,-1.947244,0.013573,0.007114,0.072491
71,5,8,875.6855,878.2525,-2.534203,-0.000000,0.000000,0.000000
72,9,3,894.2043,888.1188,-2.164176,0.003991,0.003359,0.005339
73,9,3,897.6674,888.1188,-1.968534,0.003017,0.001941,0.005433
74,9,3,903.3993,888.1188,-1.764334,0.016015,0.013264,0.026507
75,9,3,917.8296,888.1188,-1.475557,0.027410,0.021157,0.036484
76,9,4,938.7355,957.1826,-1.715069,0.000000,0.000000,-0.000000
77,9,4,948.5117,957.1826,-2.042931,0.025090,0.020199,0.034440
78,9,4,952.5604,957.1826,-2.316149,0.001535,0.001133,0.002255
79,7,7,964.5072,967.0487,-2.580359,0.018341,0.014639,0.024943
80,7,7,971.5358,967.0487,-2.333474,0.000079,0.000075,0.000088
81,7,7,974.0165,967.0487,-2.142353,0.000050,0.000046,0.000060
82,7,7,975.5914,967.0487,-2.053852,0.000618,0.000420,0.001064
83,6,8,983.6528,986.7808,-2.498965,-0.000000,-0.000000,0.000000
84,6,8,986.0876,986.7808,-3.153374,0.000000,0.000000,-0.000000
85,10,1,1000.5742,996.6468,-2.404431,0.000000,-0.000000,-0.000000
86,10,1,1007.0513,996.6468,-1.981317,0.014725,0.013330,0.023449
87,10,2,1011.5431,1026.2445,-1.843891,0.008606,0.007238,0.010561
88,10,2,1016.2058,1026.2445,-2.009573,0.012022,0.007248,0.035852
89,2,10,1027.4039,1026.2445,-2.947034,0.003319,0.002745,0.004522
90,5,9,1036.3798,1045.9762,-2.037413,0.004070,0.003720,-0.001811
91,9,5,1053.4533,1045.9762,-2.145785,0.007389,0.007110,-0.005857
92,9,5,1054.4503,1045.9762,-2.091430,0.006079,0.005976,-0.005220
93,9,5,1060.4174,1045.9762,-1.859918,0.028001,0.022294,0.041517
94,3,10,1075.2619,1075.5734,-3.538243,0.006656,0.001550,0.041567
95,10,3,1083.1151,1075.5734,-2.154171,0.004114,0.002990,0.004680
96,7,8,1115.9937,1115.0359,-3.065996,-0.000000,-0.000000,0.000000
97,7,8,1118.3017,1115.0359,-2.533292,0.000000,-0.000000,-0.000000
98,7,8,1126.1186,1115.0359,-2.002642,-0.000000,-0.000000,0.000000
99,7,8,1129.2715,1115.0359,-1.893911,0.001472,0.001313,0.001832
