mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
1,1,1,19.3426,19.7390,-1.697172,-1.549968,-1.317043,0.383530
2,2,1,48.1883,49.3476,-1.629092,-0.149443,-0.148599,0.201783
3,2,1,48.7982,49.3476,-1.953432,-0.149371,-0.148846,0.205987
4,2,2,75.9767,78.9557,-1.423316,-0.810425,-0.733763,0.282067
5,1,3,97.1645,98.6942,-1.809686,-0.128312,-0.126973,0.141048
6,1,3,97.5328,98.6942,-1.929316,-0.145551,-0.144455,0.177316
7,2,3,120.2665,128.3018,-1.203231,-0.142993,-0.138413,0.163963
8,2,3,124.6969,128.3018,-1.551338,-0.142782,-0.140499,0.171076
9,1,4,163.5523,167.7781,-1.598825,0.001950,0.001776,0.002448
10,1,4,165.4451,167.7781,-1.856821,-0.142882,-0.141632,0.167044
11,1,4,165.8952,167.7781,-1.949911,-0.139725,-0.138520,0.160639
12,3,3,187.3190,177.6471,-1.264043,-0.000000,0.000000,-0.000000
13,4,2,190.0487,197.3849,-1.429841,-0.111159,-0.107197,0.121360
14,2,4,216.1028,197.3849,-1.023057,0.038728,0.037550,0.063688
15,4,3,232.3665,246.7289,-1.234993,-0.129574,-0.125383,0.150866
16,5,1,253.5743,256.5976,-1.928777,-0.107548,-0.105527,0.112135
17,5,1,253.6207,256.5976,-1.935488,-0.111038,-0.109213,0.119072
18,1,5,267.6896,256.5976,-1.364241,0.010841,0.006870,0.053896
19,2,5,271.5717,286.2034,-1.291380,-0.042257,-0.039803,0.040111
20,2,5,274.6857,286.2034,-1.395309,-0.097553,-0.093116,0.101322
21,5,2,299.3729,286.2034,-1.337105,0.009664,0.009023,0.014161
22,4,4,313.8569,315.8089,-2.208940,-0.053203,-0.054814,0.095738
23,4,4,318.2782,315.8089,-2.106857,0.008680,0.006735,0.012983
24,6,1,352.6264,365.1508,-1.464718,-0.067748,-0.068742,0.098516
25,6,1,355.0272,365.1508,-1.557139,-0.091473,-0.089425,0.093737
26,6,1,359.2455,365.1508,-1.791236,-0.044668,-0.048260,0.097312
