mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
1,2,2,83.6409,78.9568,-1.226765,1.800206,1.588880,2.391505,99.9997,0.0001,0.0001,1.50e-06
2,1,3,97.2587,98.6960,-1.836727,1.800910,1.685311,2.251484,99.9995,0.0003,0.0002,1.02e-06
3,2,3,115.5648,128.3049,-1.003071,1.801769,1.658677,2.182398,99.9994,0.0002,0.0003,9.80e-07
4,2,3,132.0651,128.3049,-1.533027,1.801386,1.731494,2.193718,99.9992,0.0005,0.0003,7.61e-07
5,1,4,150.2107,167.7833,-0.979914,1.800953,1.712829,2.056387,99.9991,0.0002,0.0007,6.47e-07
6,1,4,158.8729,167.7833,-1.274855,1.801930,1.719192,2.097388,99.9990,0.0006,0.0004,6.00e-07
7,3,3,186.0133,177.6529,-1.327342,1.800953,1.755866,2.101359,99.9988,0.0005,0.0007,3.93e-07
8,2,4,192.0699,197.3921,-1.569238,1.800877,1.744077,2.038206,99.9987,0.0004,0.0008,4.46e-07
9,3,4,231.2395,246.7401,-1.201892,1.801257,1.740990,1.994427,99.9984,0.0013,0.0003,2.80e-07
10,3,4,234.9281,246.7401,-1.319916,1.799877,1.743368,1.974016,99.9984,0.0006,0.0010,2.72e-07
11,3,4,244.8955,246.7401,-2.126341,1.800796,1.757845,1.982587,99.9983,0.0011,0.0006,3.03e-07
12,3,4,247.9287,246.7401,-2.317222,1.803108,1.742431,2.068703,99.9984,0.0006,0.0009,2.50e-07
13,2,5,282.3737,286.2185,-1.871819,1.800817,1.753769,1.989226,99.9981,0.0009,0.0010,2.29e-07
14,2,5,294.8140,286.2185,-1.522427,1.802015,1.774525,1.982032,99.9979,0.0007,0.0014,1.63e-07
15,4,4,305.5825,315.8273,-1.488944,1.801414,1.759609,1.916736,99.9978,0.0010,0.0012,1.64e-07
16,4,4,311.2537,315.8273,-1.839184,1.801200,1.756259,1.964040,99.9979,0.0011,0.0011,2.30e-07
17,3,5,330.7942,335.5665,-1.847042,1.800610,1.752450,1.955947,99.9978,0.0011,0.0011,1.29e-07
18,1,6,352.5676,365.1754,-1.461864,1.799189,1.758461,1.918337,99.9975,0.0012,0.0013,1.26e-07
19,1,6,370.0683,365.1754,-1.872930,1.802342,1.755148,1.964543,99.9975,0.0013,0.0012,1.11e-07
20,1,6,377.5042,365.1754,-1.471579,1.799971,1.764125,1.945149,99.9974,0.0015,0.0011,1.14e-07
21,2,6,390.0816,394.7842,-1.924021,1.801577,1.753294,1.932635,99.9974,0.0011,0.0015,1.27e-07
22,4,5,408.0387,404.6538,-2.077534,1.801366,1.761260,1.930138,99.9972,0.0009,0.0019,9.79e-08
23,4,5,418.7455,404.6538,-1.458120,1.800834,1.754174,1.967037,99.9973,0.0011,0.0017,1.03e-07
24,3,6,428.5513,444.1322,-1.454919,1.802876,1.720968,1.934417,99.9975,0.0017,0.0008,1.19e-07
25,3,6,444.4929,444.1322,-3.090346,1.800001,1.750493,1.946764,99.9970,0.0016,0.0014,9.46e-08
26,3,6,452.7240,444.1322,-1.713430,1.802127,1.765352,1.902674,99.9969,0.0013,0.0018,1.25e-07
27,3,6,465.0651,444.1322,-1.326684,1.800171,1.782519,1.911568,99.9966,0.0026,0.0008,1.05e-07
28,1,7,473.2619,493.4802,-1.387525,1.803842,1.747855,1.873372,99.9968,0.0017,0.0015,1.08e-07
29,1,7,479.4772,493.4802,-1.547049,1.800131,1.744432,1.915741,99.9968,0.0008,0.0024,1.07e-07
30,1,7,499.6116,493.4802,-1.905710,1.798603,1.752535,1.915878,99.9967,0.0018,0.0015,8.99e-08
31,1,7,502.7910,493.4802,-1.724284,1.801635,1.740377,1.949209,99.9969,0.0011,0.0020,1.43e-07
32,4,6,511.7077,513.2194,-2.530822,1.801907,1.755443,1.910470,99.9966,0.0021,0.0014,7.83e-08
33,2,7,530.4070,523.0890,-1.854183,1.802017,1.758155,1.914981,99.9964,0.0016,0.0020,9.75e-08
34,2,7,540.6850,523.0890,-1.473162,1.804067,1.758333,1.920199,99.9965,0.0013,0.0022,7.15e-08
35,3,7,549.4906,572.4371,-1.397012,1.801223,1.750311,1.857886,99.9962,0.0026,0.0012,8.37e-08
36,3,7,561.0352,572.4371,-1.700753,1.800069,1.763133,1.864980,99.9960,0.0023,0.0017,5.63e-08
37,3,7,577.4552,572.4371,-2.057187,1.800409,1.724646,1.932612,99.9966,0.0015,0.0019,9.33e-08
38,3,7,583.4112,572.4371,-1.717358,1.803447,1.766121,1.895573,99.9960,0.0021,0.0019,5.47e-08
39,5,6,595.6777,602.0459,-1.975615,1.801198,1.767346,1.859336,99.9957,0.0021,0.0022,9.55e-08
40,5,6,608.9673,602.0459,-1.939431,1.799014,1.742620,1.916740,99.9961,0.0015,0.0024,9.00e-08
41,5,6,612.5386,602.0459,-1.758739,1.803057,1.757754,1.906787,99.9959,0.0019,0.0022,6.94e-08
42,1,8,623.7142,641.5243,-1.556547,1.801795,1.740975,1.884814,99.9960,0.0016,0.0024,6.89e-08
43,1,8,641.4464,641.5243,-3.915817,1.800176,1.762435,1.878278,99.9956,0.0024,0.0020,5.80e-08
44,1,8,654.0851,641.5243,-1.708195,1.797774,1.753956,1.892057,99.9957,0.0023,0.0020,5.85e-08
45,2,8,664.2615,671.1331,-1.989750,1.801197,1.743470,1.892431,99.9957,0.0022,0.0021,5.65e-08
46,2,8,670.2026,671.1331,-2.858086,1.799178,1.758799,1.865756,99.9954,0.0019,0.0028,6.92e-08
47,2,8,684.0497,671.1331,-1.715659,1.801558,1.764090,1.880969,99.9953,0.0029,0.0018,5.55e-08
48,6,6,697.4219,710.6115,-1.731399,1.802538,1.742267,1.871814,99.9955,0.0020,0.0025,4.90e-08
49,6,6,698.5123,710.6115,-1.768876,1.801053,1.746546,1.867734,99.9954,0.0026,0.0020,7.28e-08
50,6,6,713.9695,710.6115,-2.325559,1.799660,1.748577,1.892077,99.9953,0.0027,0.0020,5.84e-08
51,3,8,717.0855,720.4811,-2.326702,1.801166,1.759689,1.869403,99.9951,0.0015,0.0035,6.24e-08
52,3,8,721.2299,720.4811,-2.983295,1.800692,1.757493,1.874861,99.9951,0.0022,0.0027,7.19e-08
53,5,7,730.4195,730.3507,-4.026229,1.803744,1.732965,1.901650,99.9956,0.0021,0.0023,4.77e-08
54,5,7,743.7563,730.3507,-1.736247,1.801663,1.767015,1.886257,99.9948,0.0028,0.0024,5.56e-08
55,5,7,758.6807,730.3507,-1.411286,1.800138,1.770555,1.878658,99.9947,0.0026,0.0027,5.13e-08
56,4,8,774.1409,789.5684,-1.709096,1.800623,1.760014,1.844065,99.9946,0.0025,0.0029,3.94e-08
57,4,8,775.6852,789.5684,-1.754902,1.799595,1.753311,1.857104,99.9947,0.0025,0.0028,3.87e-08
58,4,8,779.4523,789.5684,-1.892379,1.800281,1.749564,1.867149,99.9948,0.0020,0.0032,3.58e-08
59,4,8,798.0742,789.5684,-1.967674,1.800725,1.756509,1.870810,99.9947,0.0029,0.0025,3.87e-08
60,1,9,817.3849,809.3076,-2.000844,1.801965,1.748569,1.870239,99.9947,0.0029,0.0025,3.88e-08
61,1,9,818.9214,809.3076,-1.925219,1.804637,1.755278,1.879288,99.9946,0.0021,0.0033,7.60e-08
62,1,9,823.5079,809.3076,-1.755814,1.803105,1.759505,1.881610,99.9944,0.0030,0.0025,5.08e-08
63,2,9,843.5923,838.9164,-2.253852,1.801776,1.758724,1.870368,99.9942,0.0038,0.0020,5.96e-08
