mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
1,2,2,71.4908,78.9568,-1.024300,1.801155,1.576102,99.9998,0.0001,0.0001,2.54e-06
2,1,3,98.8384,98.6960,-2.840853,1.801172,1.673048,99.9995,0.0003,0.0001,1.38e-06
3,1,3,111.7633,98.6960,-0.878116,1.801401,1.691137,99.9995,0.0001,0.0004,1.25e-06
4,2,3,135.5841,128.3049,-1.246158,1.800818,1.723172,99.9993,0.0004,0.0004,8.90e-07
5,1,4,150.6761,167.7833,-0.991571,1.801058,1.704691,99.9991,0.0007,0.0001,6.46e-07
6,1,4,165.7376,167.7833,-1.913912,1.801076,1.709062,99.9991,0.0002,0.0007,5.48e-07
7,3,3,177.0308,177.6529,-2.455733,1.801848,1.750132,99.9988,0.0006,0.0006,5.35e-07
8,2,4,196.8378,197.3921,-2.551626,1.801714,1.728482,99.9988,0.0006,0.0006,4.52e-07
9,3,4,222.7257,246.7401,-1.011767,1.800317,1.716984,99.9986,0.0012,0.0002,3.59e-07
10,3,4,234.9382,246.7401,-1.320287,1.801855,1.745832,99.9984,0.0007,0.0008,3.00e-07
11,3,4,238.8836,246.7401,-1.497011,1.800071,1.728020,99.9985,0.0004,0.0011,3.23e-07
12,3,4,247.1199,246.7401,-2.812739,1.801093,1.742912,99.9984,0.0008,0.0008,2.84e-07
13,1,5,266.9843,256.6097,-1.393303,1.800856,1.746211,99.9983,0.0007,0.0010,2.24e-07
14,2,5,272.8480,286.2185,-1.330548,1.801250,1.641033,99.9989,0.0004,0.0007,3.07e-07
15,2,5,285.5550,286.2185,-2.634845,1.801856,1.709490,99.9984,0.0011,0.0005,2.45e-07
16,2,5,297.4467,286.2185,-1.406388,1.798892,1.765217,99.9980,0.0011,0.0009,2.10e-07
17,4,4,306.0766,315.8273,-1.510410,1.801065,1.726367,99.9981,0.0010,0.0009,1.94e-07
18,4,4,316.6217,315.8273,-2.599427,1.800272,1.699670,99.9983,0.0007,0.0010,2.07e-07
19,3,5,329.7085,335.5665,-1.758024,1.798583,1.726639,99.9980,0.0008,0.0012,1.70e-07
20,3,5,341.5048,335.5665,-1.752122,1.801384,1.722371,99.9981,0.0009,0.0011,1.51e-07
21,3,5,347.4133,335.5665,-1.452181,1.799865,1.735097,99.9979,0.0014,0.0007,1.73e-07
22,3,5,348.7552,335.5665,-1.405577,1.801427,1.733249,99.9980,0.0008,0.0012,1.66e-07
23,1,6,355.5478,365.1754,-1.578983,1.802615,1.693591,99.9982,0.0010,0.0009,1.81e-07
24,1,6,367.4727,365.1754,-2.201281,1.801842,1.690376,99.9982,0.0011,0.0007,1.63e-07
25,1,6,372.2312,365.1754,-1.713955,1.799001,1.682229,99.9982,0.0007,0.0010,1.74e-07
26,2,6,390.3705,394.7842,-1.951564,1.801119,1.681338,99.9981,0.0010,0.0009,1.72e-07
27,2,6,399.3116,394.7842,-1.940508,1.801625,1.682359,99.9981,0.0010,0.0009,1.41e-07
28,4,5,411.0729,404.6538,-1.799610,1.800878,1.720738,99.9977,0.0013,0.0010,1.36e-07
29,4,5,416.1627,404.6538,-1.546050,1.802139,1.724780,99.9976,0.0012,0.0011,1.34e-07
30,4,5,421.6372,404.6538,-1.377058,1.800047,1.685183,99.9980,0.0009,0.0011,1.26e-07
31,3,6,433.4150,444.1322,-1.617433,1.800251,1.728004,99.9973,0.0009,0.0018,9.37e-08
32,3,6,444.1261,444.1322,-4.859362,1.800980,1.685614,99.9978,0.0012,0.0010,1.24e-07
33,3,6,446.8682,444.1322,-2.210404,1.802657,1.687738,99.9978,0.0012,0.0010,1.16e-07
34,3,6,450.4541,444.1322,-1.846661,1.797759,1.718764,99.9974,0.0010,0.0016,1.09e-07
35,3,6,456.7089,444.1322,-1.547947,1.802350,1.721200,99.9975,0.0013,0.0013,1.12e-07
36,3,6,465.0769,444.1322,-1.326438,1.801096,1.712811,99.9975,0.0010,0.0015,1.05e-07
37,1,7,476.0512,493.4802,-1.451997,1.801283,1.704726,99.9974,0.0016,0.0011,1.02e-07
38,1,7,481.8610,493.4802,-1.628091,1.800288,1.704756,99.9973,0.0014,0.0012,9.33e-08
39,1,7,496.5953,493.4802,-2.199802,1.801003,1.684307,99.9976,0.0013,0.0011,1.14e-07
40,1,7,500.7132,493.4802,-1.833955,1.801710,1.728442,99.9971,0.0017,0.0013,7.92e-08
41,4,6,507.2860,513.2194,-1.936995,1.801893,1.723049,99.9970,0.0014,0.0016,8.54e-08
