mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
1,3,3,185.1172,177.6529,-1.376583,1.800804,1.486626,99.9997,0.0002,0.0002,3.02e-07
2,2,4,202.8593,197.3921,-1.557560,1.801221,1.608129,99.9993,0.0003,0.0003,3.21e-07
3,2,4,217.7632,197.3921,-0.986316,1.801072,1.593441,99.9994,0.0003,0.0003,2.57e-07
4,3,4,233.9576,246.7401,-1.285623,1.800599,1.596473,99.9992,0.0004,0.0004,2.40e-07
5,1,5,252.5048,256.6097,-1.795965,1.800737,1.634524,99.9990,0.0008,0.0002,2.02e-07
6,1,5,260.0750,256.6097,-1.869536,1.800748,1.668806,99.9988,0.0005,0.0007,2.28e-07
7,1,5,265.8235,256.6097,-1.444836,1.800768,1.651149,99.9989,0.0005,0.0006,1.82e-07
8,2,5,293.1408,286.2185,-1.616448,1.801486,1.679226,99.9986,0.0006,0.0007,1.72e-07
9,4,4,315.6762,315.8273,-3.320115,1.800305,1.697461,99.9984,0.0004,0.0012,1.45e-07
10,3,5,332.6590,335.5665,-2.062249,1.801279,1.696066,99.9983,0.0008,0.0010,1.44e-07
11,3,5,342.2395,335.5665,-1.701463,1.800393,1.686756,99.9983,0.0012,0.0004,1.23e-07
12,1,6,351.2273,365.1754,-1.417989,1.801426,1.689830,99.9982,0.0010,0.0009,1.21e-07
13,2,6,385.7281,394.7842,-1.639418,1.801356,1.699625,99.9979,0.0007,0.0014,9.88e-08
14,2,6,391.4483,394.7842,-2.073152,1.800772,1.721608,99.9977,0.0010,0.0013,1.07e-07
15,2,6,396.9909,394.7842,-2.252610,1.800995,1.712204,99.9978,0.0011,0.0010,9.56e-08
16,4,5,416.5877,404.6538,-1.530302,1.801635,1.721068,99.9977,0.0008,0.0015,7.57e-08
17,3,6,430.8095,444.1322,-1.522919,1.801366,1.716836,99.9975,0.0016,0.0009,9.25e-08
18,3,6,443.3594,444.1322,-2.759468,1.801389,1.717097,99.9975,0.0016,0.0009,7.93e-08
19,3,6,455.9857,444.1322,-1.573665,1.801409,1.720531,99.9975,0.0011,0.0015,8.03e-08
20,3,6,465.1122,444.1322,-1.325707,1.800392,1.738130,99.9972,0.0014,0.0014,7.43e-08
21,1,7,490.2571,493.4802,-2.184993,1.799898,1.721433,99.9971,0.0011,0.0018,5.89e-08
22,4,6,510.7869,513.2194,-2.324248,1.801387,1.736682,99.9968,0.0018,0.0013,6.17e-08
23,2,7,518.7294,523.0890,-2.079123,1.800794,1.726828,99.9969,0.0011,0.0020,5.55e-08
24,2,7,533.6304,523.0890,-1.695679,1.800864,1.739499,99.9967,0.0019,0.0014,6.06e-08
25,2,7,540.2785,523.0890,-1.483313,1.801166,1.749503,99.9966,0.0013,0.0021,6.22e-08
26,3,7,548.6970,572.4371,-1.382245,1.801695,1.719499,99.9967,0.0019,0.0014,5.52e-08
27,3,7,558.6690,572.4371,-1.618856,1.801241,1.724651,99.9966,0.0022,0.0011,5.57e-08
28,3,7,570.5228,572.4371,-2.475735,1.801243,1.730881,99.9966,0.0013,0.0021,4.91e-08
29,5,6,587.3602,602.0459,-1.612736,1.800446,1.718329,99.9966,0.0017,0.0017,5.22e-08
30,5,6,603.4562,602.0459,-2.630294,1.802136,1.732939,99.9964,0.0022,0.0015,4.15e-08
31,5,6,612.6271,602.0459,-1.755094,1.801239,1.755393,99.9959,0.0019,0.0022,4.79e-08
32,1,8,624.3041,641.5243,-1.571175,1.801320,1.707051,99.9965,0.0016,0.0018,4.54e-08
33,1,8,637.8412,641.5243,-2.241004,1.801729,1.741304,99.9960,0.0027,0.0014,5.23e-08
34,1,8,652.2832,641.5243,-1.775446,1.800919,1.740923,99.9959,0.0018,0.0023,4.61e-08
35,2,8,657.3275,671.1331,-1.686754,1.801378,1.704537,99.9964,0.0016,0.0020,3.90e-08
36,2,8,663.3241,671.1331,-1.934213,1.800916,1.710912,99.9963,0.0016,0.0021,5.35e-08
37,2,8,678.3914,671.1331,-1.965972,1.800996,1.735249,99.9959,0.0018,0.0023,3.69e-08
38,2,8,687.3070,671.1331,-1.617993,1.801407,1.675321,99.9969,0.0015,0.0016,4.94e-08
39,2,8,689.6842,671.1331,-1.558440,1.799852,1.702455,99.9964,0.0024,0.0012,4.71e-08
40,6,6,703.0535,710.6115,-1.973225,1.800670,1.727134,99.9958,0.0017,0.0025,4.19e-08
41,3,8,717.6475,720.4811,-2.405287,1.801461,1.741317,99.9955,0.0032,0.0014,3.99e-08
42,5,7,726.0529,730.3507,-2.230279,1.800250,1.656352,99.9969,0.0015,0.0017,3.99e-08
43,5,7,733.3118,730.3507,-2.392077,1.801106,1.735283,99.9955,0.0023,0.0022,3.59e-08
44,5,7,750.1250,730.3507,-1.567431,1.801043,1.685143,99.9964,0.0019,0.0016,3.41e-08
45,5,7,758.9426,730.3507,-1.407289,1.802139,1.720561,99.9958,0.0023,0.0019,4.11e-08
46,4,8,767.3161,789.5684,-1.550016,1.801025,1.713804,99.9956,0.0016,0.0028,3.36e-08
47,4,8,778.1104,789.5684,-1.838283,1.801033,1.708098,99.9957,0.0025,0.0018,3.51e-08
48,4,8,788.3582,789.5684,-2.814541,1.801004,1.723242,99.9954,0.0017,0.0029,3.22e-08
49,4,8,798.8377,789.5684,-1.930343,1.800351,1.689448,99.9960,0.0019,0.0020,3.49e-08
50,1,9,801.3520,809.3076,-2.007443,1.800633,1.709735,99.9956,0.0018,0.0026,3.72e-08
51,1,9,809.5431,809.3076,-3.536121,1.800462,1.729696,99.9951,0.0024,0.0025,3.08e-08
52,1,9,823.4466,809.3076,-1.757692,1.800466,1.709083,99.9956,0.0021,0.0024,3.27e-08
53,2,9,835.3877,838.9164,-2.376110,1.800601,1.701448,99.9956,0.0020,0.0024,3.57e-08
54,2,9,842.5549,838.9164,-2.362789,1.799526,1.697619,99.9956,0.0020,0.0024,3.34e-08
55,2,9,848.2925,838.9164,-1.951697,1.800666,1.717914,99.9952,0.0025,0.0022,3.27e-08
56,2,9,858.1224,838.9164,-1.640281,1.801994,1.696185,99.9957,0.0021,0.0022,2.18e-08
57,5,8,858.8052,878.3948,-1.651664,1.801357,1.672283,99.9960,0.0021,0.0019,3.28e-08
58,5,8,864.2758,878.3948,-1.793886,1.801335,1.717237,99.9950,0.0027,0.0023,2.76e-08
59,5,8,876.1341,878.3948,-2.589441,1.800916,1.696026,99.9955,0.0020,0.0025,3.02e-08
60,3,9,892.4461,888.2644,-2.327191,1.801191,1.698978,99.9954,0.0031,0.0015,3.08e-08
61,3,9,902.8537,888.2644,-1.784508,1.800895,1.727200,99.9947,0.0027,0.0026,2.95e-08
62,3,9,908.6527,888.2644,-1.639160,1.800102,1.730148,99.9946,0.0025,0.0029,2.44e-08
63,3,9,910.2895,888.2644,-1.605624,1.800598,1.709735,99.9951,0.0030,0.0018,2.67e-08
64,3,9,914.8261,888.2644,-1.524287,1.800787,1.694257,99.9955,0.0024,0.0022,2.82e-08
65,4,9,923.8623,957.3516,-1.456165,1.800926,1.701288,99.9950,0.0021,0.0029,2.75e-08
66,4,9,934.5611,957.3516,-1.623317,1.800497,1.706630,99.9948,0.0029,0.0023,2.38e-08
