mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
1,1,2,62.2830,49.3480,-0.581505,1.802068,1.675356,2.428041,99.9998,0.0001,0.0001,2.27e-06
2,1,3,94.3121,98.6960,-1.352431,1.800665,1.696718,2.114123,99.9995,0.0004,0.0001,2.37e-06
3,1,3,98.0643,98.6960,-2.193787,1.801018,1.700903,2.142875,99.9995,0.0001,0.0004,2.49e-06
4,2,3,140.1052,128.3049,-1.036349,1.801666,1.760196,2.101064,99.9991,0.0002,0.0007,8.07e-07
5,2,3,146.3141,128.3049,-0.852747,1.801667,1.761146,2.149062,99.9991,0.0005,0.0004,1.02e-06
6,1,4,156.6217,167.7833,-1.177022,1.800585,1.722038,1.950648,99.9990,0.0006,0.0003,1.03e-06
7,3,3,183.9706,177.6529,-1.449008,1.802176,1.752134,2.001065,99.9988,0.0006,0.0006,5.41e-07
8,2,4,196.1128,197.3921,-2.188357,1.801442,1.747378,1.967375,99.9987,0.0006,0.0007,3.62e-07
9,2,4,212.2425,197.3921,-1.123591,1.802547,1.779613,1.949712,99.9985,0.0004,0.0011,3.21e-07
10,3,4,223.9483,246.7401,-1.034461,1.800608,1.741903,1.856459,99.9984,0.0011,0.0004,5.49e-07
11,3,4,244.9139,246.7401,-2.130686,1.799605,1.739299,1.920180,99.9984,0.0005,0.0010,3.45e-07
12,1,5,254.8768,256.6097,-2.170496,1.801449,1.759167,1.908137,99.9982,0.0010,0.0008,2.26e-07
13,2,5,273.1319,286.2185,-1.339869,1.803202,1.747031,1.873356,99.9981,0.0011,0.0008,2.81e-07
14,2,5,286.4391,286.2185,-3.113195,1.802582,1.746368,1.847854,99.9981,0.0012,0.0007,3.10e-07
15,2,5,296.0911,286.2185,-1.462267,1.801453,1.767925,1.879218,99.9979,0.0006,0.0015,1.83e-07
16,4,4,305.2066,315.8273,-1.473294,1.802328,1.751584,1.853415,99.9979,0.0010,0.0011,2.78e-07
17,4,4,312.0714,315.8273,-1.924730,1.801522,1.754609,1.871084,99.9979,0.0011,0.0011,2.03e-07
18,3,5,339.0282,335.5665,-1.986493,1.799438,1.752543,1.867058,99.9977,0.0012,0.0011,2.09e-07
19,3,5,344.4825,335.5665,-1.575612,1.801064,1.761991,1.822299,99.9977,0.0012,0.0011,2.16e-07
20,1,6,371.7624,365.1754,-1.743809,1.804996,1.760947,1.829901,99.9974,0.0014,0.0011,1.38e-07
21,2,6,384.8422,394.7842,-1.598885,1.800943,1.727784,1.808169,99.9976,0.0012,0.0012,1.48e-07
22,4,5,410.7765,404.6538,-1.820140,1.803008,1.767895,1.840809,99.9971,0.0014,0.0015,1.68e-07
23,4,5,420.4733,404.6538,-1.407890,1.802791,1.773669,1.833402,99.9970,0.0017,0.0013,1.76e-07
24,3,6,437.2833,444.1322,-1.811893,1.805081,1.762141,1.833143,99.9969,0.0016,0.0015,1.41e-07
25,3,6,449.6704,444.1322,-1.904142,1.803012,1.769066,1.827282,99.9968,0.0016,0.0016,9.19e-08
26,3,6,453.8397,444.1322,-1.660406,1.804414,1.774260,1.830248,99.9967,0.0019,0.0013,1.13e-07
27,1,7,487.8206,493.4802,-1.940481,1.810601,1.759579,1.799150,99.9965,0.0025,0.0010,1.12e-07
28,4,6,510.4645,513.2194,-2.270191,1.802854,1.758186,1.828283,99.9965,0.0020,0.0015,7.62e-08
29,2,7,531.6255,523.0890,-1.787295,1.806272,1.777512,1.794803,99.9960,0.0015,0.0025,8.57e-08
30,2,7,543.5871,523.0890,-1.406862,1.807122,1.769374,1.832307,99.9962,0.0017,0.0022,9.85e-08
31,3,7,561.0998,572.4371,-1.703221,1.811731,1.756973,1.747841,99.9960,0.0017,0.0024,8.55e-08
32,5,6,603.3934,602.0459,-2.650090,1.807673,1.784081,1.773880,99.9953,0.0020,0.0027,7.67e-08
33,1,8,649.5530,641.5243,-1.902569,1.809213,1.784617,1.790999,99.9948,0.0013,0.0039,5.19e-08
34,2,8,681.3310,671.1331,-1.818296,1.812587,1.700103,1.616744,99.9963,0.0017,0.0019,5.41e-08
35,6,6,695.8392,710.6115,-1.682184,1.804962,1.722779,1.644619,99.9959,0.0013,0.0028,5.60e-08
36,6,6,699.8634,710.6115,-1.820301,1.805085,1.731807,1.647212,99.9957,0.0027,0.0016,5.06e-08
37,5,7,737.8886,730.3507,-1.986283,1.808836,1.735837,1.659445,99.9954,0.0032,0.0013,3.75e-08
38,15,15,45632.7744,4441.3220,0.967295,1.779232,1.279457,0.233354,99.9967,0.0012,0.0021,8.98e-12
39,15,15,45753.9226,4441.3220,0.968570,1.779259,1.280919,0.237836,99.9967,0.0021,0.0013,8.36e-12
40,15,15,45929.8904,4441.3220,0.970416,1.779203,1.302409,0.187260,99.9963,0.0015,0.0022,1.26e-11
41,15,15,46033.6187,4441.3220,0.971501,1.778957,1.276434,0.140774,99.9967,0.0018,0.0015,7.09e-12
42,15,15,48808.3033,4441.3220,0.999548,1.779294,1.323856,0.223469,99.9959,0.0020,0.0021,9.24e-12
43,15,15,49147.6274,4441.3220,1.002857,1.779229,1.341142,0.263355,99.9956,0.0019,0.0025,7.19e-12
44,15,15,49243.4899,4441.3220,1.003787,1.779283,1.321520,0.280907,99.9960,0.0024,0.0016,1.27e-11
45,15,15,49711.8687,4441.3220,1.008303,1.779287,1.344370,0.284935,99.9955,0.0022,0.0023,5.69e-12
46,15,15,50983.1799,4441.3220,1.020331,1.778950,1.284340,0.181279,99.9966,0.0018,0.0015,4.04e-12
47,15,15,51244.3096,4441.3220,1.022761,1.779310,1.288869,0.182073,99.9965,0.0022,0.0013,7.89e-12
48,15,15,51383.3967,4441.3220,1.024050,1.779224,1.308676,0.248379,99.9962,0.0015,0.0023,6.85e-12
49,15,15,51562.3624,4441.3220,1.025703,1.779326,1.311542,0.241729,99.9962,0.0018,0.0020,7.07e-12
50,15,15,53783.5680,4441.3220,1.045707,1.779373,1.313788,0.227320,99.9961,0.0014,0.0025,7.10e-12
51,15,15,53924.4210,4441.3220,1.046945,1.779325,1.312205,0.228037,99.9961,0.0012,0.0027,5.39e-12
52,15,15,54061.4713,4441.3220,1.048146,1.778842,1.310723,0.225250,99.9962,0.0027,0.0012,4.14e-12
53,15,15,54308.0247,4441.3220,1.050298,1.779737,1.322211,0.232010,99.9960,0.0026,0.0015,8.93e-12
54,15,15,54626.4816,4441.3220,1.053063,1.779050,1.334320,0.217267,99.9957,0.0018,0.0024,4.36e-12
55,15,15,54720.8343,4441.3220,1.053879,1.779293,1.331048,0.194234,99.9958,0.0020,0.0022,7.56e-12
56,15,15,55242.7037,4441.3220,1.058363,1.779644,1.320744,0.243178,99.9960,0.0010,0.0030,4.77e-12
57,15,15,55462.9190,4441.3220,1.060242,1.779141,1.351007,0.183263,99.9954,0.0035,0.0011,4.55e-12
58,15,15,63842.2167,4441.3220,1.126281,1.779912,1.427757,0.259697,99.9934,0.0033,0.0032,4.40e-12
59,15,15,63865.0682,4441.3220,1.126448,1.779301,1.426559,0.265923,99.9935,0.0035,0.0031,5.90e-12
60,15,15,63887.1602,4441.3220,1.126609,1.779203,1.433411,0.263464,99.9933,0.0032,0.0035,6.83e-12
61,15,15,63918.3832,4441.3220,1.126837,1.779423,1.448054,0.275686,99.9928,0.0034,0.0038,2.75e-12
62,15,15,5632687.9909,4441.3220,3.102861,0.011348,3.518830,6.354420,0.0014,4.6296,95.3691,1.15e-13
63,15,15,5632784.3159,4441.3220,3.102868,0.006172,3.518825,6.354419,0.0011,95.3692,4.6297,1.89e-13
64,15,15,5753458.6659,4441.3220,3.112081,0.013691,3.518830,6.363642,0.0015,97.3958,2.6027,9.09e-14
