mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
1,1,2,58.6149,49.3480,-0.726338,1.801462,1.647934,99.9998,0.0001,0.0001,3.63e-06
2,2,2,87.1108,78.9568,-0.986020,1.801089,1.721108,99.9995,0.0003,0.0002,1.58e-06
3,1,3,102.8821,98.6960,-1.372494,1.801725,1.691482,99.9995,0.0002,0.0003,1.22e-06
4,2,3,121.4788,128.3049,-1.274073,1.801216,1.732316,99.9992,0.0004,0.0004,1.21e-06
5,2,3,135.3721,128.3049,-1.258994,1.801023,1.743800,99.9992,0.0003,0.0005,8.16e-07
6,2,3,139.1867,128.3049,-1.071541,1.800913,1.761700,99.9991,0.0005,0.0004,7.45e-07
7,1,4,170.0926,167.7833,-1.861265,1.798044,1.751505,99.9989,0.0006,0.0005,5.52e-07
8,3,3,177.8276,177.6529,-3.007162,1.800686,1.749205,99.9988,0.0004,0.0007,4.49e-07
9,2,4,197.7411,197.3921,-2.752440,1.800231,1.766210,99.9986,0.0008,0.0006,4.47e-07
10,2,4,208.1478,197.3921,-1.263692,1.801027,1.747688,99.9987,0.0006,0.0007,3.73e-07
11,2,4,215.1866,197.3921,-1.045044,1.804190,1.760770,99.9987,0.0005,0.0008,3.75e-07
12,3,4,230.9114,246.7401,-1.192794,1.801104,1.744839,99.9984,0.0011,0.0005,2.95e-07
13,1,5,252.6050,256.6097,-1.806700,1.801976,1.746620,99.9983,0.0007,0.0010,2.51e-07
14,1,5,262.1801,256.6097,-1.663385,1.799121,1.637116,99.9990,0.0004,0.0006,2.63e-07
15,1,5,270.0898,256.6097,-1.279582,1.802540,1.670462,99.9988,0.0006,0.0006,3.08e-07
16,2,5,280.9450,286.2185,-1.734593,1.801024,1.753395,99.9981,0.0009,0.0010,2.47e-07
17,2,5,283.5332,286.2185,-2.027693,1.803000,1.684998,99.9986,0.0006,0.0008,2.56e-07
18,2,5,285.2568,286.2185,-2.473649,1.800711,1.719593,99.9984,0.0007,0.0010,2.40e-07
19,2,5,294.9747,286.2185,-1.514383,1.800367,1.750753,99.9981,0.0011,0.0008,2.37e-07
20,4,4,301.6923,315.8273,-1.349153,1.800648,1.687758,99.9984,0.0008,0.0008,2.31e-07
21,4,4,312.8759,315.8273,-2.029419,1.799617,1.661302,99.9986,0.0008,0.0006,2.53e-07
22,3,5,327.2222,335.5665,-1.604386,1.802720,1.715582,99.9981,0.0010,0.0009,1.62e-07
23,3,5,335.8272,335.5665,-3.109761,1.803257,1.738709,99.9979,0.0011,0.0009,1.60e-07
24,3,5,347.0171,335.5665,-1.466953,1.801526,1.689044,99.9983,0.0008,0.0009,1.86e-07
25,1,6,351.4938,365.1754,-1.426366,1.803694,1.717531,99.9980,0.0008,0.0012,1.93e-07
26,1,6,363.4771,365.1754,-2.332495,1.803442,1.719211,99.9979,0.0009,0.0012,1.63e-07
27,1,6,371.5828,365.1754,-1.755820,1.803083,1.738744,99.9977,0.0014,0.0009,1.43e-07
28,2,6,384.9280,394.7842,-1.602650,1.800521,1.724671,99.9977,0.0010,0.0013,1.57e-07
29,2,6,393.7888,394.7842,-2.598353,1.803028,1.712921,99.9978,0.0012,0.0010,1.55e-07
30,2,6,399.2650,394.7842,-1.945001,1.801586,1.686093,99.9981,0.0008,0.0011,1.43e-07
31,4,5,409.2884,404.6538,-1.941067,1.801960,1.711267,99.9978,0.0013,0.0009,1.55e-07
32,4,5,411.5693,404.6538,-1.767262,1.800696,1.694723,99.9979,0.0010,0.0010,1.51e-07
33,4,5,421.4323,404.6538,-1.382331,1.799722,1.716529,99.9977,0.0007,0.0016,9.82e-08
34,3,6,428.3885,444.1322,-1.450406,1.802403,1.700534,99.9977,0.0013,0.0010,1.16e-07
35,3,6,434.1059,444.1322,-1.646373,1.802219,1.691148,99.9978,0.0010,0.0012,1.37e-07
36,3,6,441.7228,444.1322,-2.265601,1.801179,1.737378,99.9972,0.0010,0.0018,8.85e-08
37,3,6,446.2551,444.1322,-2.320580,1.802984,1.726977,99.9974,0.0014,0.0013,1.23e-07
38,3,6,451.7505,444.1322,-1.765652,1.800770,1.720247,99.9974,0.0011,0.0015,1.23e-07
39,3,6,462.8659,444.1322,-1.374889,1.800988,1.706261,99.9976,0.0016,0.0008,1.28e-07
40,3,6,466.9883,444.1322,-1.288511,1.804802,1.727218,99.9974,0.0010,0.0015,1.09e-07
41,1,7,479.5224,493.4802,-1.548452,1.799284,1.723780,99.9971,0.0013,0.0016,9.55e-08
42,1,7,480.4478,493.4802,-1.578244,1.801206,1.697179,99.9974,0.0016,0.0010,1.17e-07
43,1,7,489.9259,493.4802,-2.142513,1.799394,1.699805,99.9974,0.0012,0.0014,1.10e-07
44,4,6,505.6076,513.2194,-1.828811,1.800311,1.710437,99.9972,0.0016,0.0012,1.09e-07
45,4,6,508.6260,513.2194,-2.048170,1.801014,1.701268,99.9973,0.0018,0.0009,7.94e-08
46,4,6,510.6956,513.2194,-2.308249,1.803032,1.722323,99.9971,0.0012,0.0017,8.27e-08
47,4,6,515.4613,513.2194,-2.359701,1.801004,1.702583,99.9973,0.0013,0.0015,9.51e-08
