mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
1,1,2,51.6548,49.3480,-1.330259,1.801102,1.654288,99.9998,0.0001,0.0001,5.19e-06
2,2,2,81.4091,78.9568,-1.507819,1.801971,1.727502,99.9995,0.0001,0.0003,1.98e-06
3,2,2,82.3875,78.9568,-1.362016,1.801445,1.725545,99.9995,0.0004,0.0001,2.37e-06
4,2,3,118.8670,128.3049,-1.133368,1.800776,1.721906,99.9993,0.0004,0.0004,1.18e-06
5,2,3,127.2212,128.3049,-2.073347,1.802035,1.754818,99.9991,0.0004,0.0005,9.84e-07
6,2,3,135.7462,128.3049,-1.236591,1.802733,1.760561,99.9991,0.0005,0.0004,8.06e-07
7,1,4,165.0749,167.7833,-1.792037,1.800445,1.737012,99.9990,0.0005,0.0006,7.10e-07
8,1,4,172.3670,167.7833,-1.563531,1.800289,1.733069,99.9990,0.0005,0.0005,7.69e-07
9,3,3,184.2704,177.6529,-1.428876,1.801356,1.747354,99.9988,0.0003,0.0008,6.31e-07
10,2,4,193.4278,197.3921,-1.697165,1.801330,1.743613,99.9987,0.0009,0.0003,5.05e-07
11,2,4,205.3104,197.3921,-1.396695,1.797763,1.730708,99.9988,0.0003,0.0009,4.70e-07
12,2,4,218.1281,197.3921,-0.978603,1.802086,1.694882,99.9990,0.0006,0.0004,5.00e-07
13,2,4,219.8473,197.3921,-0.944012,1.799751,1.727580,99.9988,0.0007,0.0005,4.36e-07
14,3,4,225.8543,246.7401,-1.072388,1.801153,1.691433,99.9988,0.0005,0.0008,5.18e-07
15,3,4,235.6031,246.7401,-1.345470,1.799575,1.731487,99.9985,0.0008,0.0007,3.97e-07
16,3,4,237.1478,246.7401,-1.410315,1.801362,1.719998,99.9986,0.0007,0.0008,3.63e-07
17,3,4,248.6898,246.7401,-2.102275,1.800385,1.718270,99.9986,0.0007,0.0007,3.73e-07
18,1,5,263.0762,256.6097,-1.598602,1.801540,1.749027,99.9983,0.0011,0.0006,3.15e-07
19,1,5,267.9156,256.6097,-1.355967,1.802170,1.736356,99.9984,0.0007,0.0009,3.65e-07
20,2,5,275.5274,286.2185,-1.427672,1.804253,1.708178,99.9985,0.0006,0.0009,3.49e-07
