mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
1,1,4,157.9632,167.7833,-1.232635,1.801464,1.484115,99.9997,0.0002,0.0002,5.28e-07
2,2,4,190.0308,197.3921,-1.428377,1.801560,1.586908,99.9994,0.0003,0.0003,3.82e-07
3,2,4,204.6146,197.3921,-1.436642,1.800574,1.587976,99.9994,0.0003,0.0003,2.69e-07
4,3,4,228.0822,246.7401,-1.121378,1.800762,1.622998,99.9991,0.0004,0.0005,2.53e-07
5,3,4,234.2780,246.7401,-1.296648,1.801266,1.650371,99.9990,0.0002,0.0008,2.34e-07
6,3,4,239.8051,246.7401,-1.551195,1.801371,1.657486,99.9989,0.0008,0.0002,2.74e-07
7,1,5,269.6144,256.6097,-1.295173,1.800923,1.701083,99.9986,0.0008,0.0005,1.83e-07
8,2,5,277.6890,286.2185,-1.525775,1.800485,1.674340,99.9987,0.0005,0.0009,1.84e-07
9,2,5,299.1200,286.2185,-1.346058,1.800832,1.710657,99.9984,0.0012,0.0004,1.47e-07
10,4,4,313.7259,315.8273,-2.176934,1.801145,1.700022,99.9983,0.0006,0.0010,1.34e-07
11,3,5,333.4774,335.5665,-2.205801,1.800739,1.695105,99.9983,0.0007,0.0011,1.20e-07
12,3,5,340.0655,335.5665,-1.872665,1.801756,1.726297,99.9980,0.0007,0.0013,1.22e-07
13,1,6,356.6499,365.1754,-1.631783,1.801300,1.704283,99.9981,0.0011,0.0008,1.19e-07
14,1,6,372.2613,365.1754,-1.712103,1.800401,1.728969,99.9978,0.0007,0.0015,8.76e-08
15,2,6,387.3493,394.7842,-1.725086,1.800847,1.723869,99.9977,0.0009,0.0014,1.21e-07
16,2,6,391.0264,394.7842,-2.021431,1.801002,1.729588,99.9976,0.0014,0.0010,9.99e-08
17,2,6,398.9754,394.7842,-1.974022,1.800890,1.718912,99.9977,0.0017,0.0006,1.06e-07
18,4,5,414.5938,404.6538,-1.609698,1.801585,1.739966,99.9975,0.0008,0.0018,7.16e-08
19,4,5,419.6468,404.6538,-1.431195,1.800380,1.745540,99.9974,0.0018,0.0008,8.86e-08
20,3,6,445.6842,444.1322,-2.456621,1.800605,1.703881,99.9976,0.0012,0.0012,8.33e-08
21,3,6,461.4303,444.1322,-1.409513,1.802541,1.751654,99.9971,0.0008,0.0021,6.83e-08
22,1,7,470.5734,493.4802,-1.333305,1.800116,1.716605,99.9972,0.0014,0.0014,7.27e-08
23,1,7,485.1778,493.4802,-1.774067,1.800984,1.694217,99.9975,0.0011,0.0014,6.52e-08
24,1,7,491.5913,493.4802,-2.417068,1.801203,1.723950,99.9971,0.0015,0.0013,9.61e-08
25,1,7,502.0630,493.4802,-1.759642,1.801054,1.727209,99.9971,0.0017,0.0013,5.55e-08
26,4,6,511.5065,513.2194,-2.476562,1.800082,1.729617,99.9969,0.0017,0.0014,7.09e-08
27,2,7,518.2688,523.0890,-2.035509,1.799839,1.707189,99.9971,0.0014,0.0014,7.51e-08
28,2,7,524.3622,523.0890,-2.613702,1.801939,1.711131,99.9971,0.0017,0.0012,5.72e-08
29,2,7,543.3455,523.0890,-1.412012,1.801035,1.735048,99.9968,0.0016,0.0017,7.25e-08
30,3,7,553.2664,572.4371,-1.475091,1.800298,1.695629,99.9970,0.0013,0.0017,5.47e-08
31,3,7,558.0490,572.4371,-1.599727,1.800946,1.733067,99.9965,0.0023,0.0012,6.18e-08
32,3,7,575.8416,572.4371,-2.225667,1.801063,1.732448,99.9965,0.0018,0.0016,5.50e-08
33,3,7,579.1064,572.4371,-1.933645,1.800297,1.691636,99.9971,0.0013,0.0016,6.43e-08
34,3,7,583.5766,572.4371,-1.710859,1.800279,1.723431,99.9966,0.0020,0.0014,6.26e-08
35,5,6,588.9960,602.0459,-1.664025,1.800446,1.680148,99.9971,0.0014,0.0015,6.09e-08
36,5,6,597.7318,602.0459,-2.144745,1.801462,1.715453,99.9966,0.0014,0.0020,4.79e-08
37,5,6,615.0976,602.0459,-1.663961,1.803122,1.684553,99.9971,0.0015,0.0014,6.79e-08
38,1,8,622.7136,641.5243,-1.532809,1.800204,1.723381,99.9962,0.0020,0.0017,4.23e-08
