mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
1,1,4,157.9524,167.7833,-1.232156,1.800713,1.478893,99.9997,0.0002,0.0002,4.21e-07
2,2,4,190.9444,197.3921,-1.485924,1.800584,1.584258,99.9994,0.0003,0.0003,3.59e-07
3,2,4,203.8252,197.3921,-1.486908,1.801612,1.588470,99.9994,0.0003,0.0003,2.60e-07
4,3,4,228.6966,246.7401,-1.135918,1.801372,1.622750,99.9991,0.0004,0.0005,2.84e-07
5,3,4,234.4875,246.7401,-1.304011,1.800845,1.648586,99.9990,0.0003,0.0008,2.19e-07
6,3,4,239.5352,246.7401,-1.534609,1.800810,1.656370,99.9989,0.0008,0.0002,3.44e-07
7,1,5,269.3409,256.6097,-1.304405,1.801190,1.698979,99.9987,0.0008,0.0005,1.91e-07
8,2,5,279.1055,286.2185,-1.604645,1.801680,1.675682,99.9987,0.0005,0.0009,1.78e-07
9,2,5,298.7183,286.2185,-1.359796,1.800799,1.708058,99.9984,0.0012,0.0004,1.44e-07
10,4,4,314.3050,315.8273,-2.316936,1.801012,1.699327,99.9984,0.0006,0.0010,1.54e-07
11,3,5,333.6764,335.5665,-2.249273,1.801449,1.695243,99.9983,0.0007,0.0010,1.15e-07
12,3,5,341.2044,335.5665,-1.774665,1.800408,1.723063,99.9980,0.0007,0.0013,1.32e-07
13,1,6,357.2076,365.1754,-1.661163,1.801275,1.702852,99.9981,0.0011,0.0008,1.27e-07
14,1,6,372.7056,365.1754,-1.685693,1.801697,1.727713,99.9978,0.0006,0.0015,8.69e-08
15,2,6,387.8123,394.7842,-1.753009,1.800824,1.721650,99.9977,0.0010,0.0013,1.23e-07
16,2,6,391.0417,394.7842,-2.023200,1.801130,1.727985,99.9977,0.0013,0.0011,9.98e-08
17,2,6,398.3937,394.7842,-2.038912,1.800912,1.717792,99.9978,0.0017,0.0005,1.13e-07
18,4,5,414.4321,404.6538,-1.616819,1.800889,1.731759,99.9975,0.0010,0.0015,7.24e-08
19,4,5,420.0380,404.6538,-1.420007,1.801892,1.748603,99.9974,0.0016,0.0010,1.07e-07
20,3,6,441.6425,444.1322,-2.251368,1.801502,1.674772,99.9979,0.0009,0.0011,9.52e-08
21,3,6,459.3177,444.1322,-1.466082,1.802515,1.748890,99.9971,0.0009,0.0020,7.88e-08
22,3,6,468.7210,444.1322,-1.256774,1.802298,1.717110,99.9975,0.0013,0.0012,7.63e-08
23,1,7,480.5853,493.4802,-1.582852,1.801471,1.687230,99.9976,0.0010,0.0014,8.08e-08
24,1,7,488.6608,493.4802,-2.010278,1.801123,1.731537,99.9970,0.0015,0.0015,7.50e-08
25,1,7,500.8721,493.4802,-1.824517,1.801030,1.719974,99.9972,0.0015,0.0013,5.98e-08
26,4,6,508.7411,513.2194,-2.059184,1.801919,1.723876,99.9970,0.0018,0.0012,8.09e-08
27,2,7,518.4601,523.0890,-2.053099,1.799906,1.697334,99.9973,0.0015,0.0012,6.73e-08
28,2,7,519.0285,523.0890,-2.109994,1.801842,1.722111,99.9970,0.0015,0.0015,6.53e-08
29,2,7,542.0932,523.0890,-1.439727,1.801199,1.733657,99.9968,0.0016,0.0016,6.53e-08
30,3,7,549.4103,572.4371,-1.395495,1.801701,1.696241,99.9971,0.0013,0.0016,6.08e-08
31,3,7,557.7523,572.4371,-1.590860,1.801228,1.728260,99.9966,0.0023,0.0011,6.42e-08
32,3,7,570.3136,572.4371,-2.430693,1.800289,1.658075,99.9975,0.0011,0.0014,6.12e-08
33,3,7,574.5971,572.4371,-2.423264,1.801115,1.716192,99.9968,0.0016,0.0016,5.81e-08
34,3,7,579.5662,572.4371,-1.904689,1.800538,1.714388,99.9968,0.0020,0.0012,6.42e-08
35,3,7,583.2735,572.4371,-1.722842,1.800214,1.689556,99.9971,0.0013,0.0015,5.79e-08
36,5,6,593.5480,602.0459,-1.850319,1.800701,1.711291,99.9967,0.0013,0.0020,5.12e-08
37,5,6,604.4529,602.0459,-2.398155,1.799071,1.677836,99.9971,0.0014,0.0015,6.23e-08
38,5,6,619.1218,602.0459,-1.547245,1.801535,1.718811,99.9966,0.0018,0.0017,4.64e-08
39,1,8,633.8809,641.5243,-1.923925,1.801144,1.681130,99.9969,0.0019,0.0012,5.76e-08
40,1,8,637.2588,641.5243,-2.177246,1.801775,1.682264,99.9969,0.0017,0.0014,5.35e-08
41,1,8,644.0016,641.5243,-2.413227,1.802256,1.704803,99.9966,0.0019,0.0015,5.28e-08
42,1,8,651.8898,641.5243,-1.791624,1.801658,1.722235,99.9963,0.0016,0.0021,4.66e-08
43,2,8,660.5208,671.1331,-1.800999,1.801508,1.718455,99.9962,0.0018,0.0020,4.72e-08
44,2,8,667.5456,671.1331,-2.272014,1.800709,1.689432,99.9966,0.0018,0.0016,4.02e-08
45,2,8,680.1129,671.1331,-1.873544,1.801073,1.693082,99.9966,0.0017,0.0017,5.54e-08
46,2,8,687.1352,671.1331,-1.622631,1.801526,1.720360,99.9962,0.0015,0.0024,3.94e-08
47,6,6,695.8884,710.6115,-1.683633,1.801283,1.715119,99.9960,0.0015,0.0025,4.53e-08
48,6,6,702.6735,710.6115,-1.951921,1.800650,1.693669,99.9964,0.0019,0.0018,4.23e-08
49,6,6,707.1160,710.6115,-2.308126,1.800387,1.701504,99.9962,0.0024,0.0014,4.80e-08
50,3,8,719.0185,720.4811,-2.692493,1.800151,1.671490,99.9967,0.0018,0.0015,4.43e-08
51,5,7,726.4597,730.3507,-2.273472,1.801334,1.732910,99.9956,0.0029,0.0015,3.57e-08
52,5,7,730.5521,730.3507,-3.559494,1.800274,1.730041,99.9956,0.0020,0.0024,3.53e-08
53,5,7,742.8842,730.3507,-1.765461,1.801469,1.710101,99.9960,0.0020,0.0020,4.32e-08
54,5,7,754.8747,730.3507,-1.473941,1.800429,1.724993,99.9957,0.0016,0.0027,3.43e-08
55,4,8,761.4149,789.5684,-1.447858,1.801998,1.669626,99.9964,0.0015,0.0021,4.02e-08
56,4,8,767.5075,789.5684,-1.553767,1.800535,1.694026,99.9960,0.0021,0.0020,3.36e-08
57,4,8,774.0122,789.5684,-1.705488,1.801313,1.701543,99.9958,0.0027,0.0014,3.54e-08
58,4,8,779.9281,789.5684,-1.913301,1.800283,1.681051,99.9962,0.0016,0.0022,3.80e-08
59,4,8,788.2598,789.5684,-2.780588,1.800864,1.678044,99.9963,0.0021,0.0017,3.84e-08
60,1,9,804.2117,809.3076,-2.200896,1.800562,1.715895,99.9954,0.0021,0.0024,3.17e-08
61,1,9,814.8179,809.3076,-2.166937,1.801902,1.701767,99.9958,0.0024,0.0018,3.71e-08
62,1,9,823.4201,809.3076,-1.758509,1.800910,1.726601,99.9952,0.0028,0.0020,2.87e-08
63,2,9,825.3473,838.9164,-1.791170,1.801337,1.661988,99.9963,0.0019,0.0018,3.93e-08
64,2,9,837.6087,838.9164,-2.807222,1.801104,1.696024,99.9957,0.0022,0.0021,3.37e-08
65,2,9,841.1258,838.9164,-2.579445,1.801720,1.734770,99.9949,0.0018,0.0033,2.73e-08
66,2,9,846.6856,838.9164,-2.033342,1.801815,1.705241,99.9955,0.0025,0.0020,3.42e-08
67,2,9,850.8096,838.9164,-1.848417,1.803295,1.717769,99.9953,0.0018,0.0029,3.19e-08
68,5,8,861.0588,878.3948,-1.704740,1.801011,1.685226,99.9957,0.0023,0.0020,2.73e-08
69,5,8,871.6080,878.3948,-2.112023,1.802130,1.722365,99.9949,0.0024,0.0027,2.82e-08
70,5,8,874.8424,878.3948,-2.393174,1.800189,1.707326,99.9952,0.0017,0.0030,2.69e-08
71,3,9,888.3021,888.2644,-4.372074,1.800586,1.731358,99.9946,0.0032,0.0022,2.63e-08
72,3,9,892.1793,888.2644,-2.355823,1.802299,1.705182,99.9953,0.0019,0.0028,2.91e-08
73,3,9,896.8373,888.2644,-2.015415,1.801437,1.712074,99.9951,0.0027,0.0022,2.78e-08
74,3,9,908.7848,888.2644,-1.636356,1.800521,1.706012,99.9952,0.0027,0.0021,2.63e-08
75,3,9,916.0863,888.2644,-1.504156,1.800549,1.711745,99.9951,0.0023,0.0026,2.83e-08
76,3,9,922.2148,888.2644,-1.417697,1.801770,1.732344,99.9946,0.0031,0.0023,2.58e-08
77,4,9,926.9904,957.3516,-1.498753,1.801354,1.679584,99.9955,0.0027,0.0018,2.84e-08
78,4,9,938.5191,957.3516,-1.706163,1.801253,1.701559,99.9950,0.0030,0.0021,2.54e-08
79,4,9,942.7944,957.3516,-1.817992,1.801465,1.712733,99.9947,0.0027,0.0026,2.53e-08
80,4,9,946.4066,957.3516,-1.941856,1.800403,1.682236,99.9954,0.0022,0.0025,3.05e-08
81,4,9,956.0482,957.3516,-2.865993,1.801646,1.724462,99.9944,0.0027,0.0029,2.49e-08
82,4,9,961.1092,957.3516,-2.406167,1.800254,1.730310,99.9942,0.0028,0.0030,2.36e-08
83,7,7,971.1341,967.2212,-2.393029,1.801524,1.722566,99.9944,0.0030,0.0026,2.48e-08
84,6,8,979.3757,986.9604,-2.114359,1.800206,1.704623,99.9947,0.0027,0.0026,2.31e-08
85,6,8,985.5939,986.9604,-2.858662,1.799882,1.695229,99.9949,0.0031,0.0020,2.31e-08
86,1,10,995.9579,996.8300,-3.058057,1.799649,1.707180,99.9946,0.0029,0.0026,2.28e-08
87,1,10,1001.9819,996.8300,-2.286655,1.800735,1.706237,99.9946,0.0028,0.0026,2.43e-08
88,1,10,1010.8786,996.8300,-1.850990,1.801032,1.719196,99.9943,0.0027,0.0029,2.30e-08
89,2,10,1018.1927,1026.4389,-2.095079,1.802183,1.715657,99.9943,0.0025,0.0032,2.18e-08
90,2,10,1025.3308,1026.4389,-2.966765,1.801083,1.728235,99.9939,0.0023,0.0038,2.06e-08
91,2,10,1029.7781,1026.4389,-2.487680,1.799558,1.716705,99.9942,0.0027,0.0032,2.14e-08
92,5,9,1036.6452,1046.1781,-2.040384,1.800628,1.698617,99.9946,0.0031,0.0024,2.24e-08
93,5,9,1040.9588,1046.1781,-2.301995,1.802150,1.741297,99.9934,0.0038,0.0028,1.61e-08
94,5,9,1047.6101,1046.1781,-2.863643,1.802196,1.718969,99.9941,0.0028,0.0031,2.21e-08
95,5,9,1057.5747,1046.1781,-1.962830,1.801513,1.715883,99.9941,0.0034,0.0025,2.18e-08
96,3,10,1061.4827,1075.7869,-1.876263,1.800632,1.690916,99.9946,0.0022,0.0032,1.95e-08
97,3,10,1069.5867,1075.7869,-2.239324,1.801510,1.706836,99.9942,0.0032,0.0026,2.27e-08
98,3,10,1074.0752,1075.7869,-2.798299,1.800634,1.716180,99.9939,0.0038,0.0022,2.15e-08
99,3,10,1080.7440,1075.7869,-2.336498,1.799994,1.696249,99.9944,0.0025,0.0030,2.18e-08
100,3,10,1088.6291,1075.7869,-1.923087,1.800355,1.716069,99.9939,0.0039,0.0021,2.00e-08
101,7,8,1102.8359,1115.2653,-1.952929,1.800332,1.722932,99.9935,0.0035,0.0030,1.73e-08
102,7,8,1105.7631,1115.2653,-2.069555,1.800670,1.698852,99.9942,0.0026,0.0032,1.94e-08
103,7,8,1109.3216,1115.2653,-2.273318,1.800655,1.675803,99.9948,0.0027,0.0025,2.49e-08
104,7,8,1122.7921,1115.2653,-2.170766,1.801850,1.728924,99.9934,0.0031,0.0035,1.73e-08
105,7,8,1126.3542,1115.2653,-2.002489,1.800569,1.724749,99.9934,0.0026,0.0039,2.01e-08
106,4,10,1131.8685,1144.8741,-1.944627,1.801186,1.692040,99.9942,0.0033,0.0025,2.01e-08
107,4,10,1138.0176,1144.8741,-2.222654,1.800262,1.718040,99.9935,0.0033,0.0032,1.84e-08
108,4,10,1140.2082,1144.8741,-2.389826,1.800668,1.708438,99.9938,0.0031,0.0031,1.80e-08
109,4,10,1143.6758,1144.8741,-2.980205,1.799870,1.688253,99.9943,0.0026,0.0031,2.16e-08
110,6,9,1153.8524,1154.7437,-3.112439,1.801087,1.700168,99.9940,0.0033,0.0028,1.88e-08
111,6,9,1160.9140,1154.7437,-2.272184,1.800708,1.691048,99.9942,0.0034,0.0024,1.93e-08
112,6,9,1168.2648,1154.7437,-1.931473,1.802201,1.735358,99.9929,0.0038,0.0033,1.61e-08
113,6,9,1170.9244,1154.7437,-1.853489,1.801136,1.699452,99.9940,0.0032,0.0028,2.02e-08
114,6,9,1174.2306,1154.7437,-1.772742,1.799498,1.713953,99.9935,0.0034,0.0032,1.83e-08
115,1,11,1182.2748,1204.0917,-1.741866,1.801907,1.700149,99.9937,0.0037,0.0026,1.58e-08
116,1,11,1193.9799,1204.0917,-2.075831,1.801312,1.716862,99.9932,0.0030,0.0038,1.77e-08
117,1,11,1197.3211,1204.0917,-2.250033,1.801325,1.722053,99.9930,0.0039,0.0030,1.63e-08
118,1,11,1201.4600,1204.0917,-2.660425,1.799785,1.696652,99.9937,0.0028,0.0035,1.91e-08
119,1,11,1206.3199,1204.0917,-2.732718,1.801768,1.710466,99.9934,0.0030,0.0036,1.59e-08
120,1,11,1211.9571,1204.0917,-2.184941,1.801680,1.716095,99.9932,0.0036,0.0032,1.76e-08
121,2,11,1222.6806,1233.7006,-2.049031,1.801147,1.711011,99.9932,0.0036,0.0032,1.71e-08
122,2,11,1224.9151,1233.7006,-2.147447,1.799767,1.712309,99.9931,0.0035,0.0034,1.60e-08
123,2,11,1235.6490,1233.7006,-2.801525,1.801784,1.717412,99.9930,0.0028,0.0042,1.46e-08
124,2,11,1240.3025,1233.7006,-2.271536,1.802613,1.694721,99.9938,0.0031,0.0031,1.74e-08
125,2,11,1244.6126,1233.7006,-2.053305,1.801923,1.714823,99.9931,0.0030,0.0039,1.61e-08
126,8,8,1252.5171,1263.3094,-2.068398,1.800122,1.710810,99.9930,0.0037,0.0033,1.92e-08
127,8,8,1256.7386,1263.3094,-2.283895,1.800524,1.698875,99.9934,0.0034,0.0032,1.71e-08
128,8,8,1271.3389,1263.3094,-2.196817,1.800279,1.708695,99.9931,0.0031,0.0038,1.87e-08
129,3,11,1281.5413,1283.0486,-2.930046,1.800834,1.711762,99.9929,0.0029,0.0042,1.35e-08
130,3,11,1287.6263,1283.0486,-2.447593,1.799895,1.730310,99.9922,0.0036,0.0041,1.48e-08
131,3,11,1296.5840,1283.0486,-1.976771,1.802355,1.713474,99.9929,0.0035,0.0036,1.67e-08
132,3,11,1298.0200,1283.0486,-1.932979,1.801387,1.723819,99.9925,0.0037,0.0038,1.32e-08
133,3,11,1300.9112,1283.0486,-1.856299,1.801632,1.712548,99.9929,0.0039,0.0032,1.61e-08
134,3,11,1304.8899,1283.0486,-1.768964,1.802332,1.729994,99.9923,0.0040,0.0037,1.33e-08
135,6,10,1313.4618,1342.2662,-1.668380,1.801859,1.710605,99.9927,0.0034,0.0040,1.60e-08
136,6,10,1320.3025,1342.2662,-1.786133,1.800998,1.715493,99.9925,0.0039,0.0036,1.71e-08
137,6,10,1329.6008,1342.2662,-2.025219,1.801728,1.697461,99.9931,0.0036,0.0033,1.60e-08
138,6,10,1332.0145,1342.2662,-2.117043,1.800073,1.722555,99.9922,0.0035,0.0043,1.42e-08
139,6,10,1338.0926,1342.2662,-2.507329,1.800954,1.712334,99.9926,0.0036,0.0038,1.24e-08
140,6,10,1344.8366,1342.2662,-2.717837,1.800846,1.719547,99.9923,0.0038,0.0039,1.59e-08
141,4,11,1348.7130,1352.1358,-2.596635,1.799892,1.718281,99.9922,0.0029,0.0049,1.45e-08
142,4,11,1360.4128,1352.1358,-2.213150,1.802421,1.713091,99.9925,0.0037,0.0037,1.50e-08
143,4,11,1368.3129,1352.1358,-1.922120,1.801407,1.732879,99.9918,0.0041,0.0041,1.31e-08
144,4,11,1369.7608,1352.1358,-1.884892,1.801516,1.708495,99.9927,0.0033,0.0041,1.43e-08
145,4,11,1373.2831,1352.1358,-1.805765,1.800974,1.733510,99.9917,0.0043,0.0039,1.26e-08
146,4,11,1385.4786,1352.1358,-1.608018,1.800678,1.727355,99.9919,0.0042,0.0038,1.36e-08
147,1,12,1395.2985,1431.0926,-1.601856,1.801456,1.717286,99.9919,0.0040,0.0041,1.35e-08
148,1,12,1399.0881,1431.0926,-1.650456,1.800897,1.715101,99.9920,0.0035,0.0046,1.17e-08
149,1,12,1411.8754,1431.0926,-1.871977,1.800553,1.725318,99.9915,0.0038,0.0046,1.35e-08
150,1,12,1418.4173,1431.0926,-2.052708,1.801120,1.724574,99.9916,0.0040,0.0044,1.36e-08
151,1,12,1422.6789,1431.0926,-2.230677,1.802080,1.719188,99.9919,0.0039,0.0042,9.87e-09
152,1,12,1433.6735,1431.0926,-2.743905,1.802162,1.734601,99.9913,0.0044,0.0044,1.08e-08
153,1,12,1435.5204,1431.0926,-2.509480,1.801621,1.721950,99.9917,0.0042,0.0041,1.23e-08
154,5,11,1450.3310,1440.9622,-2.186971,1.800089,1.729885,99.9913,0.0049,0.0038,1.11e-08
155,2,12,1454.8962,1460.7015,-2.400738,1.801148,1.717820,99.9917,0.0043,0.0041,1.30e-08
156,2,12,1465.0755,1460.7015,-2.523676,1.800795,1.727550,99.9913,0.0048,0.0040,1.30e-08
157,7,10,1471.3919,1470.5711,-3.253199,1.801518,1.728236,99.9912,0.0050,0.0038,1.17e-08
158,7,10,1475.7437,1470.5711,-2.453771,1.801873,1.714427,99.9918,0.0045,0.0038,1.28e-08
159,7,10,1482.9166,1470.5711,-2.075975,1.801062,1.732068,99.9911,0.0048,0.0042,1.21e-08
160,3,12,1491.1486,1510.0495,-1.902509,1.800865,1.728334,99.9910,0.0046,0.0045,1.24e-08
161,3,12,1491.8673,1510.0495,-1.919346,1.801597,1.727632,99.9911,0.0039,0.0051,1.11e-08
162,3,12,1502.7753,1510.0495,-2.317209,1.802021,1.726393,99.9911,0.0042,0.0046,1.12e-08
163,3,12,1506.5566,1510.0495,-2.635809,1.800563,1.731767,99.9908,0.0047,0.0045,1.08e-08
164,3,12,1517.1004,1510.0495,-2.330747,1.800186,1.717453,99.9914,0.0043,0.0043,1.05e-08
165,3,12,1523.7325,1510.0495,-2.042808,1.800407,1.735354,99.9907,0.0053,0.0040,1.02e-08
166,6,11,1532.6411,1549.5279,-1.962652,1.801190,1.729928,99.9907,0.0044,0.0049,1.25e-08
167,6,11,1537.5800,1549.5279,-2.112907,1.801582,1.732455,99.9906,0.0045,0.0049,1.16e-08
168,6,11,1541.9523,1549.5279,-2.310784,1.799652,1.735272,99.9904,0.0043,0.0053,1.05e-08
169,6,11,1544.8366,1549.5279,-2.518906,1.801309,1.736102,99.9905,0.0052,0.0044,1.04e-08
170,6,11,1550.9488,1549.5279,-3.037627,1.801642,1.723940,99.9910,0.0040,0.0050,1.19e-08
