mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
1,3,3,185.8015,177.6529,-1.338489,1.801347,1.487851,99.9997,0.0002,0.0002,3.16e-07
2,2,4,203.5489,197.3921,-1.505975,1.800932,1.606812,99.9993,0.0003,0.0003,3.38e-07
3,2,4,218.7394,197.3921,-0.965986,1.801076,1.593089,99.9994,0.0003,0.0003,2.62e-07
4,3,4,234.9579,246.7401,-1.321014,1.800609,1.597185,99.9992,0.0004,0.0004,2.54e-07
5,1,5,253.2604,256.6097,-1.884318,1.801378,1.634379,99.9990,0.0008,0.0002,1.98e-07
6,1,5,261.1377,256.6097,-1.753364,1.800706,1.668816,99.9988,0.0005,0.0007,2.32e-07
7,1,5,266.8421,256.6097,-1.399298,1.801359,1.651458,99.9989,0.0004,0.0006,1.89e-07
8,2,5,294.3514,286.2185,-1.546456,1.800717,1.678451,99.9986,0.0006,0.0007,1.57e-07
9,4,4,317.1488,315.8273,-2.378384,1.800289,1.696338,99.9984,0.0004,0.0012,1.54e-07
10,3,5,335.0855,335.5665,-2.843562,1.800838,1.695996,99.9983,0.0007,0.0010,1.38e-07
11,3,5,344.4154,335.5665,-1.578890,1.801704,1.686420,99.9984,0.0012,0.0004,1.31e-07
12,1,6,352.7039,365.1754,-1.466583,1.801434,1.690529,99.9982,0.0009,0.0009,1.27e-07
13,2,6,387.6441,394.7842,-1.742655,1.800789,1.698040,99.9979,0.0007,0.0014,9.25e-08
14,2,6,392.7901,394.7842,-2.296608,1.801374,1.721437,99.9977,0.0010,0.0013,1.09e-07
15,2,6,399.1840,394.7842,-1.952927,1.801043,1.712984,99.9978,0.0011,0.0011,1.02e-07
16,4,5,418.2081,404.6538,-1.475006,1.800525,1.717916,99.9977,0.0008,0.0015,8.40e-08
17,3,6,433.2325,444.1322,-1.610099,1.800800,1.716598,99.9975,0.0016,0.0009,8.97e-08
18,3,6,444.3390,444.1322,-3.331988,1.801370,1.716373,99.9975,0.0016,0.0009,7.96e-08
19,3,6,458.3154,444.1322,-1.495739,1.800780,1.718858,99.9975,0.0011,0.0015,6.97e-08
20,3,6,468.0905,444.1322,-1.268056,1.801798,1.740110,99.9972,0.0014,0.0014,7.44e-08
21,1,7,491.5350,493.4802,-2.404306,1.802253,1.724047,99.9971,0.0011,0.0018,6.14e-08
22,4,6,513.3144,513.2194,-3.732613,1.800785,1.734917,99.9968,0.0018,0.0013,6.47e-08
23,2,7,521.7023,523.0890,-2.576595,1.801343,1.727166,99.9969,0.0011,0.0020,5.57e-08
24,2,7,535.1449,523.0890,-1.637377,1.800859,1.737215,99.9967,0.0018,0.0014,6.40e-08
25,2,7,542.2654,523.0890,-1.435810,1.801217,1.748299,99.9966,0.0013,0.0021,6.34e-08
26,3,7,550.4096,572.4371,-1.414763,1.801690,1.714954,99.9968,0.0018,0.0013,5.35e-08
27,3,7,560.2819,572.4371,-1.672968,1.800857,1.723993,99.9967,0.0022,0.0011,5.39e-08
28,3,7,572.6555,572.4371,-3.418482,1.801228,1.730082,99.9966,0.0013,0.0022,4.80e-08
29,5,6,587.5549,602.0459,-1.618533,1.800450,1.713839,99.9966,0.0016,0.0017,5.65e-08
30,5,6,604.1217,602.0459,-2.462429,1.800024,1.724892,99.9964,0.0021,0.0015,4.35e-08
31,5,6,613.1734,602.0459,-1.733229,1.800826,1.751698,99.9960,0.0019,0.0021,5.02e-08
32,1,8,624.5864,641.5243,-1.578354,1.801328,1.697417,99.9967,0.0017,0.0017,5.28e-08
33,1,8,639.5760,641.5243,-2.517570,1.801757,1.739115,99.9960,0.0026,0.0014,4.98e-08
34,1,8,652.8589,641.5243,-1.752807,1.801325,1.738389,99.9960,0.0018,0.0022,5.05e-08
35,2,8,656.4044,671.1331,-1.658645,1.800845,1.677840,99.9968,0.0016,0.0016,4.42e-08
36,2,8,662.0261,671.1331,-1.867433,1.801186,1.722505,99.9961,0.0012,0.0027,5.09e-08
37,2,8,680.6748,671.1331,-1.847182,1.800785,1.729413,99.9960,0.0018,0.0022,3.87e-08
38,2,8,686.3474,671.1331,-1.644556,1.799917,1.694110,99.9966,0.0022,0.0012,5.33e-08
39,2,8,688.5164,671.1331,-1.586676,1.801014,1.695338,99.9966,0.0019,0.0015,4.16e-08
40,6,6,704.8595,710.6115,-2.091809,1.801514,1.729422,99.9958,0.0016,0.0026,3.64e-08
41,3,8,718.5548,720.4811,-2.572891,1.800661,1.740972,99.9954,0.0033,0.0013,4.13e-08
42,3,8,721.5761,720.4811,-2.818222,1.800501,1.639962,99.9971,0.0013,0.0015,4.70e-08
43,5,7,734.1303,730.3507,-2.286088,1.800936,1.734191,99.9955,0.0022,0.0023,3.57e-08
44,5,7,748.1982,730.3507,-1.611955,1.801085,1.673594,99.9966,0.0018,0.0015,3.22e-08
45,5,7,756.0615,730.3507,-1.453417,1.800248,1.715966,99.9959,0.0023,0.0018,4.01e-08
46,4,8,766.2108,789.5684,-1.528962,1.800992,1.707486,99.9957,0.0016,0.0027,3.37e-08
47,4,8,779.7451,789.5684,-1.905136,1.800954,1.708836,99.9957,0.0025,0.0018,3.39e-08
48,4,8,789.2410,789.5684,-3.382426,1.800957,1.718218,99.9955,0.0016,0.0029,3.50e-08
49,4,8,798.2533,789.5684,-1.958623,1.801539,1.686972,99.9961,0.0017,0.0021,3.78e-08
50,1,9,801.3529,809.3076,-2.007491,1.801385,1.714082,99.9955,0.0020,0.0025,3.64e-08
51,1,9,809.1336,809.3076,-3.667667,1.801753,1.729565,99.9952,0.0023,0.0025,3.01e-08
52,2,9,824.5926,838.9164,-1.767661,1.801328,1.690002,99.9958,0.0020,0.0022,3.29e-08
53,2,9,835.9748,838.9164,-2.455135,1.800292,1.703817,99.9955,0.0021,0.0023,3.29e-08
54,2,9,841.6971,838.9164,-2.479557,1.799484,1.695360,99.9957,0.0020,0.0024,3.33e-08
55,2,9,848.3768,838.9164,-1.947808,1.801449,1.717177,99.9953,0.0025,0.0022,3.30e-08
56,2,9,852.2905,838.9164,-1.797452,1.800240,1.688774,99.9958,0.0019,0.0023,2.15e-08
57,2,9,858.4316,838.9164,-1.633346,1.801459,1.674860,99.9961,0.0021,0.0018,3.39e-08
58,5,8,865.8033,878.3948,-1.843611,1.801178,1.713529,99.9951,0.0028,0.0021,2.72e-08
59,5,8,877.0581,878.3948,-2.817671,1.801006,1.694133,99.9955,0.0020,0.0025,3.08e-08
60,3,9,888.4551,888.2644,-3.668187,1.800772,1.685876,99.9956,0.0029,0.0015,3.43e-08
61,3,9,899.4633,888.2644,-1.899367,1.801282,1.715512,99.9950,0.0025,0.0024,2.91e-08
62,3,9,907.6834,888.2644,-1.660315,1.800829,1.704863,99.9952,0.0026,0.0022,2.91e-08
63,3,9,908.7628,888.2644,-1.636821,1.802223,1.734092,99.9946,0.0029,0.0025,2.44e-08
64,3,9,912.1872,888.2644,-1.569730,1.800835,1.682729,99.9957,0.0022,0.0021,3.25e-08
65,4,9,924.9216,957.3516,-1.470124,1.800956,1.691997,99.9952,0.0020,0.0028,2.74e-08
66,4,9,930.1983,957.3516,-1.547249,1.800627,1.701963,99.9949,0.0031,0.0019,2.85e-08
67,4,9,940.2591,957.3516,-1.748265,1.801148,1.680817,99.9954,0.0024,0.0022,2.69e-08
68,4,9,951.2032,957.3516,-2.192306,1.800301,1.708084,99.9948,0.0023,0.0029,2.95e-08
69,4,9,955.8323,957.3516,-2.799415,1.800896,1.685146,99.9953,0.0024,0.0023,2.56e-08
70,7,7,963.0960,967.2212,-2.370074,1.800833,1.678408,99.9954,0.0027,0.0019,2.52e-08
71,7,7,965.1455,967.2212,-2.668363,1.802274,1.714764,99.9946,0.0028,0.0026,2.67e-08
72,7,7,971.3646,967.2212,-2.368176,1.801088,1.689823,99.9952,0.0026,0.0022,2.61e-08
73,6,8,977.1412,986.9604,-2.002220,1.801850,1.674062,99.9954,0.0021,0.0025,2.75e-08
74,1,10,997.6849,996.8300,-3.066716,1.801027,1.695091,99.9949,0.0029,0.0022,2.02e-08
75,1,10,999.0689,996.8300,-2.648604,1.801580,1.688567,99.9951,0.0028,0.0021,2.64e-08
76,1,10,1008.1667,996.8300,-1.944137,1.800261,1.688552,99.9950,0.0025,0.0024,2.46e-08
77,2,10,1014.4530,1026.4389,-1.932663,1.801317,1.664831,99.9954,0.0021,0.0024,2.56e-08
78,2,10,1019.2350,1026.4389,-2.153771,1.800424,1.680848,99.9951,0.0026,0.0024,2.65e-08
79,2,10,1024.0995,1026.4389,-2.642231,1.801297,1.687358,99.9949,0.0028,0.0023,2.51e-08
80,2,10,1032.4972,1026.4389,-2.228977,1.800813,1.703500,99.9945,0.0030,0.0024,2.34e-08
81,5,9,1037.3657,1046.1781,-2.074515,1.801531,1.688134,99.9948,0.0025,0.0027,2.34e-08
82,5,9,1041.8489,1046.1781,-2.383203,1.800635,1.707418,99.9943,0.0025,0.0032,1.92e-08
83,5,9,1049.8884,1046.1781,-2.450195,1.800891,1.674880,99.9951,0.0024,0.0025,2.49e-08
84,3,10,1066.4204,1075.7869,-2.060152,1.801194,1.692466,99.9946,0.0026,0.0029,2.11e-08
85,3,10,1077.0363,1075.7869,-2.935021,1.802001,1.704713,99.9943,0.0028,0.0030,2.31e-08
86,3,10,1082.2192,1075.7869,-2.223357,1.801458,1.669944,99.9951,0.0023,0.0026,2.34e-08
87,3,10,1093.7831,1075.7869,-1.776544,1.802002,1.701587,99.9944,0.0028,0.0029,2.23e-08
88,7,8,1101.9937,1115.2653,-1.924454,1.800618,1.686860,99.9945,0.0030,0.0026,2.11e-08
89,7,8,1104.7083,1115.2653,-2.023839,1.801981,1.656945,99.9953,0.0026,0.0022,2.22e-08
90,7,8,1108.7693,1115.2653,-2.234731,1.800819,1.678557,99.9947,0.0030,0.0023,2.16e-08
91,7,8,1112.3824,1115.2653,-2.587550,1.800996,1.708280,99.9939,0.0034,0.0027,1.95e-08
92,7,8,1113.9898,1115.2653,-2.941691,1.800663,1.708361,99.9939,0.0029,0.0032,1.74e-08
93,7,8,1129.4114,1115.2653,-1.896742,1.799980,1.688163,99.9944,0.0028,0.0028,2.08e-08
94,4,10,1136.0811,1144.8741,-2.114620,1.801420,1.686127,99.9944,0.0028,0.0028,2.07e-08
95,4,10,1139.1376,1144.8741,-2.300110,1.799740,1.703838,99.9938,0.0027,0.0035,2.01e-08
96,4,10,1142.9360,1144.8741,-2.771387,1.800607,1.700334,99.9940,0.0034,0.0026,1.93e-08
97,4,10,1146.0425,1144.8741,-2.991155,1.801382,1.700723,99.9940,0.0033,0.0027,1.56e-08
98,6,9,1161.4463,1154.7437,-2.236244,1.801520,1.713464,99.9936,0.0037,0.0027,1.75e-08
99,6,9,1171.3426,1154.7437,-1.842408,1.802236,1.696682,99.9941,0.0032,0.0027,1.95e-08
100,6,9,1175.1606,1154.7437,-1.752496,1.800608,1.689353,99.9942,0.0027,0.0031,1.82e-08
101,1,11,1182.3977,1204.0917,-1.744319,1.801127,1.698325,99.9938,0.0029,0.0034,1.53e-08
102,1,11,1187.1378,1204.0917,-1.851390,1.800803,1.689248,99.9940,0.0035,0.0025,1.80e-08
103,1,11,1192.8539,1204.0917,-2.029978,1.802052,1.718766,99.9932,0.0039,0.0030,1.76e-08
104,1,11,1206.9562,1204.0917,-2.623614,1.800325,1.691774,99.9939,0.0030,0.0031,1.85e-08
105,1,11,1210.4205,1204.0917,-2.279344,1.801232,1.677772,99.9943,0.0032,0.0025,1.95e-08
106,1,11,1216.4441,1204.0917,-1.988910,1.801117,1.708253,99.9935,0.0036,0.0030,1.71e-08
107,2,11,1220.5273,1233.7006,-1.971516,1.800993,1.701062,99.9935,0.0026,0.0039,1.27e-08
108,2,11,1236.3826,1233.7006,-2.662741,1.800367,1.701130,99.9935,0.0029,0.0036,1.41e-08
109,2,11,1243.0426,1233.7006,-2.120769,1.800685,1.706801,99.9933,0.0035,0.0032,1.64e-08
110,8,8,1250.7439,1263.3094,-2.002330,1.801537,1.698896,99.9935,0.0033,0.0032,1.80e-08
111,8,8,1255.2925,1263.3094,-2.197505,1.801184,1.719030,99.9928,0.0033,0.0039,1.50e-08
112,8,8,1260.9059,1263.3094,-2.720679,1.801003,1.727644,99.9925,0.0033,0.0042,1.29e-08
113,8,8,1270.8602,1263.3094,-2.223513,1.800419,1.700614,99.9933,0.0031,0.0035,1.60e-08
114,3,11,1276.2655,1283.0486,-2.276818,1.801155,1.675956,99.9940,0.0033,0.0027,1.72e-08
115,3,11,1284.7721,1283.0486,-2.871829,1.800967,1.680824,99.9939,0.0034,0.0027,1.74e-08
