mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
1,2,4,210.0293,197.3921,-1.193680,1.801073,1.493427,2.425744,99.9996,0.0002,0.0002,2.91e-07
2,3,4,247.3509,246.7401,-2.606336,1.801657,1.568818,2.350473,99.9993,0.0003,0.0004,2.18e-07
3,1,5,252.9497,256.6097,-1.845790,1.801365,1.564356,2.320472,99.9993,0.0003,0.0004,2.01e-07
4,2,5,276.0708,286.2185,-1.450329,1.800933,1.628337,2.276857,99.9989,0.0006,0.0005,1.82e-07
5,2,5,286.3821,286.2185,-3.242906,1.800831,1.628245,2.306356,99.9989,0.0005,0.0006,1.71e-07
6,2,5,299.7965,286.2185,-1.323862,1.800897,1.652556,2.317468,99.9988,0.0007,0.0005,1.54e-07
7,3,5,331.1389,335.5665,-1.879610,1.801410,1.658373,2.278848,99.9986,0.0008,0.0007,1.25e-07
8,3,5,341.2465,335.5665,-1.771433,1.800994,1.684756,2.248403,99.9984,0.0006,0.0010,1.40e-07
9,1,6,370.5194,365.1754,-1.834631,1.801226,1.693115,2.230042,99.9982,0.0013,0.0006,1.24e-07
10,2,6,383.9656,394.7842,-1.562190,1.800835,1.672799,2.213680,99.9982,0.0009,0.0010,1.16e-07
11,2,6,388.7430,394.7842,-1.815240,1.801035,1.691763,2.209129,99.9980,0.0008,0.0012,9.33e-08
12,4,5,404.6919,404.6538,-4.026336,1.799772,1.679225,2.225248,99.9981,0.0009,0.0010,1.14e-07
13,4,5,412.5221,404.6538,-1.711203,1.800473,1.695030,2.223210,99.9979,0.0009,0.0012,9.65e-08
14,3,6,440.4820,444.1322,-2.085197,1.801036,1.724361,2.148263,99.9974,0.0015,0.0011,8.93e-08
15,3,6,446.7752,444.1322,-2.225413,1.800847,1.718201,2.173077,99.9975,0.0008,0.0017,9.97e-08
16,3,6,454.5052,444.1322,-1.631607,1.801196,1.722744,2.177109,99.9974,0.0012,0.0014,8.99e-08
17,1,7,473.9250,493.4802,-1.402007,1.801397,1.707921,2.139219,99.9973,0.0017,0.0009,7.73e-08
18,1,7,484.5287,493.4802,-1.741371,1.801327,1.722811,2.129499,99.9971,0.0014,0.0015,6.61e-08
