mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
1,1,2,55.1209,49.3480,-0.931877,1.800619,1.658936,99.9998,0.0001,0.0001,3.50e-06
2,2,2,81.1402,78.9568,-1.558262,1.801227,1.729286,99.9995,0.0001,0.0003,2.46e-06
3,1,3,90.6597,98.6960,-1.089241,1.801972,1.701570,99.9995,0.0004,0.0001,1.10e-06
4,2,3,124.9185,128.3049,-1.578511,1.801096,1.750148,99.9992,0.0005,0.0003,1.01e-06
5,2,3,131.6106,128.3049,-1.588977,1.801564,1.730738,99.9992,0.0004,0.0004,9.85e-07
6,1,4,148.8890,167.7833,-0.948418,1.801506,1.718247,99.9990,0.0004,0.0006,7.74e-07
7,1,4,168.6086,167.7833,-2.308110,1.801491,1.756429,99.9989,0.0006,0.0005,6.26e-07
8,3,3,179.3746,177.6529,-2.013609,1.800148,1.754308,99.9988,0.0005,0.0007,6.07e-07
9,2,4,216.0154,197.3921,-1.025272,1.798516,1.774295,99.9985,0.0004,0.0010,2.60e-07
10,2,4,220.1693,197.3921,-0.937829,1.797587,1.778694,99.9985,0.0008,0.0007,3.34e-07
11,3,4,232.2383,246.7401,-1.230819,1.801688,1.746363,99.9984,0.0011,0.0004,2.89e-07
12,3,4,239.6028,246.7401,-1.538702,1.801174,1.747079,99.9984,0.0006,0.0010,3.14e-07
13,1,5,257.6626,256.6097,-2.386878,1.802937,1.720521,99.9985,0.0009,0.0006,2.60e-07
14,2,5,272.8910,286.2185,-1.331949,1.799685,1.729274,99.9983,0.0011,0.0007,2.69e-07
15,2,5,277.3180,286.2185,-1.507282,1.800317,1.721239,99.9983,0.0012,0.0004,1.90e-07
16,2,5,283.6079,286.2185,-2.039955,1.801285,1.748957,99.9981,0.0010,0.0008,2.32e-07
17,2,5,292.4568,286.2185,-1.661634,1.803532,1.699943,99.9985,0.0006,0.0009,2.29e-07
18,4,4,302.3035,315.8273,-1.368350,1.799787,1.718792,99.9982,0.0008,0.0010,1.92e-07
19,4,4,302.7690,315.8273,-1.383562,1.800883,1.731586,99.9981,0.0007,0.0012,1.91e-07
20,4,4,307.8014,315.8273,-1.594954,1.800802,1.657731,99.9986,0.0007,0.0007,2.66e-07
21,3,5,326.4837,335.5665,-1.567558,1.801021,1.622388,99.9988,0.0007,0.0006,2.97e-07
22,3,5,329.6442,335.5665,-1.753288,1.802844,1.727308,99.9980,0.0009,0.0011,1.56e-07
23,3,5,340.3387,335.5665,-1.847064,1.802500,1.753093,99.9978,0.0011,0.0011,1.75e-07
24,3,5,348.9151,335.5665,-1.400346,1.801457,1.760583,99.9977,0.0013,0.0011,1.77e-07
25,1,6,366.8247,365.1754,-2.345194,1.800338,1.747359,99.9976,0.0011,0.0013,1.49e-07
26,1,6,369.3944,365.1754,-1.937285,1.803552,1.747305,99.9977,0.0009,0.0015,1.35e-07
27,1,6,377.8143,365.1754,-1.460790,1.800451,1.734247,99.9978,0.0011,0.0011,1.44e-07
28,2,6,390.1036,394.7842,-1.926057,1.800544,1.715630,99.9978,0.0010,0.0013,1.69e-07
29,4,5,399.9987,404.6538,-1.939157,1.799073,1.736395,99.9975,0.0014,0.0012,1.65e-07
30,4,5,407.6308,404.6538,-2.133308,1.801810,1.752153,99.9973,0.0016,0.0011,1.40e-07
31,4,5,414.3672,404.6538,-1.619710,1.801472,1.755898,99.9972,0.0019,0.0008,1.09e-07
32,4,5,420.8828,404.6538,-1.396793,1.801742,1.739339,99.9975,0.0014,0.0012,1.42e-07
33,3,6,428.6870,444.1322,-1.458720,1.802826,1.738253,99.9972,0.0013,0.0015,1.24e-07
34,3,6,437.8717,444.1322,-1.850903,1.803005,1.720293,99.9975,0.0011,0.0014,1.24e-07
35,3,6,439.4330,444.1322,-1.975488,1.802526,1.741677,99.9972,0.0014,0.0014,1.20e-07
36,3,6,448.4808,444.1322,-2.009167,1.801312,1.751447,99.9970,0.0014,0.0015,1.16e-07
37,3,6,459.8415,444.1322,-1.451356,1.800686,1.740973,99.9972,0.0012,0.0016,1.05e-07
38,3,6,468.6653,444.1322,-1.257759,1.801762,1.750885,99.9971,0.0021,0.0008,1.45e-07
39,1,7,473.4711,493.4802,-1.392042,1.798308,1.732816,99.9969,0.0013,0.0018,1.07e-07
40,1,7,479.5783,493.4802,-1.550194,1.801894,1.708073,99.9973,0.0014,0.0013,1.28e-07
41,1,7,494.8206,493.4802,-2.566055,1.801193,1.737736,99.9969,0.0013,0.0018,9.56e-08
42,1,7,500.3064,493.4802,-1.859092,1.801668,1.755696,99.9967,0.0012,0.0022,9.08e-08
