mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
1,1,3,97.2847,98.6960,-1.844664,1.801199,1.548626,99.9997,0.0001,0.0001,1.16e-06
2,2,3,122.5184,128.3049,-1.345830,1.802565,1.651295,99.9995,0.0002,0.0003,7.02e-07
3,2,3,135.3449,128.3049,-1.260670,1.801110,1.661075,99.9994,0.0004,0.0002,7.34e-07
4,1,4,154.5986,167.7833,-1.104681,1.801251,1.690792,99.9992,0.0004,0.0005,5.16e-07
5,3,3,181.0458,177.6529,-1.719001,1.800749,1.720245,99.9990,0.0007,0.0003,3.93e-07
6,2,4,192.1671,197.3921,-1.577244,1.800801,1.686094,99.9990,0.0003,0.0007,4.35e-07
7,2,4,212.1407,197.3921,-1.126578,1.800140,1.721959,99.9989,0.0006,0.0006,2.90e-07
8,3,4,234.7582,246.7401,-1.313712,1.801649,1.710002,99.9987,0.0006,0.0007,2.36e-07
9,3,4,243.9729,246.7401,-1.950194,1.800041,1.731931,99.9985,0.0009,0.0006,2.66e-07
10,1,5,253.8193,256.6097,-1.963611,1.802341,1.716142,99.9986,0.0006,0.0008,2.39e-07
11,1,5,267.8586,256.6097,-1.358165,1.801105,1.738134,99.9984,0.0009,0.0007,2.17e-07
12,2,5,288.2079,286.2185,-2.157978,1.802888,1.742439,99.9982,0.0006,0.0012,1.93e-07
13,2,5,294.5711,286.2185,-1.534877,1.801905,1.673879,99.9987,0.0007,0.0006,1.90e-07
14,4,4,306.1125,315.8273,-1.512014,1.801180,1.700227,99.9983,0.0007,0.0010,1.75e-07
15,4,4,321.9610,315.8273,-1.711733,1.800898,1.671453,99.9985,0.0006,0.0008,1.52e-07
16,3,5,326.9162,335.5665,-1.588747,1.801773,1.736226,99.9979,0.0015,0.0005,1.71e-07
17,3,5,334.4881,335.5665,-2.492990,1.800955,1.724559,99.9980,0.0013,0.0007,1.65e-07
18,3,5,338.2510,335.5665,-2.096925,1.802451,1.729917,99.9980,0.0008,0.0012,1.54e-07
19,3,5,344.6723,335.5665,-1.566464,1.801346,1.718816,99.9981,0.0009,0.0010,1.32e-07
20,1,6,359.1333,365.1754,-1.781317,1.802042,1.590752,99.9989,0.0006,0.0006,2.47e-07
21,1,6,365.5068,365.1754,-3.042078,1.801527,1.742895,99.9977,0.0013,0.0010,1.18e-07
22,2,6,387.4353,394.7842,-1.730136,1.800819,1.707536,99.9979,0.0012,0.0010,1.35e-07
23,2,6,394.5427,394.7842,-3.213517,1.802505,1.683719,99.9981,0.0006,0.0013,1.21e-07
24,2,6,398.9150,394.7842,-1.980321,1.801401,1.718965,99.9978,0.0013,0.0010,1.14e-07
25,4,5,403.6771,404.6538,-2.617310,1.803399,1.702713,99.9979,0.0007,0.0014,1.20e-07
26,4,5,407.3840,404.6538,-2.170889,1.799813,1.648316,99.9983,0.0007,0.0010,1.14e-07
27,4,5,414.7384,404.6538,-1.603424,1.799778,1.741246,99.9974,0.0009,0.0017,1.15e-07
28,4,5,421.3489,404.6538,-1.384493,1.801136,1.713399,99.9977,0.0009,0.0013,9.90e-08
29,3,6,436.0228,444.1322,-1.738523,1.803179,1.703742,99.9977,0.0011,0.0013,1.12e-07
30,3,6,450.8477,444.1322,-1.820436,1.799761,1.672896,99.9979,0.0011,0.0010,1.10e-07
31,3,6,456.9471,444.1322,-1.539796,1.802001,1.695996,99.9977,0.0014,0.0008,1.05e-07
32,3,6,464.7474,444.1322,-1.333324,1.801849,1.666022,99.9980,0.0009,0.0010,9.57e-08
33,1,7,472.2520,493.4802,-1.366356,1.800834,1.684147,99.9976,0.0013,0.0011,1.02e-07
34,1,7,474.5195,493.4802,-1.415415,1.801595,1.697438,99.9975,0.0015,0.0010,1.08e-07
35,1,7,478.5489,493.4802,-1.519172,1.801047,1.694362,99.9975,0.0015,0.0011,8.70e-08
36,1,7,493.4828,493.4802,-5.285661,1.800483,1.682925,99.9976,0.0013,0.0011,8.77e-08
37,1,7,499.4438,493.4802,-1.917766,1.801241,1.707357,99.9973,0.0016,0.0010,8.47e-08
38,4,6,513.9454,513.2194,-2.849358,1.802870,1.703879,99.9973,0.0010,0.0018,8.63e-08
39,2,7,522.1104,523.0890,-2.727956,1.801628,1.716418,99.9971,0.0016,0.0013,7.28e-08
40,2,7,525.7400,523.0890,-2.295169,1.802380,1.699257,99.9973,0.0012,0.0015,8.06e-08
41,2,7,530.3402,523.0890,-1.858168,1.801130,1.700837,99.9973,0.0015,0.0012,7.71e-08
42,2,7,530.9504,523.0890,-1.823079,1.798862,1.708127,99.9971,0.0009,0.0019,8.01e-08
43,2,7,543.3536,523.0890,-1.411838,1.801943,1.714202,99.9971,0.0010,0.0019,7.12e-08
44,3,7,550.0741,572.4371,-1.408198,1.800999,1.711151,99.9968,0.0018,0.0013,6.68e-08
45,3,7,556.3711,572.4371,-1.551822,1.801723,1.702776,99.9970,0.0017,0.0013,7.10e-08
46,3,7,571.8583,572.4371,-2.995243,1.801675,1.696137,99.9971,0.0016,0.0014,6.97e-08
47,3,7,573.6450,572.4371,-2.675675,1.802951,1.716099,99.9968,0.0016,0.0016,6.00e-08
48,3,7,580.9722,572.4371,-1.826515,1.801991,1.720725,99.9967,0.0016,0.0017,7.10e-08
49,3,7,585.7686,572.4371,-1.632848,1.799724,1.702454,99.9969,0.0018,0.0013,6.31e-08
50,5,6,596.0041,602.0459,-1.998463,1.802319,1.696927,99.9969,0.0016,0.0015,6.66e-08
51,5,6,599.5234,602.0459,-2.377799,1.801021,1.719597,99.9966,0.0016,0.0018,6.38e-08
52,5,6,602.1065,602.0459,-3.997196,1.800686,1.703086,99.9968,0.0016,0.0016,6.00e-08
53,5,6,612.0344,602.0459,-1.780130,1.800387,1.681936,99.9971,0.0014,0.0015,6.12e-08
54,5,6,619.8794,602.0459,-1.528392,1.802771,1.725019,99.9965,0.0017,0.0018,5.71e-08
55,1,8,625.5241,641.5243,-1.603088,1.800621,1.689266,99.9968,0.0020,0.0012,5.47e-08
56,1,8,634.9515,641.5243,-1.989466,1.799832,1.718224,99.9963,0.0016,0.0021,5.74e-08
57,1,8,636.6780,641.5243,-2.121805,1.802141,1.706988,99.9966,0.0020,0.0014,5.67e-08
58,1,8,645.2230,641.5243,-2.239168,1.801310,1.739677,99.9960,0.0019,0.0021,4.54e-08
59,1,8,650.7194,641.5243,-1.843656,1.802554,1.713682,99.9965,0.0011,0.0024,5.50e-08
60,2,8,658.7588,671.1331,-1.734288,1.801131,1.690353,99.9966,0.0013,0.0021,5.95e-08
61,2,8,663.0363,671.1331,-1.918495,1.801620,1.708905,99.9963,0.0021,0.0016,5.34e-08
62,2,8,670.9437,671.1331,-3.549509,1.802732,1.738725,99.9958,0.0019,0.0022,4.29e-08
63,2,8,676.3519,671.1331,-2.109238,1.801808,1.686833,99.9967,0.0017,0.0016,5.36e-08
64,2,8,684.2096,671.1331,-1.710316,1.801239,1.714425,99.9962,0.0020,0.0018,4.37e-08
65,2,8,688.7738,671.1331,-1.580294,1.802615,1.722409,99.9961,0.0021,0.0017,4.52e-08
66,6,6,705.1082,710.6115,-2.111009,1.800030,1.724048,99.9958,0.0018,0.0024,5.06e-08
