mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
815,15,15,6480828.2538,4441.3220,3.163821,0.012139,3.517906,6.414458,0.0016,52.8627,47.1357,2.27e-13
816,15,15,6480832.1780,4441.3220,3.163821,0.019887,3.517907,6.414456,0.0021,57.3730,42.6249,1.81e-13
817,15,15,6480837.8684,4441.3220,3.163821,0.019381,3.517906,6.414459,0.0020,44.4413,55.5567,1.88e-13
818,15,15,6480843.6875,4441.3220,3.163822,0.021553,3.517905,6.414453,0.0025,52.0596,47.9379,1.33e-13
819,15,15,6480847.9854,4441.3220,3.163822,0.022047,3.517905,6.414453,0.0026,41.3959,58.6015,1.91e-13
820,15,15,6480852.7540,4441.3220,3.163822,0.024502,3.517903,6.414451,0.0028,64.5925,35.4047,1.79e-13
821,15,15,6480856.0230,4441.3220,3.163822,0.016932,3.517906,6.414458,0.0024,56.8278,43.1698,1.80e-13
822,15,15,6480858.4947,4441.3220,3.163823,0.023195,3.517906,6.414455,0.0027,44.8483,55.1490,1.43e-13
823,15,15,6480863.0136,4441.3220,3.163823,0.024436,3.517905,6.414457,0.0027,59.0560,40.9414,1.81e-13
824,15,15,6480869.2985,4441.3220,3.163823,0.019407,3.517906,6.414458,0.0021,63.7019,36.2959,1.31e-13
825,15,15,6480873.6519,4441.3220,3.163824,0.024085,3.517906,6.414456,0.0025,34.0246,65.9729,1.87e-13
826,15,15,6480879.0615,4441.3220,3.163824,0.025439,3.517905,6.414453,0.0030,53.7339,46.2631,1.09e-13
827,15,15,6480880.9821,4441.3220,3.163824,0.017775,3.517907,6.414456,0.0026,51.2838,48.7136,1.74e-13
828,15,15,6480885.7504,4441.3220,3.163824,0.023359,3.517905,6.414452,0.0027,49.1010,50.8962,1.46e-13
829,15,15,6480894.1151,4441.3220,3.163825,0.024781,3.517905,6.414453,0.0030,38.4379,61.5590,1.47e-13
830,15,15,6480894.5047,4441.3220,3.163825,0.025762,3.517905,6.414454,0.0028,48.4065,51.5908,1.49e-13
831,15,15,6480898.5000,4441.3220,3.163825,0.026692,3.517904,6.414451,0.0032,46.2067,53.7900,1.57e-13
832,15,15,6480902.8722,4441.3220,3.163826,0.021969,3.517905,6.414452,0.0028,39.9763,60.0208,1.48e-13
833,15,15,6480908.7787,4441.3220,3.163826,0.025936,3.517903,6.414453,0.0032,43.5746,56.4222,1.47e-13
834,15,15,6480909.5338,4441.3220,3.163826,0.024931,3.517905,6.414455,0.0030,34.6016,65.3955,1.46e-13
835,15,15,6480914.5109,4441.3220,3.163826,0.026846,3.517904,6.414456,0.0028,46.5375,53.4596,1.13e-13
836,15,15,6480921.6950,4441.3220,3.163827,0.031319,3.517903,6.414453,0.0034,43.1290,56.8677,1.57e-13
837,15,15,6480928.7351,4441.3220,3.163827,0.027606,3.517905,6.414457,0.0032,31.0411,68.9557,1.55e-13
838,15,15,6480931.6838,4441.3220,3.163827,0.025600,3.517904,6.414456,0.0028,43.3714,56.6258,1.46e-13
839,15,15,6480941.5492,4441.3220,3.163828,0.028523,3.517905,6.414452,0.0033,39.9723,60.0244,1.26e-13
840,15,15,6480947.4737,4441.3220,3.163829,0.031817,3.517904,6.414454,0.0036,43.2839,56.7125,1.37e-13
841,15,15,6480951.2002,4441.3220,3.163829,0.025697,3.517905,6.414456,0.0030,51.6038,48.3932,1.30e-13
842,15,15,6480956.6420,4441.3220,3.163829,0.026231,3.517905,6.414455,0.0030,53.5124,46.4846,1.59e-13
843,15,15,6480963.3565,4441.3220,3.163830,0.031958,3.517903,6.414451,0.0038,51.8212,48.1749,1.11e-13
844,15,15,6480968.9793,4441.3220,3.163830,0.031495,3.517902,6.414455,0.0037,48.7967,51.1996,1.43e-13
845,15,15,6480979.4271,4441.3220,3.163831,0.028983,3.517903,6.414451,0.0037,53.9243,46.0720,1.18e-13
846,15,15,6480982.8803,4441.3220,3.163831,0.030488,3.517903,6.414453,0.0037,47.2192,52.7771,1.23e-13
847,15,15,6480990.1682,4441.3220,3.163831,0.035514,3.517903,6.414449,0.0043,43.5915,56.4042,1.22e-13
848,15,15,6480990.4818,4441.3220,3.163831,0.026843,3.517902,6.414449,0.0040,54.7977,45.1983,1.34e-13
849,15,15,6480999.7834,4441.3220,3.163832,0.031200,3.517904,6.414452,0.0039,35.5920,64.4041,1.31e-13
850,15,15,6481006.9217,4441.3220,3.163833,0.032790,3.517901,6.414454,0.0038,36.6522,63.3440,1.22e-13
851,15,15,6481011.9556,4441.3220,3.163833,0.041291,3.517900,6.414448,0.0051,47.9998,51.9951,1.16e-13
852,15,15,6481015.8719,4441.3220,3.163833,0.032452,3.517902,6.414453,0.0041,45.3785,54.6174,1.10e-13
853,15,15,6481023.9655,4441.3220,3.163834,0.036096,3.517900,6.414455,0.0050,42.0191,57.9759,1.20e-13
854,15,15,6481031.5713,4441.3220,3.163834,0.035493,3.517903,6.414454,0.0037,50.8545,49.1418,1.25e-13
855,15,15,6481040.6786,4441.3220,3.163835,0.033225,3.517903,6.414453,0.0045,54.5751,45.4204,1.06e-13
856,15,15,6481048.4213,4441.3220,3.163835,0.034781,3.517902,6.414454,0.0043,55.1866,44.8091,1.09e-13
857,15,15,6481051.1106,4441.3220,3.163835,0.040415,3.517900,6.414458,0.0050,46.6823,53.3127,1.17e-13
858,15,15,6481055.6623,4441.3220,3.163836,0.036944,3.517900,6.414450,0.0047,45.5402,54.4552,1.09e-13
859,15,15,6481068.1129,4441.3220,3.163837,0.044299,3.517901,6.414454,0.0057,52.7115,47.2828,9.87e-14
860,15,15,6481077.6984,4441.3220,3.163837,0.046840,3.517897,6.414456,0.0061,40.0885,59.9054,8.72e-14
861,15,15,6481086.6989,4441.3220,3.163838,0.046881,3.517901,6.414458,0.0054,55.7677,44.2269,1.12e-13
862,15,15,6481096.7065,4441.3220,3.163839,0.044895,3.517898,6.414449,0.0060,33.0272,66.9669,1.08e-13
863,15,15,6481108.4639,4441.3220,3.163839,0.046270,3.517896,6.414457,0.0060,42.5579,57.4361,1.03e-13
864,15,15,6481114.2184,4441.3220,3.163840,0.049401,3.517898,6.414453,0.0061,35.6128,64.3811,9.42e-14
865,15,15,6481122.4104,4441.3220,3.163840,0.046641,3.517900,6.414452,0.0057,49.6679,50.3264,1.03e-13
866,15,15,6481125.4703,4441.3220,3.163840,0.044580,3.517899,6.414455,0.0059,49.7687,50.2255,9.39e-14
867,15,15,6481141.6197,4441.3220,3.163842,0.040151,3.517898,6.414451,0.0058,54.7131,45.2811,9.25e-14
868,15,15,6481146.7044,4441.3220,3.163842,0.033551,3.517902,6.414452,0.0042,48.6429,51.3529,8.67e-14
869,15,15,6481168.3476,4441.3220,3.163843,0.046409,3.517898,6.414448,0.0057,68.2610,31.7333,9.54e-14
870,15,15,6481179.4964,4441.3220,3.163844,0.070834,3.517891,6.414456,0.0091,27.2995,72.6914,1.14e-13
871,15,15,6481191.9759,4441.3220,3.163845,0.047819,3.517896,6.414442,0.0061,35.3964,64.5975,8.85e-14
872,15,15,6481209.0485,4441.3220,3.163846,0.050701,3.517898,6.414452,0.0064,49.9686,50.0249,7.24e-14
873,15,15,6481211.4616,4441.3220,3.163846,0.046061,3.517899,6.414452,0.0059,42.2769,57.7173,1.17e-13
874,15,15,6481226.4311,4441.3220,3.163847,0.060847,3.517892,6.414464,0.0084,68.4220,31.5696,8.59e-14
875,15,15,6481245.4241,4441.3220,3.163849,0.047731,3.517895,6.414448,0.0068,69.2018,30.7913,8.86e-14
876,15,15,6481253.4159,4441.3220,3.163849,0.068926,3.517891,6.414448,0.0094,18.7167,81.2738,7.09e-14
877,15,15,6481280.5879,4441.3220,3.163851,0.050996,3.517893,6.414447,0.0081,49.9763,50.0156,7.91e-14
878,15,15,6481289.1594,4441.3220,3.163851,0.062783,3.517893,6.414453,0.0076,50.9866,49.0058,9.08e-14
879,15,15,6481309.9985,4441.3220,3.163853,0.050668,3.517895,6.414451,0.0072,46.2211,53.7717,9.63e-14
880,15,15,6481321.1939,4441.3220,3.163854,0.069175,3.517892,6.414449,0.0095,44.0606,55.9298,1.17e-13
881,15,15,6481328.9673,4441.3220,3.163854,0.075194,3.517888,6.414464,0.0100,23.4584,76.5315,9.64e-14
882,15,15,6481330.5951,4441.3220,3.163854,0.061343,3.517893,6.414442,0.0083,61.8880,38.1037,8.18e-14
883,15,15,6481344.3253,4441.3220,3.163855,0.078646,3.517890,6.414461,0.0110,27.0091,72.9800,9.08e-14
884,15,15,6481364.2512,4441.3220,3.163856,0.075085,3.517887,6.414453,0.0096,38.2694,61.7210,1.01e-13
885,15,15,6481395.5956,4441.3220,3.163859,0.066358,3.517894,6.414453,0.0077,43.2843,56.7080,8.54e-14
886,15,15,6481410.5001,4441.3220,3.163860,0.072768,3.517889,6.414454,0.0091,44.0886,55.9023,8.38e-14
887,15,15,6481442.8771,4441.3220,3.163862,0.070219,3.517890,6.414452,0.0105,32.5756,67.4139,8.23e-14
888,15,15,6481453.6357,4441.3220,3.163862,0.086147,3.517885,6.414468,0.0117,14.3709,85.6174,6.72e-14
889,15,15,6481466.6874,4441.3220,3.163863,0.062996,3.517892,6.414443,0.0089,68.2174,31.7737,6.45e-14
890,15,15,6481473.6146,4441.3220,3.163864,0.061468,3.517891,6.414444,0.0089,65.4605,34.5306,8.80e-14
891,15,15,6481504.8116,4441.3220,3.163866,0.055942,3.517896,6.414458,0.0077,54.5302,45.4621,7.64e-14
892,15,15,6481536.3832,4441.3220,3.163868,0.096179,3.517885,6.414471,0.0132,86.1344,13.8523,8.27e-14
893,15,15,6481548.9767,4441.3220,3.163869,0.082823,3.517886,6.414456,0.0113,57.9853,42.0035,6.85e-14
894,15,15,6481564.3004,4441.3220,3.163870,0.080508,3.517882,6.414466,0.0120,83.8568,16.1312,5.92e-14
895,15,15,6481673.9616,4441.3220,3.163877,0.097908,3.517882,6.414468,0.0141,29.0805,70.9054,7.42e-14
896,15,15,6481680.8459,4441.3220,3.163878,0.085534,3.517890,6.414460,0.0122,51.8946,48.0932,7.44e-14
897,15,15,6481686.7096,4441.3220,3.163878,0.075228,3.517889,6.414447,0.0111,62.4431,37.5457,7.45e-14
898,15,15,6481731.9864,4441.3220,3.163881,0.111445,3.517880,6.414464,0.0151,89.5652,10.4197,6.01e-14
899,15,15,6481746.6791,4441.3220,3.163882,0.093610,3.517885,6.414448,0.0138,55.2182,44.7680,7.85e-14
900,15,15,6481785.4251,4441.3220,3.163885,0.091939,3.517879,6.414451,0.0126,54.3554,45.6320,6.38e-14
901,15,15,6481793.8571,4441.3220,3.163885,0.059644,3.517894,6.414458,0.0082,59.3826,40.6092,7.97e-14
902,15,15,6481801.6591,4441.3220,3.163886,0.088154,3.517884,6.414449,0.0134,58.9172,41.0694,6.58e-14
903,15,15,6481828.5093,4441.3220,3.163888,0.091114,3.517880,6.414470,0.0137,73.4393,26.5470,7.02e-14
904,15,15,6481845.7884,4441.3220,3.163889,0.099512,3.517881,6.414459,0.0127,47.7909,52.1964,8.05e-14
905,15,15,6481847.3234,4441.3220,3.163889,0.098027,3.517879,6.414461,0.0131,56.2210,43.7659,7.14e-14
906,15,15,6481893.9927,4441.3220,3.163892,0.087872,3.517884,6.414462,0.0116,88.3653,11.6232,6.88e-14
907,15,15,6481920.8237,4441.3220,3.163894,0.082880,3.517887,6.414458,0.0112,6.5273,93.4615,5.81e-14
908,15,15,6481979.4668,4441.3220,3.163898,0.076968,3.517891,6.414448,0.0116,21.1325,78.8559,8.77e-14
909,15,15,6482009.4951,4441.3220,3.163900,0.055940,3.517894,6.414458,0.0078,98.5678,1.4244,8.20e-14
910,15,15,6482198.3535,4441.3220,3.163912,0.081335,3.517891,6.414424,0.0110,14.7475,85.2415,1.02e-13
911,15,15,6482267.6792,4441.3220,3.163917,0.091208,3.517889,6.414432,0.0116,13.3718,86.6166,8.25e-14
912,15,15,6482344.9074,4441.3220,3.163922,0.092489,3.517888,6.414448,0.0123,86.0409,13.9469,8.61e-14
913,15,15,6482933.2074,4441.3220,3.163962,0.179041,3.517841,6.414491,0.0327,96.8518,3.1155,6.26e-14
914,15,15,6483093.1909,4441.3220,3.163972,0.122555,3.517859,6.414491,0.0211,50.7295,49.2494,7.18e-14
