mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
1,1,2,54.9393,49.3480,-0.945755,1.801486,1.652086,99.9998,0.0001,0.0001,4.11e-06
2,2,2,82.5313,78.9568,-1.344177,1.800903,1.724984,99.9995,0.0001,0.0003,2.26e-06
3,1,3,92.2181,98.6960,-1.182862,1.800445,1.694580,99.9995,0.0004,0.0001,1.46e-06
4,2,3,126.6190,128.3049,-1.881420,1.801137,1.749002,99.9992,0.0005,0.0003,8.30e-07
5,2,3,136.8040,128.3049,-1.178866,1.800447,1.730794,99.9992,0.0003,0.0005,7.66e-07
6,1,4,148.4355,167.7833,-0.938118,1.800609,1.707835,99.9991,0.0004,0.0005,6.78e-07
7,3,3,175.3235,177.6529,-1.882325,1.801197,1.741500,99.9989,0.0006,0.0005,5.10e-07
8,3,3,185.8884,177.6529,-1.333882,1.801891,1.751643,99.9988,0.0005,0.0006,4.74e-07
9,2,4,213.4119,197.3921,-1.090672,1.801882,1.751022,99.9987,0.0004,0.0009,3.99e-07
10,3,4,223.9571,246.7401,-1.034630,1.800947,1.708243,99.9987,0.0010,0.0004,3.44e-07
11,3,4,230.8500,246.7401,-1.191114,1.801434,1.697047,99.9987,0.0005,0.0008,3.35e-07
12,3,4,240.3429,246.7401,-1.586247,1.800924,1.706738,99.9987,0.0008,0.0006,3.54e-07
13,3,4,244.9278,246.7401,-2.134010,1.801797,1.629876,99.9991,0.0005,0.0004,4.77e-07
14,1,5,253.0133,256.6097,-1.853401,1.799362,1.722009,99.9985,0.0006,0.0009,2.74e-07
15,2,5,271.7324,286.2185,-1.295746,1.800217,1.628840,99.9989,0.0006,0.0005,2.59e-07
16,2,5,277.8956,286.2185,-1.536420,1.801398,1.752114,99.9981,0.0016,0.0003,2.67e-07
17,2,5,279.1616,286.2185,-1.608079,1.800668,1.676126,99.9987,0.0006,0.0007,2.95e-07
18,2,5,282.7226,286.2185,-1.913140,1.802160,1.654937,99.9988,0.0006,0.0006,3.09e-07
19,2,5,293.1598,286.2185,-1.615260,1.801790,1.729466,99.9983,0.0010,0.0008,2.28e-07
20,4,4,301.9939,315.8273,-1.358518,1.800123,1.721449,99.9982,0.0006,0.0013,2.25e-07
21,4,4,306.5358,315.8273,-1.531363,1.800376,1.716698,99.9982,0.0009,0.0009,2.02e-07
22,4,4,319.5584,315.8273,-1.927617,1.802043,1.680924,99.9985,0.0006,0.0009,2.06e-07
23,3,5,339.4110,335.5665,-1.940945,1.801613,1.723606,99.9980,0.0010,0.0010,1.81e-07
24,3,5,348.5434,335.5665,-1.412610,1.801668,1.753200,99.9978,0.0010,0.0013,1.54e-07
25,1,6,354.3050,365.1754,-1.526256,1.800133,1.690194,99.9982,0.0010,0.0008,1.71e-07
26,1,6,366.7614,365.1754,-2.362175,1.802305,1.699111,99.9981,0.0009,0.0010,1.85e-07
27,1,6,376.8765,365.1754,-1.494273,1.799007,1.740025,99.9977,0.0012,0.0011,1.50e-07
28,2,6,382.4039,394.7842,-1.503630,1.802725,1.745445,99.9975,0.0014,0.0011,1.56e-07
29,2,6,390.7112,394.7842,-1.986446,1.801992,1.691977,99.9980,0.0009,0.0011,1.58e-07
30,2,6,395.0585,394.7842,-3.158087,1.801715,1.728051,99.9977,0.0012,0.0012,1.56e-07
