mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
1,3,4,235.2332,246.7401,-1.331281,1.800965,1.446164,2.391678,99.9996,0.0002,0.0002,2.31e-07
2,1,5,260.6865,256.6097,-1.798951,1.801169,1.547194,2.410853,99.9993,0.0004,0.0003,1.94e-07
3,1,5,262.5401,256.6097,-1.636192,1.801336,1.567520,2.418380,99.9993,0.0004,0.0004,2.15e-07
4,2,5,293.7830,286.2185,-1.577918,1.800610,1.592240,2.393791,99.9991,0.0004,0.0005,1.61e-07
5,4,4,304.1601,315.8273,-1.432483,1.800713,1.625130,2.321426,99.9988,0.0004,0.0008,1.45e-07
6,4,4,319.7263,315.8273,-1.908499,1.800774,1.608387,2.363035,99.9989,0.0008,0.0003,1.31e-07
7,3,5,334.1360,335.5665,-2.370262,1.801059,1.642788,2.334998,99.9987,0.0007,0.0007,1.50e-07
8,3,5,346.6395,335.5665,-1.481514,1.801685,1.649338,2.340081,99.9986,0.0007,0.0007,1.17e-07
9,1,6,371.8231,365.1754,-1.739826,1.801004,1.681923,2.298143,99.9982,0.0008,0.0010,1.09e-07
10,1,6,377.6149,365.1754,-1.467698,1.801052,1.690741,2.292464,99.9982,0.0007,0.0011,1.04e-07
11,2,6,393.8345,394.7842,-2.618772,1.801118,1.672690,2.281272,99.9982,0.0013,0.0005,9.65e-08
12,2,6,398.5875,394.7842,-2.016193,1.801823,1.693033,2.278124,99.9980,0.0006,0.0014,1.01e-07
13,3,6,437.2516,444.1322,-1.809883,1.801896,1.698595,2.222003,99.9977,0.0012,0.0011,7.42e-08
14,3,6,451.5301,444.1322,-1.778405,1.800610,1.717043,2.224337,99.9975,0.0007,0.0018,6.53e-08
15,3,6,468.4457,444.1322,-1.261665,1.801872,1.724016,2.257054,99.9974,0.0012,0.0014,7.21e-08
16,1,7,475.9968,493.4802,-1.450644,1.800886,1.706186,2.186765,99.9973,0.0012,0.0015,7.97e-08
17,1,7,495.1180,493.4802,-2.479017,1.800613,1.698766,2.224201,99.9974,0.0013,0.0013,6.49e-08
18,1,7,501.0340,493.4802,-1.815106,1.801363,1.704202,2.230263,99.9974,0.0017,0.0009,6.32e-08
19,2,7,527.9737,523.0890,-2.029742,1.800890,1.719203,2.185763,99.9970,0.0011,0.0019,6.30e-08
20,3,7,552.6394,572.4371,-1.461115,1.800929,1.710488,2.153682,99.9969,0.0011,0.0020,5.33e-08
21,3,7,555.4015,572.4371,-1.526371,1.801041,1.702370,2.175683,99.9970,0.0016,0.0014,6.33e-08
22,3,7,570.7816,572.4371,-2.538817,1.801681,1.724608,2.157627,99.9967,0.0017,0.0017,4.27e-08
23,3,7,584.6267,572.4371,-1.671737,1.800641,1.722465,2.184681,99.9967,0.0024,0.0009,4.84e-08
24,5,6,609.3559,602.0459,-1.915713,1.800931,1.732480,2.154394,99.9963,0.0011,0.0026,4.30e-08
25,5,6,617.8069,602.0459,-1.582046,1.801353,1.727628,2.165135,99.9964,0.0028,0.0008,4.20e-08
26,1,8,629.7089,641.5243,-1.734764,1.800648,1.730815,2.117227,99.9961,0.0018,0.0021,3.57e-08
27,1,8,637.0838,641.5243,-2.159778,1.800973,1.726226,2.135312,99.9962,0.0017,0.0021,4.56e-08
28,2,8,662.5325,671.1331,-1.892281,1.800356,1.737523,2.094739,99.9958,0.0012,0.0030,5.51e-08
