mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
727,15,15,6480936.5108,4441.3220,3.163828,0.029617,3.520739,0.0033,70.8446,29.1520,1.50e-13
728,15,15,6480942.6253,4441.3220,3.163828,0.035892,3.520735,0.0040,59.3194,40.6766,1.17e-13
729,15,15,6480943.7690,4441.3220,3.163828,0.034383,3.520738,0.0035,66.1024,33.8941,1.28e-13
730,15,15,6480963.5734,4441.3220,3.163830,0.026345,3.520740,0.0028,55.6970,44.3003,1.44e-13
731,15,15,6480968.4680,4441.3220,3.163830,0.050009,3.520733,0.0054,52.7559,47.2386,8.71e-14
732,15,15,6480995.5966,4441.3220,3.163832,0.040486,3.520738,0.0042,44.6783,55.3175,1.18e-13
733,15,15,6480998.1327,4441.3220,3.163832,0.039530,3.520735,0.0044,53.7184,46.2772,1.25e-13
734,15,15,6481022.6349,4441.3220,3.163834,0.054958,3.520728,0.0067,14.6740,85.3193,9.13e-14
735,15,15,6481039.5210,4441.3220,3.163835,0.053426,3.520730,0.0063,57.5969,42.3968,9.20e-14
736,15,15,6481045.4756,4441.3220,3.163835,0.058961,3.520729,0.0070,34.4525,65.5405,1.08e-13
737,15,15,6481061.0879,4441.3220,3.163836,0.060948,3.520730,0.0070,76.6466,23.3464,9.52e-14
738,15,15,6481075.5641,4441.3220,3.163837,0.068003,3.520728,0.0082,42.9367,57.0551,9.68e-14
739,15,15,6481123.2748,4441.3220,3.163840,0.054551,3.520729,0.0069,72.6380,27.3551,9.58e-14
740,15,15,6481137.2983,4441.3220,3.163841,0.087295,3.520722,0.0111,44.7607,55.2282,8.03e-14
741,15,15,6481153.5367,4441.3220,3.163842,0.058555,3.520731,0.0070,13.6485,86.3445,9.45e-14
742,15,15,6481163.8961,4441.3220,3.163843,0.059627,3.520730,0.0074,89.5724,10.4202,1.05e-13
743,15,15,6481172.3066,4441.3220,3.163844,0.074660,3.520722,0.0098,68.8168,31.1734,6.48e-14
744,15,15,6481184.2411,4441.3220,3.163844,0.063153,3.520726,0.0086,69.6616,30.3298,8.04e-14
745,15,15,6481216.4292,4441.3220,3.163847,0.080948,3.520719,0.0108,60.7726,39.2166,7.89e-14
746,15,15,6481251.2867,4441.3220,3.163849,0.073680,3.520725,0.0094,49.5106,50.4800,7.80e-14
747,15,15,6481292.7710,4441.3220,3.163852,0.077928,3.520728,0.0091,25.8379,74.1530,8.93e-14
748,15,15,6481316.6298,4441.3220,3.163853,0.084442,3.520720,0.0108,74.5210,25.4683,6.90e-14
749,15,15,6481376.3033,4441.3220,3.163857,0.083922,3.520722,0.0110,17.5790,82.4100,7.63e-14
750,15,15,6481381.3173,4441.3220,3.163858,0.101144,3.520717,0.0126,9.2659,90.7215,7.33e-14
751,15,15,6481452.1890,4441.3220,3.163862,0.064246,3.520726,0.0074,28.9730,71.0196,7.95e-14
752,15,15,6481477.8392,4441.3220,3.163864,0.084326,3.520720,0.0118,82.6133,17.3749,5.71e-14
753,15,15,6481495.3732,4441.3220,3.163865,0.087906,3.520720,0.0118,17.5343,82.4539,6.59e-14
754,15,15,6481598.8971,4441.3220,3.163872,0.113439,3.520707,0.0175,96.1383,3.8442,5.53e-14
755,15,15,6481636.3291,4441.3220,3.163875,0.084887,3.520721,0.0105,37.6238,62.3656,6.26e-14
756,15,15,6481645.8848,4441.3220,3.163875,0.128155,3.520707,0.0174,3.3481,96.6344,6.80e-14
757,15,15,6481677.8450,4441.3220,3.163877,0.136125,3.520705,0.0187,97.6697,2.3117,6.12e-14
758,15,15,6481736.6124,4441.3220,3.163881,0.055547,3.520730,0.0070,70.8187,29.1744,7.53e-14
759,15,15,6481764.0619,4441.3220,3.163883,0.108846,3.520707,0.0156,12.2703,87.7141,6.52e-14
760,15,15,6481794.5220,4441.3220,3.163885,0.105874,3.520718,0.0137,15.2570,84.7294,8.36e-14
761,15,15,6481809.8491,4441.3220,3.163886,0.094920,3.520713,0.0131,85.7691,14.2179,8.00e-14
762,15,15,6482757.2386,4441.3220,3.163950,0.161334,3.520700,0.0226,47.4820,52.4955,5.02e-14
