mode_rank,eigen_index,vtk_w_field,lambda_real,lambda_imag,lambda_isfinite,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,phi_1_norm,phi_2_norm,rebuild_error,relative_rebuild_error
47,47,w47,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
48,48,w48,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
49,49,w49,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
50,50,w50,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
51,51,w51,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
52,52,w52,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
53,53,w53,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
54,54,w54,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
55,55,w55,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
56,56,w56,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
57,57,w57,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
58,58,w58,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
59,59,w59,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
60,60,w60,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
61,61,w61,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
62,62,w62,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
63,63,w63,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
64,64,w64,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
65,65,w65,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
66,66,w66,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
67,67,w67,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
68,68,w68,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
69,69,w69,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
70,70,w70,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
71,71,w71,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
72,72,w72,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
73,73,w73,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
74,74,w74,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
75,75,w75,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
76,76,w76,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
77,77,w77,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
78,78,w78,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
79,79,w79,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
80,80,w80,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
81,81,w81,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
82,82,w82,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
83,83,w83,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
84,84,w84,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
85,85,w85,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
86,86,w86,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
87,87,w87,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
88,88,w88,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
89,89,w89,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
90,90,w90,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
91,91,w91,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
92,92,w92,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
93,93,w93,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
94,94,w94,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
95,95,w95,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
96,96,w96,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
97,97,w97,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
98,98,w98,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
99,99,w99,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
100,100,w100,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
101,101,w101,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
102,102,w102,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
103,103,w103,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
104,104,w104,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
105,105,w105,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
106,106,w106,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
107,107,w107,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
108,108,w108,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
109,109,w109,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
110,110,w110,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
111,111,w111,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
112,112,w112,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
113,113,w113,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
114,114,w114,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
115,115,w115,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
116,116,w116,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
117,117,w117,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
118,118,w118,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
119,119,w119,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
120,120,w120,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
