n_elements,mode,formula,fem,field_l2_w_pct,field_l2_phi_pct,eig_rel_error_pct
1,1,3.516012446050025,3.464099237199394,17.184212984992453,21.09115721080405,1.4764796668723819
1,2,22.034368909135026,5883488.094135498,129.8296452233249,72.05182664853534,26701314.13351901
2,1,3.516012446050025,3.5918120966039777,5.995073291806716,6.788894529758357,2.1558413605477442
2,2,22.034368909135026,40.40749565762433,15.411663121196955,56.3272939458789,83.38394815960515
5,1,3.516012446050025,3.5324007466104144,1.0178084343286178,1.1474662589340763,0.46610473688170684
5,2,22.034368909135026,24.312587213697363,5.484431858114509,6.7705567330741765,10.339385320982947
10,1,3.516012446050025,3.5202577696873356,0.2560851743927822,0.2889937553899109,0.12074256568915404
10,2,22.034368909135026,22.5831248454536,1.3270323648865212,1.624221879593821,2.4904545193988783
50,1,3.516012446050025,3.5161846534800234,0.010263366585790044,0.01158413986882418,0.00489780490373503
50,2,22.034368909135026,22.056049426546075,0.05240565837094209,0.06410299364264226,0.09839409288486911
