mode,h_over_L,formula,fem,field_l2_w_pct,field_l2_phi_pct,eig_rel_error_pct
1,0.002,4.72997503843582,4.734544026765642,0.08895561237845524,0.14075979290414023,0.09659645754351351
2,0.002,7.852952054810454,7.87357445595918,0.20925250647787622,0.29612512337633035,0.2626069916738326
5,0.002,17.276573419540675,17.488791112967174,0.8725390031599256,1.0860802036062511,1.2283552315210278
10,0.002,32.970414944275156,34.474844178221375,3.9231910688709877,4.326044691080097,4.56296724347851
15,0.002,39.60135788789836,53.74095626469957,137.06366886843452,150.40766061622514,35.704832184863236
1,0.01,4.728399725993369,4.732961905255919,0.08888901837223075,0.14076632688457705,0.09648463596404594
2,0.01,7.846904961059713,7.867461280808547,0.2089158195922718,0.2959643362935841,0.2619672323144532
5,0.01,17.22458805049994,17.43424616231964,0.8678335058857715,1.083267563459447,1.217202473609313
10,0.01,39.06286492803311,34.09436599982405,136.02641640358226,145.20580704916233,12.719238431084609
15,0.01,40.90063625515861,52.35167372618839,131.8767945813319,147.29587625131398,27.997211093716206
1,0.1,4.579547029207015,4.583505626018685,0.08271240677790961,0.14137778220745434,0.08644079395675049
2,0.1,7.331218575721017,7.346849384163432,0.1821324393206812,0.2841235058811546,0.21320887218094944
5,0.1,14.232424105360803,14.33862102765386,0.6945808293103422,1.0954988631393043,0.74616187310675
10,0.1,22.573511611697885,23.035802032557807,2.5862396292377356,4.332285959556465,2.0479331209609297
15,0.1,27.56902160654643,27.34494448999613,141.42135623730715,141.4213562372756,0.8127858860870465
